,South Korea
Sodium-cooled fast reactor,52
Space-based solar power,0
Supercapacitor,2
Supercritical water reactor,0
Third-generation biofuels,2
Thorium fuel cycle,1
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,10
Zero-energy building,8
Automated journalism,0
Foundation garment,0
Haptic feedback systems,1
Wearable journalism,4
Cryptocurrency,0
Stablecoin,0
Companion robot,2
Cryonics,0
Extreme Life extension,2
Suspended animation,0
5D DVD,0
5g,20
6G,0
Ambient intelligence,16
Artificial brain,1
Artificial general intelligence,30
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,7
Compressive Sensing,0
Deep learning,13
deep trench capacitor,0
Digital image processing,8
Digital image segmentation,0
Distributed ledger,12
DNA Computing,0
DNA digital data storage,0
Edge Computing,3
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,1
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,1
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,18
Li-Fi,0
Machine translation,4
Machine vision,2
Nanoradio,0
Natural Language Processing,3
Neural Networks,31
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,1
Quantum algorithm,0
Quantum computing hardware,0
Quantum cryptography,0
Semantic Web,4
Silicon laser for communication,0
Smartphone,88
Spatial computing,0
Streaming television,1
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,4
Virtual reality applications,0
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,0
Carbon nanotube,14
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,27
Graphene Oxide dough,1
High Entropy Alloys,0
Magnetic nanoparticles,1
Magnetorheological fluid,0
Metal foam,0
Metamaterial,2
Multi-function structure,0
Nanocrystal,5
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,7
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,2
Silicene,0
Single Photon Source,0
Superalloy,2
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,4
Zero-friction coating,0
16K video resolution,0
Augmented reality,8
Brain-computer interface,2
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,1
Video tracking,0
Virtual reality,19
3D Bioprinting,0
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,38
Biomimetic Nanocoagulation,0
Biosensor,2
Breath analysis,0
Cancer biomarker,0
Capsule endoscopy,2
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,6
Electroanalgesia,0
Electronic nose,1
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,0
Microelectromechanical systems,7
Microfluidics,2
Molecular electronics,0
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,1
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,0
Plasma Medicine,1
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,5
Regenerative Medicine,27
Sensory substitution,0
Single Cell Analysis,0
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,14
Transdermal optical imaging,0
Active camouflage,1
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,1
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,17
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,2
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,1
Urban mining,0
Closed system drug transfer device,0
DNA repair,1
Electronic cigarette,6
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,3
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,0
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,1
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,2
Backpack helicopter,0
Electric vehicle,24
Fuel cell,71
Fuel cell vehicle,6
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,0
Intelligent transportation system,0
Jetpack,0
Maglev,34
PAV,1
Personal rapid transit,1
Physical Internet,0
Pulse detonation engine,0
Rapid transit,165
Rocket transportation,0
Supersonic transport,0
Urban rail transit,1
Vactrain,0
VTOL,1
Hyper-personalized intelligence,3
neuromorphic engineering,0
solid-state battery,0
