,United States
Compressive Sensing,1
Deep learning,25
deep trench capacitor,0
Digital image processing,42
Digital image segmentation,0
Distributed ledger,28
DNA Computing,1
DNA digital data storage,0
Edge Computing,4
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,7
Facial recognition,6
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,6
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,24
Li-Fi,0
Machine translation,18
Machine vision,6
Nanoradio,0
Natural Language Processing,17
Neural Networks,57
Neural-sensing headset,0
next gen web search,0
Open source model,2
Optical computing,2
Quantum algorithm,1
Quantum computing hardware,12
Quantum cryptography,2
Semantic Web,13
Silicon laser for communication,0
Smartphone,59
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,16
Virtual reality applications,2
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,4
Amorphous metal,2
Bioplastic,0
Carbon nanotube,22
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,2
Gallium Nitride semiconductor,0
Graphene,31
Graphene Oxide dough,0
High Entropy Alloys,0
Magnetic nanoparticles,3
Magnetorheological fluid,1
Metal foam,0
Metamaterial,3
Multi-function structure,0
Nanocrystal,7
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,13
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,4
Silicene,1
Single Photon Source,0
Superalloy,4
Superfluidity,2
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,9
Zero-friction coating,0
16K video resolution,0
Augmented reality,19
Brain-computer interface,12
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),4
Mixed Reality,4
Video tracking,0
Virtual reality,55
3D Bioprinting,1
Anti-degenerative medicine,0
Apheresis,6
Artificial womb,0
Bio Ink,57
Biomimetic Nanocoagulation,0
Biosensor,15
Breath analysis,4
Cancer biomarker,7
Capsule endoscopy,2
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,5
Electroanalgesia,0
Electronic nose,4
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,4
Microelectromechanical systems,24
Microfluidics,11
Molecular electronics,0
Nanorobotics,2
Neuron Control,0
Neuroprosthetics,1
Nutritional genomics,3
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,2
Plasma Medicine,0
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,1
Protein Structure Prediction,0
Rapid diagnostic test,2
Real-time polymerase chain reaction,25
Regenerative Medicine,117
Sensory substitution,0
Single Cell Analysis,1
Stasis Chamber,0
Synthetic Blood,2
Theranostic Wound Care,77
Transdermal optical imaging,0
Active camouflage,0
Active noise control,1
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,4
Homodyne detection,0
HPM weapons,1
Hypersonic weapon,1
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,11
Lidar,95
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,6
Quantum radar,0
Railgun,3
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,1
Urban mining,0
Closed system drug transfer device,0
DNA repair,12
Electronic cigarette,81
Enzybiotics,0
Exhalation delivery system,1
Gene Editing,23
Genome Prime Editing,0
ISCOM,2
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,11
Phage therapy,16
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,10
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,8
Virotherapy,2
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,1
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,1
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,1
Autonomous Rail Rapid Transit,0
Autonomous vehicle,11
Backpack helicopter,0
Electric vehicle,42
Fuel cell,94
Fuel cell vehicle,16
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,0
Intelligent transportation system,12
Jetpack,0
Maglev,18
PAV,0
Personal rapid transit,0
Physical Internet,3
Pulse detonation engine,0
Rapid transit,266
Rocket transportation,0
Supersonic transport,2
Urban rail transit,5
Vactrain,0
VTOL,0
Hyper-personalized intelligence,17
neuromorphic engineering,0
solid-state battery,0
