,0
40,"General Motors, through its GM Defense subsidiary, will build a battery pack prototype for the Department of Defense to test and analyze. The agency's Defense Innovation Unit is seeking a scalable design that can be used in electrified versions of tactical military vehicles.

The battery pack will be based on GM's Ultium platform, which it's using to power its own electric vehicles. Due to the type of battery cells it employs, Ultium is billed as a modular and scalable system that can be adapted to different needs, so it may just fit the bill for the military.

GM said the military wants a light- to heavy-duty EV for use in garrison and operational environments in order to reduce fossil fuel use. As a result, that should reduce the military's carbon emissions.

Turn on browser notifications to receive breaking news alerts from Engadget You can disable notifications at any time in your settings menu. Not now Turned on Turn on

This isn't the first partnership that GM Defense has forged with the military. In July, the company secured a deal with the US Army to provide an electric Hummer for testing. Last year, GM Defense president Steve duMont said the company would build an electric military vehicle prototype based on the Hummer EV."
41,"Whales face numerous threats from humans, not the least of which are ship collisions — the World Sustainability Organization estimates 18,000 to 25,000 animals die each year. There may be a technological way to minimize those deaths, however. Reuters reports Chile's government and the MERI Foundation have deployed the first smart buoy from the Blue Boat Initiative, an effort to both safeguard whales and track undersea ecosystems. The device, floating in the Gulf of Corcovado 684 miles away from Chile, alerts ships to nearby blue, humpback, right and sei whales to help avoid incidents.

The technology uses oceanographic sensors and AI-powered Listening to the Deep Ocean Environment (LIDO) software to determine a waterborne mammal's type and location. It also checks the ocean's health by monitoring oxygen levels, temperature and other criteria. That extra data could help study climate change and its impact on sea life.

The Blue Boat Initiative currently aims to install six or more buoys to protect whales across the gulf. In the long term, though, project members hope to blanket the whales' complete migratory route between Antarctica and the equator. This could reduce collisions across the creatures' entire habitat, not to mention better inform government decisions about conservation and the environment.

The technology may be as important for humans as for the whales. On top of their roles in delicately balanced ecosystems, whales both help capture CO2 and redistribute heat through ocean currents. The more these animals are allowed to flourish, the better the ocean is at limiting global warming and its harmful effects."
42,"Despite being the wealthiest nation on the face of the planet, the United States chronically runs short of transplantable organs . Kidneys are far and away the most sought-after organ for transplantation , followed by livers. While the liver is the only human organ known capable of regenerating itself, if you damage yours badly enough for long enough — as some 30 million Americans have — then the only treatment is a transplant. Assuming you can even acquire one for doctors to stick in you. Every year demand for replacement livers outstrips supply by a scope of tens of thousands.

“Only one-third of those on the liver transplant waiting list will be transplanted, and the demand for livers is projected to increase 23 percent in the next 20 years,” a multidisciplinary team of researchers observed in 2016’s Liver-Regenerative Transplantation: Regrow and Reset . “Exacerbating the organ shortage problem, the donor pool is expected to shrink further because of the obesity epidemic. Liver steatosis [aka fatty liver disease ] is increasingly common in donors and is a significant risk factor in liver transplantation.”

To address this critical shortage, the study authors note that doctors have explored a variety of cutting-edge regimens, from cell repopulation and tissue engineering, nanoparticles to genomics, mechanical aids to porcine-derived xenotransplantation, all with varying degrees of success. Cellular repopulation has been used for years, a process that injects healthy liver cells into the patient’s damaged organ through a portal vein where they adhere themselves to the existing cellular scaffolding and grow into new, functional liver tissue.

Turn on browser notifications to receive breaking news alerts from Engadget You can disable notifications at any time in your settings menu. Not now Turned on Turn on

Fabian Bimmer / reuters

“Creating an immediately available and inexhaustible supply of functioning liver cells from autologous tissue would allow early intervention in patients with hepatic failure and would allow liver cells to be infused over a longer period of time,” the 2016 study’s authors note. “Combined with recent advances in genome-editing technology, such liver cells could be used widely to treat devastating liver-based inborn errors of metabolism and to eliminate the need for a life-long regimen of immunosuppressive drugs and their complications.” The downside to this technique is the pace at which the donor cells proliferate, making it a poor tool against acute liver failure.

Extracellular Vesicle-based therapies, on the other hand, leverage the body’s intracellular communications pathways to deliver drugs with, “high bioavailability, exceptional biocompatibility, and low immunogenicity,” according to 2020’s Extracellular Vesicle-Based Therapeutics: Preclinical and Clinical Investigations . “They provide a means for intercellular communication and the transmission of bioactive compounds to targeted tissues, cells, and organs” including “fibroblasts, neuronal cells, macrophages, and even cancer cells.”

EVs are the postal letters that cells send one another. They come in a variety of sizes from 30 to 1000 nm and have exterior membranes studded with multiple adhesive proteins that grant them entry into any number of different types of cells. Exploiting the biological equivalent to a janitor’s key ring, researchers have begun tucking therapeutic nanoparticles into EVs and using them to discreetly inject treatments into the targeted cells. However, these treatments are still in the experimental stages and are most effective against acute liver failure and inborn metabolic diseases rather than end-stage liver failure.

Mayo Clinic

Mechanical aids, the hepatocytic equivalent to a dialysis machine, like the Mayo Spheroid Reservoir Bioartificial Liver (SRBAL, above) are ideal for treating cases of acute liver failure, able to take over the entirety of the patient’s liver function externally and immediately. However, such procedures are both expensive and temporary. The SRBAL can only support a patient for up to two weeks, making it more suitable for keeping someone alive until a donor can be located rather than as a permanent, pacemaker-like solution.

The bioprinting and implantation of replacement livers has also shown promise, though they too are still in early development and largely not near ready for widespread adoption. Interspecies transplantation using genetically-engineered pig organs are a bit closer to clinical use , with surgeons successfully transplanting a porcine heart into a human patient for the first time this past January (though he died of complications two months later). Pig kidneys and livers have similarly been transplanted into human recipients, often with less drastic side effects than death.

No matter where the transplanted organ comes from, getting it into the patient is invariably going to involve a significant surgical procedure. However, the Lygenesis company recently unveiled its non-invasive solution: tricking the patient’s body into growing a series of miniature, ectopic liver “organoids” in its own lymphatic system like a crop of blood-scrubbing potatoes.

For those of you who dozed through high school bio, a quick recap of terms. The lymphatic system is a part of the immune system that serves to circulate some 20 liters of lymph throughout your body, absorb excess interstitial fluids back into the bloodstream, and incubate critical lymphocytes like T-cells . Organoids, on the other hand, are biological masses artificially grown from stem cells that perform the same functions as natural organs , but do so ectopically, in that they function in a different part of the body as a regular liver. Blood-scrubbing potatoes are self-explanatory.

“Fundamentally, Lygenesis uses the lymph node, your body's natural bio reactors typically used for T-cells,” company CEO and co-founder Michael Hufford, told Engadget. “We hijacked that same biology, we engraft our therapies into the lymph nodes to grow functioning ectopic organs.”

“We use an outpatient endoscopic ultrasound procedure where we're going down through the mouth of the patient using standard endoscopic equipment,” Hufford continued. “We engraft ourselves there in minutes under light sedation, so it's very low medical risk and also is really quite inexpensive.” He notes that the average cost for a proper, in-hospital liver transplant will set you back around a million dollars. Lygenesis’ outpatient procedure “is billed at a couple of thousand or so,” he said.

More importantly, the Lygenesis technique doesn’t require a full donated liver, or even a large fraction of one. In fact, each donated organ can be split among several dozen recipients. “Using our technology a single donated liver can reach 75 or more patients,” Hofford said. The process of converting a single donated liver into all those engraftable samples takes a team of three technicians more than six hours and 70 steps to complete. The process does not involve any gene manipulation, such as CRISPR editing.

This process is quite necessary as patients cannot donate culturable liver cells to themselves. “Once you have end-stage liver disease, you typically have a very fibrotic liver ,” Hofford noted. “It will bleed at the slightest sort of intervention.” Even the simple act of collecting cellular samples can quickly turn deadly if the wrong bit of organ is bisected.

And it’s not only the transplant recipients themselves who are unable to donate. Hofford estimates between 30 and 40 percent of donated livers are too worn to be successfully transplanted. “One of the benefits of our technology is we're using organs that have been donated but will otherwise be discarded,” he said.

Once engrafted into a lymph node, the liver organoid will grow and vascularize over the course of two to three months, until it is large enough to begin supporting the existing liver. Hufford points out that even with end-stage disease, a liver can retain up to 30 percent of its original functionality, so these organoids are designed to augment and support the existing organ rather than replace it outright.

Lygenesis is currently in Phase 2A of the FDA approval process , meaning that a small group of four patients have each received a single engraftment in a lymph node located in their central body cavity near the liver itself (the body has more than 500 lymph nodes and apparently this treatment can technically target any of them). Should this initial test prove successful subsequent study groups will receive increasing numbers of engraftment, up to a half dozen, to help the company and federal regulators figure out the optimal number of organoids to treat the disease."
43,"By subjecting a quantum computer’s qubits to quasi-rhythmic laser pulses based on the Fibonacci sequence, physicists demonstrated a way of storing quantum information that is less prone to errors

By shining a laser pulse sequence inspired by the Fibonacci numbers at atoms inside a quantum computer, physicists have created a remarkable, never-before-seen phase of matter. The phase has the benefits of two time dimensions despite there still being only one singular flow of time, the physicists report July 20 in Nature.

This mind-bending property offers a sought-after benefit: Information stored in the phase is far more protected against errors than with alternative setups currently used in quantum computers. As a result, the information can exist without getting garbled for much longer, an important milestone for making quantum computing viable, says study lead author Philipp Dumitrescu.

The approach’s use of an “extra” time dimension “is a completely different way of thinking about phases of matter,” says Dumitrescu, who worked on the project as a research fellow at the Flatiron Institute’s Center for Computational Quantum Physics in New York City. “I’ve been working on these theory ideas for over five years, and seeing them come actually to be realized in experiments is exciting.”

Dumitrescu spearheaded the study’s theoretical component with Andrew Potter of the University of British Columbia in Vancouver, Romain Vasseur of the University of Massachusetts, Amherst, and Ajesh Kumar of the University of Texas at Austin. The experiments were carried out on a quantum computer at Quantinuum in Broomfield, Colorado, by a team led by Brian Neyenhuis.

The workhorses of the team’s quantum computer are 10 atomic ions of an element called ytterbium. Each ion is individually held and controlled by electric fields produced by an ion trap, and can be manipulated or measured using laser pulses.

Each of those atomic ions serves as what scientists dub a quantum bit, or ‘qubit.’ Whereas traditional computers quantify information in bits (each representing a 0 or a 1), the qubits used by quantum computers leverage the strangeness of quantum mechanics to store even more information. Just as Schrödinger’s cat is both dead and alive in its box, a qubit can be a 0, a 1 or a mashup — or ‘superposition’ — of both. That extra information density and the way qubits interact with one another promise to allow quantum computers to tackle computational problems far beyond the reach of conventional computers.

There’s a big problem, though: Just as peeking in Schrödinger’s box seals the cat’s fate, so does interacting with a qubit. And that interaction doesn’t even have to be deliberate. “Even if you keep all the atoms under tight control, they can lose their quantumness by talking to their environment, heating up or interacting with things in ways you didn’t plan,” Dumitrescu says. “In practice, experimental devices have many sources of error that can degrade coherence after just a few laser pulses.”

The challenge, therefore, is to make qubits more robust. To do that, physicists can use ‘symmetries,’ essentially properties that hold up to change. (A snowflake, for instance, has rotational symmetry because it looks the same when rotated by 60 degrees.) One method is adding time symmetry by blasting the atoms with rhythmic laser pulses. This approach helps, but Dumitrescu and his collaborators wondered if they could go further. So instead of just one time symmetry, they aimed to add two by using ordered but non-repeating laser pulses.

The best way to understand their approach is by considering something else ordered yet non-repeating: ‘quasicrystals.’ A typical crystal has a regular, repeating structure, like the hexagons in a honeycomb. A quasicrystal still has order, but its patterns never repeat. (Penrose tiling is one example of this.) Even more mind-boggling is that quasicrystals are crystals from higher dimensions projected, or squished down, into lower dimensions. Those higher dimensions can even be beyond physical space’s three dimensions: A 2-D Penrose tiling, for instance, is a projected slice of a 5-D lattice.

For the qubits, Dumitrescu, Vasseur and Potter proposed in 2018 the creation of a quasicrystal in time rather than space. Whereas a periodic laser pulse would alternate (A, B, A, B, A, B, etc.), the researchers created a quasi-periodic laser-pulse regimen based on the Fibonacci sequence. In such a sequence, each part of the sequence is the sum of the two previous parts (A, AB, ABA, ABAAB, ABAABABA, etc.). This arrangement, just like a quasicrystal, is ordered without repeating. And, akin to a quasicrystal, it’s a 2D pattern squashed into a single dimension. That dimensional flattening theoretically results in two time symmetries instead of just one: The system essentially gets a bonus symmetry from a nonexistent extra time dimension.

Actual quantum computers are incredibly complex experimental systems, though, so whether the benefits promised by the theory would endure in real-world qubits remained unproven.

Using Quantinuum’s quantum computer, the experientialists put the theory to the test. They pulsed laser light at the computer’s qubits both periodically and using the sequence based on the Fibonacci numbers. The focus was on the qubits at either end of the 10-atom lineup; that’s where the researchers expected to see the new phase of matter experiencing two time symmetries at once. In the periodic test, the edge qubits stayed quantum for around 1.5 seconds — already an impressive length given that the qubits were interacting strongly with one another. With the quasi-periodic pattern, the qubits stayed quantum for the entire length of the experiment, about 5.5 seconds. That’s because the extra time symmetry provided more protection, Dumitrescu says.

“With this quasi-periodic sequence, there’s a complicated evolution that cancels out all the errors that live on the edge,” he says. “Because of that, the edge stays quantum-mechanically coherent much, much longer than you’d expect.”

Though the findings demonstrate that the new phase of matter can act as long-term quantum information storage, the researchers still need to functionally integrate the phase with the computational side of quantum computing. “We have this direct, tantalizing application, but we need to find a way to hook it into the calculations,” Dumitrescu says. “That’s an open problem we’re working on.”

ABOUT THE FLATIRON INSTITUTE

The Flatiron Institute is the research division of the Simons Foundation. The institute's mission is to advance scientific research through computational methods, including data analysis, theory, modeling and simulation. The institute's Center for Computational Quantum Physics aims to develop the concepts, theories, algorithms and codes needed to solve the quantum many-body problem and to use the solutions to predict the behavior of materials and molecules of scientific and technological interest."
44,"Renewable energy met all of Greece’s electricity needs for the first time ever last week, the country’s independent power transmission operator IPTO announced.

For at least five hours on Friday, renewables accounted for 100 per cent of Greece’s power generation, reaching a record high of 3,106 megawatt hours.

Solar, wind and hydro represented 46 per cent of the nation’s power mix in the eight months to August this year, up from 42 per cent in the same period in 2021, according to Greece-based environmental think-tank The Green Tank.

Green Tank called it, a ""record of optimism for the country's transition to clean energy, weaning off fossil fuels and ensuring our energy sufficiency.”

""European countries like Greece are rapidly accelerating away from fossil fuels and towards cheap renewable electricity. The milestone reached by Greece proves that a renewables-dominated electricity grid is within sight,” Elisabeth Cremona, an analyst at energy think tank Ember, told Euronews Green.

“This also clearly demonstrates that the electricity system can be powered by renewables without compromising reliability. But there remains more to do to ensure that renewables overtake fossil fuels in Greece's power sector across the whole year.""

What’s the big picture for Greece’s energy transition?

It’s a significant milestone in the history of the country's electricity system, and follows the bright news that renewables fully met the rise in global electricity demand in the first half of 2022.

But Greece’s transition to clean energy hasn’t been entirely straightforward.

Like other European countries, Greece has cut its reliance on Russian gas following the war in Ukraine by increasing liquefied natural gas (LNG) imports to meet its needs. It has also boosted coal mining, pushing back its decarbonisation plan.

Using IPTO data, The Green Tank finds that renewables - excluding large hydro sources - surpassed all other energy sources, leaving fossil gas in second place as it decreased slightly for the first time since 2018.

Greece aims to more than double its green energy capacity to account for at least 70 per cent of its energy mix by 2030. To help hit that target, the government is seeking to attract around €30 billion in European funds and private investments to upgrade its electricity grid.

It plans to have 25 gigawatt of installed renewable energy capacity from about 10 gigawatt now but analysts say Athens might reach that target sooner.

IPTO has been investing in expanding the country's power grid to boost power capacity and facilitate the penetration of solar, wind and hydro energy."
45,"A drone lands and drops off a bag of snacks in the backyard of a Texas house. The bottle of soda has condensation beads on it – it’s still chilled.

Drone deliveries have finally become a reality in parts of the United States, and for some users, they arrive in less than 15 minutes.

Several drone delivery services including Amazon, Alphabet-owned Wing and Israeli start-up Flytrex have started operating in the country after receiving a green light from the Federal Aviation Administration.

Wing says it delivers by drone in about 10 minutes and that its services can help reduce road congestion.

""It's more environmentally friendly. These are all electric drones that use very little power,"" said Jacob Demmitt, Wing's marketing and communication manager in the US.

""It's also significantly cheaper. You can have a pilot sitting in downtown Dallas, watching flights all over the entire metro (area) someday"".

Tiffany Bokhari lives in Frisco, Texas. She first tested Wing's drone delivery app out of curiosity, and she did it again when she needed a band-aid.

It's now the third time a drone brings her the light goods she ordered from her smartphone – in this case, snacks and that cold soda.

""I think it's better to be delivered by drone versus car because it's helpful for the environment, you know. It saves gas, and money, and saves the environment,"" she said.

For now, Wing’s 4.5 kg drone can load food and small products weighing up to 1 kg.

Supporters of airborne drop-offs claim that electric drones are more efficient and safer than conventional deliveries done by fossil fuel-powered cars.

""Drones don't get tired. They don't try to text while driving. They don't drink and drive…You just get much better service,"" Flytrex CEO Yariv Bash told AFP.

For more on this story, watch the video in the media player above."
46,"Doctoral candidate and co-lead author Philipp Seemann was one of the FAU researchers who have discovered substances that provide very effective pain relief, but without the addictive and sedative effects of drugs currently available. (Image: FAU/Stefan Löber)

Better than opiates: Researchers at FAU use adrenaline receptors for highly-effective analgesics

New substances that activate adrenalin receptors instead of opioid receptors have a similar pain relieving effect to opiates, but without the negative aspects such as respiratory depression and addiction. This is the result of research carried out by an international team of researchers led by the Chair of Pharmaceutical Chemistry at FAU. Their findings, which have now been published in the renowned scientific journal Science, are a milestone in the development of non-opioid pain relief.

Opiates cause addiction, new substances do not

They are a blessing for patients suffering from severe pain, but they also have serious side effects: Opioids, and above all morphine, can cause nausea, dizziness and constipation and can also often cause slowed breathing that can even result in respiratory failure. In addition, opiates are addictive – a high percentage of the drug problem in the USA is caused by pain medication, for example.

In order to tackle the unwanted medical and social effects of opioids, researchers all over the world are searching for alternative analgesics. Prof. Dr. Peter Gmeiner, Chair of Pharmaceutical Chemistry is one of these researchers. “We are focusing particularly on the molecular structures of the receptors that dock onto the pharmaceutical substances”, says Gmeiner. “It is only when we understand these on the atomic level that we can develop effective and safe active substances.” Collaborating with an international team of researchers, Prof. Gmeiner discovered an active substance in 2016 that bonds to known opioid receptors and that offers the same level of pain relief as morphine, even though it has no chemical similarity to opiates.

New approach: Adrenaline receptors instead of opioid receptors

Peter Gmeiner is currently following a lead that seems very promising: “Many non-opioid receptors are involved in pain processing, but only a small number of these alternatives have as yet been validated for use in therapies”, he explains. Gmeiner and a team of researchers from Erlangen, China, Canada and the USA have now turned their attention to a new receptor that is responsible for binding adrenaline – the alpha 2A adrenergic receptor. There are already some analgesics that target this receptor such as brimonidine, clonidine and dexmedetomidine. Gmeiner: “Dexmedetomidine relieves pain, but has a strong sedative effect, which means its use is restricted to intensive care in hospital settings and is not suitable for broader patient groups.”

The aim of the research consortium is to find a chemical compound that activates the receptor in the central nervous system without a sedative effect. In a virtual library of more than 300 million different and easily accessible molecules, the researchers looked for compounds that physically match the receptor but are not chemically related to known medication. After a series of complex virtual docking simulations, around 50 molecules were selected for synthesis and testing and two of these fulfilled the desired criteria. They had good bonding characteristics, activated only certain protein sub-types and thus a very selective set of cellular signal pathways, whereas dexmedetomidine responds to a significantly wider range of proteins.

Pain relief without sedation in animal models

By further optimizing the identified molecules, for which extremely high-resolution cryo-electron microscopic imaging was used, the researchers were able to synthesize agonists that produced high concentrations in the brain and reduced the sensation of pain effectively in investigations with animal models. “Various tests confirmed that docking on the receptor was responsible for the analgesic effect,” explains Gmeiner. “We are particularly pleased about the fact that none of the new compounds caused sedation, even at considerably higher doses than those that would be required for pain relief.”

The successful separation of analgesic properties and sedation is a milestone in the development of non-opioid pain medication, especially as the newly-identified agonists are comparatively easy to manufacture and administer orally to patients. However, Prof. Gmeiner has to dampen any hopes of rapid widespread use in human medicine: “We are currently still talking about basic research. The development of medication is subject to strict controls and in addition to significant amounts of funding, it takes a long time. However, these results still make us very optimistic.”

Publication: https://doi.org/10.1126/science.abn7065

Further information:

Chair of Pharmaceutical Chemistry

Phone: +49 9131 85 65547

peter.gmeiner@fau.de"
47,"A malaria vaccine developed by researchers at the University of Oxford continues to impress, with a booster dose demonstrating up to 80% efficacy in children in a trial with over a year of follow-up.

The challenge: Malaria is a parasitic disease spread by mosquitoes. While it’s already eradicated in many parts of the world, it’s still a major threat in Africa, killing more than 600,000 people every year.

About half of all malaria deaths are children under the age of five, and even if a child survives their first malaria infection, they’re often reinfected. This repeated battle can take a toll on their immune systems and leave them vulnerable to other illnesses.

The only approved malaria vaccine is a shot made by British drugmaker GSK, and it’s only 40% effective. GSK is also only committed to supplying 15 million doses annually, but 25 million children are born in Africa alone every year, and each needs multiple doses.

About half of all malaria deaths are children under the age of five.

Oxford’s vaccine: In 2019, 450 children between the ages of 5 months and 17 months participated in a phase 2b trial of Oxford’s malaria vaccine (R21/Matrix-M) in the African nation of Burkina Faso.

The children were split into three groups. Two groups received a three-shot regimen of Oxford’s malaria vaccine, combined with either a high or low dose of an immunity-boosting adjuvant. The third group received a rabies vaccine as a control.

Oxford reported that the vaccine with the high dose of the adjuvant was up to 77% effective at preventing clinical malaria over 12 months of follow-up — making it the first malaria vaccine to reach the World Health Organization’s goal of 75% efficacy.

What’s new? In June 2020, 409 of the participants in Oxford’s trial were given booster shots of the same type of vaccine they received initially (i.e., if their primary vaccination was with the high dose of the adjuvant, so was their booster shot).

Oxford has now reported that the booster with the high adjuvant dose was 80% effective over 12 months of follow-up, while the lower dose was 70% effective, meaning the initial three-shot regimen plus a booster results in at least two years of robust protection.

“Without this investment, we risk losing the gains that have been made over the last decades.” Azra Ghani

Looking ahead: Results from a phase 3 trial involving 4,800 children — ranging in age from 5 months to 36 months and living in four African nations — are expected in another few months. Those will be key to getting Oxford’s malaria vaccine approved by regulators.

If the shot is approved, the Serum Institute of India, one of the world’s biggest vaccine makers, is ready to manufacture 200 million doses annually starting in 2023, and study co-author Adrian Hill told BBC News the vaccine should cost just “a few dollars” to produce.

The bottom line: Oxford’s malaria vaccine could be huge in the fight against this deadly disease — but only if health officials are able to secure the funding needed to get the shots into arms.

“Without this investment, we risk losing the gains that have been made over the last decades and witnessing a rising tide of malaria resurgence,” Azra Ghani, chair in infectious disease epidemiology at Imperial College London, who isn’t involved in Oxford’s vaccine, told BBC News.

We’d love to hear from you! If you have a comment about this article or if you have a tip for a future Freethink story, please email us at [email protected]."
48,"Pharma giant Merck has paid Moderna $250 million to co-develop and commercialize a promising personalized cancer vaccine based on its mRNA technology.

The background: In 2016, pharma giant Merck gave Moderna $200 million to research and develop personalized cancer vaccines based on mRNA. At the time, it was a big bet — mRNA technology had yet to be translated into any approved vaccine.

Part of the original agreement specified that if Moderna could complete proof-of-concept studies of mRNA-based personalized cancer vaccines in humans, Merck had the option to pay an undisclosed amount to co-develop and commercialize the shots with Moderna.

Since then, mRNA has proven itself with the development of COVID-19 vaccines, and many other vaccines are in development. And now, based on that success, they’re moving ahead with cancer vaccines, too.

Most vaccines are mass produced, but Moderna’s cancer vaccine is personalized for each patient.

What’s new? Merck is now exercising its option on mRNA-4157, a personalized cancer vaccine in a phase 2 clinical trial for skin cancer. It’s being studied in combination with Merck’s cancer treatment Keytruda, a humanized monoclonal antibody.

“This long-term collaboration combining Merck’s expertise in immuno-oncology with Moderna’s pioneering mRNA technology has yielded a novel tailored vaccine approach,” said Eliav Barr, head of global clinical development and CMO of Merck Research Laboratories.

A personalized cancer vaccine: Moderna’s cancer vaccine works differently than most vaccines because it’s designed to treat an existing disease rather than prevent it entirely. It’s also personalized for each patient, while other shots are typically mass produced and distributed to the population.

To create each vaccine, Moderna takes a sample of a patient’s tumor. It then uses genetic sequencing technology to identify proteins in the tissue called “neoantigens.” These proteins are found only on the surface of cancer cells, and they are unique to each person’s tumor.

Moderna then uses its mRNA technology to create a vaccine that instructs cells to make up to 34 of the cancer’s specific neoantigens, which are shown off to immune cells as potential targets. The idea is that this will trigger an immune response against the neoantigens, helping the immune system identify and attack cancerous cells.

Given Merck’s new investment in the vaccine, it seems reasonable to expect positive trial results.

Looking ahead: For Moderna’s ongoing phase 2 trial of mRNA-4157, 157 patients with high-risk melanoma had their tumors removed via surgery.

Some of the patients were then given nine doses of a personalized cancer vaccine and a dose of Keytruda every three weeks for approximately one year or until their melanoma came back. The rest were given just a dose of Keytruda every three weeks for one year.

The trial’s primary endpoint is recurrence-free survival, and given Merck’s new investment in the vaccine, it seems reasonable to expect positive results.

“With data expected this quarter on [personalized cancer vaccine], we continue to be excited about the future and the impact mRNA can have as a new treatment paradigm in the management of cancer,” said Moderna President Stephen Hoge.

We’d love to hear from you! If you have a comment about this article or if you have a tip for a future Freethink story, please email us at [email protected]."
49,"Eviation’s all-electric Alice airplane streaks over the runway at Moses Lake, Wash. (Eviation Photo)

MOSES LAKE, Wash. — After years of on-the-ground development, Eviation’s all-electric Alice airplane quietly took to the air here this morning for its first test flight.

Test pilot Steve Crane guided the nine-passenger aircraft, powered by two 640-kilowatt electric motors, through its takeoff from Grant County International Airport in Moses Lake, a facility in Eastern Washington’s high desert that’s often used for testing innovations in aviation.

When the motors revved up, they sounded like electric grass trimmers. And when the plane flew overhead, the noise was more like a hum than a roar.

Alice flew for eight minutes and reached a maximum altitude of 3,500 feet before landing safely back at the airport.

So how was the ride? “It was wonderful,” Crane said. “It handled just like we thought it would. Very responsive, very quick to the throttle, and it came on in for a wonderful landing. I couldn’t be happier.”

Crane explained that the relatively short flight was intended to be the first in a series of “baby steps” for the test program. “Today was just about the initial envelope,” he told reporters. “For future tests, we’ll expand that envelope.”

After the first flight of the all-electric Alice airplane, test pilot Steve Crane shakes hands with Eviation CEO Gregory Davis while Clermont Group Chairman Richard Chandler looks on. (Eviation Photo)

Arlington, Wash.-based Eviation is on a growing list of ventures that are aiming to make aviation more efficient and less expensive by taking advantage of advances in electric propulsion and battery technology.

“What we have just done is made aviation history,” Gregory Davis, Eviation’s president and CEO, said after the flight. “This is about changing the way that we fly. It’s about connecting communities in a sustainable way, and we are obviously beaming with pride on this beautiful sunny day here at Moses Lake.”

The Alice aircraft — whose name was inspired by the book “Alice in Wonderland” and the Jefferson Airplane song “White Rabbit” — will come in different variants for commuter, cargo and executive flights. Davis said the initial goal is to build a plane with a maximum range of 200 to 300 nautical miles. According to Eviation’s stats, Alice’s maximum useful load would be 2,500 to 2,600 pounds, and its maximum operating speed would be 260 knots (300 mph).

Davis acknowledged that the design specifications and capabilities of the production version of the plane may be something of a moving target, due to Eviation’s dependence on improvements in battery technology. “It’s going to be carbon fiber, it’s going to be fly-by-wire, it’s going to be electric — so in that respect, it’s the same plane,” Davis said. “As far as the actual design of the aircraft, I think everything’s going to be evolved.”

Eviation’s Alice airplane passes overhead during its first test flight. (GeekWire Photo / Alan Boyle)

Eviation’s majority owner is the Clermont Group, a privately held conglomerate based in Singapore.

The plane’s electric propulsion system is provided by MagniX, a Clermont corporate cousin that has its headquarters in Everett, Wash. Eviation’s partner in the flight test program is AeroTEC, which operates the Moses Lake Flight Test Center. For what it’s worth, MagniX and AeroTEC have been working together since 2020 to conduct flight tests for a Cessna Grand Caravan airplane that was converted to use MagniX’s electric motors.

Alice’s inaugural flight test came more than three years after the first prototype was unveiled at the Paris Air Show. Since then, Eviation has moved its base of operations from Israel to Arlington, and has gone through a complicated executive transition that brought Davis in as CEO.

The company has been putting its flight-ready prototype through more than a year of assembly and ground testing — with some setbacks along the way.

If all goes according to plan, the airplane will win certification from the Federal Aviation Administration and hit the market by 2027 — which is later than the 2024 time frame that Eviation was listing a year ago.

“What we’ve learned is a lot, and one of the key things that’s driving the development of our program is the advancement of battery technology, right?” Davis told GeekWire. “So we’re being, I will say, entirely honest with ourselves about what we’re going to be able to achieve. … It’s all going to be based on getting the batteries to converge to the development cycle for the aircraft.”

Three years ago, Eviation said the list price for an Alice airplane would be $4 million — but today Davis declined to provide an updated price tag. “I wouldn’t rely on anything that was mentioned a few years ago,” he said.

In any case, the list price for an airplane doesn’t always reflect what customers pay. Actual pricing is typically decided privately on a deal-by-deal basis, and several deals have already been announced. DHL Express ordered 12 Alice eCargo planes last year, and Massachusetts-based Cape Air ordered 75 all-electric passenger planes in April. This month, the GlobalX charter airline said it intended to order 50 passenger planes, with deliveries due to begin in 2027.

More photos from the Moses Lake flight test:

Photographers wait for Alice’s first flight – and watch the sunrise. (GeekWire Photo / Alan Boyle)

Eviation’s Alice airplane passes by on the runway. (GeekWire Photo / Alan Boyle)

Alice lifts off. (GeekWire Photo / Alan Boyle)

Alice taxis toward the airport terminal after its first test flight. (GeekWire Photo / Alan Boyle)"
50,"“We’ve proved that drones can work autonomously and in tandem to construct and repair buildings, at least in the lab,” said research leader Prof. Mirko Kovac. “Our solution is scalable and could help us to construct and repair buildings in difficult-to-reach areas in the future.”"
