source,2010-01-01T00:00:00Z,2010-10-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2012-01-01T00:00:00Z,2012-03-01T00:00:00Z,2012-04-01T00:00:00Z,2012-06-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2013-01-01T00:00:00Z,2013-06-01T00:00:00Z,2013-07-01T00:00:00Z,2013-09-01T00:00:00Z,2013-10-01T00:00:00Z,2014-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-03-01T00:00:00Z,2014-06-01T00:00:00Z,2014-08-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-06-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-03-01T00:00:00Z,2017-08-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z,2021-01-01T00:00:00Z
Cloud computing,6.0,,,15.0,,,,13.0,,,,,,,,26.0,,,,,25.0,,,,,,,14.0,,,,,,13.0,,,,,,18.0,,,,15.0,,,,,,,,10.0,,,,,,,,,,,18.0,,,,,,,,,,,10.0
Coal liquefaction,1.0,,,3.0,,,,2.0,,,,,,,,1.0,,,,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,
Compressive Sensing,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductive polymer,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryogenic treatment,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,2.0
Cultured meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,
DNA repair,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep learning,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,4.0,,,,,,,,12.0,,1.0,1.0,,1.0,,,,,,17.0,,,,,,1.0,,,1.0,,8.0
Digital image processing,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Dye-sensitized solar cell,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,4.0
Electric vehicle,5.0,,,14.0,,,,20.0,,,,,,,,14.0,,,,,10.0,,,,,,,12.0,,,,,,11.0,,,,,,18.0,,,,15.0,,,,,,,,10.0,,,,,,,,,,,13.0,,,,,,,,,,1.0,6.0
Electronic cigarette,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,
Electronic nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
Energy harvesting,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Exascale computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
Flexible electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Floating Liquefied Natural Gas,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Force Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,4.0,,,16.0,,1.0,,10.0,,,,,,,,7.0,,,,,5.0,,,,,,,2.0,,,,,,4.0,,,,,,1.0,,,,4.0,,,,,,,,6.0,,,,,,,,,,,4.0,,,,,,,,,,,6.0
Fuel cell vehicle,,,,2.0,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
Fullerene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion power,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Gasification,7.0,,,6.0,,,,11.0,,,,,,,,16.0,,,,,11.0,,,,,,,7.0,,,,,,7.0,,,,,,6.0,,,,3.0,,,,,,,,6.0,,,,,,,,,,,7.0,,,,,,1.0,,,,2.0,1.0
Gene Editing,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,2.0,,,,,,1.0,,,,4.0,,,1.0,,1.0,,1.0,6.0,,,1.0,,,,,,,,4.0,,,,,,,,,,1.0,2.0
Genetically modified crops,,,,1.0,,,,3.0,,,,,,,,1.0,,,,,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetically modified food,,,,3.0,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genetically modified organism,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Graphene,2.0,,,1.0,,,,3.0,,,,,,,,10.0,,,,,11.0,,,1.0,,,,4.0,,,,,,8.0,,,,,,12.0,,,,3.0,,,,,,,,4.0,,,,,,,,,,,7.0,,,,,,,,,,,9.0
Grid energy storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
High Entropy Alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Hydrogen fuel,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0
Hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Hypersonic weapon,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent Knowledge Management,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelligent transportation system,4.0,,,2.0,,,,3.0,,,,,,,,4.0,,,,,2.0,,,,,,,6.0,,,,,,1.0,,,,,,2.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,1.0
Intelligent tutoring system,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,17.0,,,31.0,,,,34.0,,,,,,,,24.0,,,,,25.0,,,,,,,23.0,1.0,,,,,6.0,,,,,,14.0,,,,18.0,,,,,,,,30.0,,,,,,,,,,,18.0,,,,,,,,,,,22.0
Ion thruster,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laser weapon,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
Learning Management System,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Lidar,4.0,,1.0,5.0,,,,3.0,,,,,1.0,,,5.0,1.0,,,,6.0,,,,,,,7.0,,,,,1.0,12.0,,,,,,10.0,1.0,1.0,1.0,6.0,,,1.0,,,,,6.0,,1.0,,,,,,,1.0,1.0,15.0,,2.0,2.0,,,,,,,,1.0
Life-cycle assessment,7.0,,,4.0,,,,3.0,,,,,,,,6.0,,,1.0,,8.0,,1.0,,,1.0,,7.0,,,,,,6.0,,,,,,10.0,,1.0,,5.0,,,,,,1.0,,7.0,,,,2.0,,,,,,1.0,16.0,,,2.0,,,,1.0,,2.0,1.0,8.0
Lithium ion battery,4.0,,,2.0,,,,2.0,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,,2.0,,,2.0
Machine translation,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0
Machine vision,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,
Maglev,1.0,,,2.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,2.0,,,,6.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Magnetic nanoparticles,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicinal fungi,,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memristor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0
Microbial electrolysis cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
Microfluidics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Mobile learning,3.0,,,1.0,,,,,,,,,,,,8.0,,,,,4.0,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,5.0,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,1.0
Modular Reactors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Molten salt reactor,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanoelectromechanical systems,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,1.0,,,1.0,,,,1.0,,,,,,,,4.0,,,,,1.0,,,,,,,3.0,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,5.0,,,1.0,,,,,,,,3.0
Neural Networks,4.0,,,5.0,,,,2.0,,,,,,,,3.0,1.0,,,,2.0,,,,,,,6.0,,,,,,2.0,,,,1.0,,4.0,,,,7.0,,,,,1.0,,,6.0,,,,,,,,,,,8.0,,,,1.0,1.0,,,,,,4.0
Oncolytic virus,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
Open source model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Optical computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Perovskite solar cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phage therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma Medicine,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power-to-X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Precision agriculture,2.0,,,3.0,,,,,,,,,,,,3.0,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,3.0,,,,,,1.0,,4.0,,,,,,,,,,,3.0,,,,,,,,,,,2.0
Precision livestock farming,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse detonation engine,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum algorithm,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum dot,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Quantum radar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railgun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Rapid transit,1.0,,,3.0,,,,3.0,,,,,,,,2.0,,,,,4.0,,,,,,,6.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Regenerative Medicine,5.0,,,2.0,,,,6.0,,,,,,,,7.0,,1.0,,,6.0,,,,,,,1.0,,,,,,4.0,1.0,1.0,,,,5.0,,,,5.0,,,,1.0,,,,13.0,,,,,,,,,,,5.0,,,,,,,,,,,2.0
Semantic Web,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shape-memory alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Cell Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Smart grid,49.0,,,42.0,,,,51.0,,,,,,,1.0,41.0,,,,,24.0,,,,,,,28.0,,,,,,17.0,,,,,,12.0,,,,13.0,,,,,,,,7.0,,,,,,,,,,,5.0,,,,,,,,,1.0,,7.0
Smartphone,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,5.0,,,,,,,5.0,1.0,,,,1.0,12.0,,,,,,9.0,,,,15.0,,,,,1.0,,,6.0,,,,,,,,2.0,,,8.0,,,1.0,1.0,,1.0,,1.0,,2.0,5.0
Sodium-cooled fast reactor,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Solid-state transformer,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceplane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spatial computing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spintronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
Stem-cell therapy,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,3.0,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,3.0
Structural health monitoring,1.0,,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Superalloy,3.0,,,3.0,,,,1.0,,,,,,,,1.0,,,,,3.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supercritical water reactor,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targeted drug delivery,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
