,United States
Perovskite solar cell,16
Power-to-X,2
Proton Battery,0
Quantum dot solar cell,1
second-generation biofuels,233
Smart grid,1496
Sodium-cooled fast reactor,1
Space-based solar power,16
Supercapacitor,151
Supercritical water reactor,0
Third-generation biofuels,45
Thorium fuel cycle,0
Triboelectric Nanogenerator,2
Virtual power Plant,109
Vortex engine,1
Wireless power transfer,110
Zero-energy building,13
Automated journalism,2
Foundation garment,26
Haptic feedback systems,15
Wearable journalism,982
Cryptocurrency,4709
Stablecoin,105
Companion robot,48
Cryonics,10
Extreme Life extension,571
Suspended animation,10
5D DVD,3
5g,8521
6G,81
Ambient intelligence,10
Artificial brain,3
Artificial general intelligence,7324
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,2649
Compressive Sensing,3
Deep learning,560
deep trench capacitor,0
Digital image processing,121
Digital image segmentation,0
Distributed ledger,5443
DNA Computing,0
DNA digital data storage,0
Edge Computing,311
Edge enhancement,1
Embedded systems in substrate,0
Exascale computing,102
Extreme ultraviolet lithography,28
Facial recognition,824
General-purpose computing on graphics processing units,5
GPT-4,0
Haptic technology,126
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,4
Internet of things,2624
Li-Fi,186
Machine translation,78
Machine vision,454
Nanoradio,0
Natural Language Processing,248
Neural Networks,147
Neural-sensing headset,0
next gen web search,0
Open source model,1
Optical computing,84
Quantum algorithm,2
Quantum computing hardware,618
Quantum cryptography,95
Semantic Web,22
Silicon laser for communication,0
Smartphone,5042
Spatial computing,1
Streaming television,80
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,129
Virtual reality applications,14
Visible Light Communication,116
wi-fi 6,7
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,3
Document automation,2
Intelligent Knowledge Management,0
Aerogel,292
Amorphous metal,44
Bioplastic,235
Carbon nanotube,315
Conductive polymer,29
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,35
Gallium Nitride semiconductor,21
Graphene,831
Graphene Oxide dough,44
High Entropy Alloys,5
Magnetic nanoparticles,13
Magnetorheological fluid,1
Metal foam,14
Metamaterial,63
Multi-function structure,0
Nanocrystal,57
Nanotextured surface,0
Photonic Metamaterial,2
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,267
Self-cleaning surfaces,2
Shape Memory Polymer,8
Shape-memory alloy,33
Silicene,5
Single Photon Source,4
Superalloy,42
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,1
Zeolite,210
Zero-friction coating,2
16K video resolution,0
Augmented reality,1163
Brain-computer interface,94
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,22
Extended Reality,25
hydrogen vehicle,15
Immersion (virtual reality),15
Mixed Reality,200
Video tracking,13
Virtual reality,1676
3D Bioprinting,155
Anti-degenerative medicine,0
Apheresis,214
Artificial womb,13
Bio Ink,1142
Biomimetic Nanocoagulation,0
Biosensor,146
Breath analysis,7
Cancer biomarker,77
Capsule endoscopy,135
Cortical implant,0
De-extinction,9
DNA-templated organic synthesis,0
Drug-eluting stent,28
Electroanalgesia,0
Electronic nose,17
Head transplant,3
Intelligent toilet,20
Jet injector,26
Lab-on-a-chip,159
Microelectromechanical systems,474
Microfluidics,299
Molecular electronics,8
Nanorobotics,40
Neuron Control,0
Neuroprosthetics,65
Nutritional genomics,2
Omni Processor,0
OOKP,0
Organ-on-a-Chip,58
Photoacoustic imaging,8
Plasma Medicine,72
Point of care automated analyser,0
Portable water purification,13
Powered exoskeleton,10
Protein Structure Prediction,0
Rapid diagnostic test,54
Real-time polymerase chain reaction,17
Regenerative Medicine,1821
Sensory substitution,0
Single Cell Analysis,116
Stasis Chamber,0
Synthetic Blood,50
Theranostic Wound Care,995
Transdermal optical imaging,0
Active camouflage,5
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,12
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,41
Electrothermal-chemical technology for propellants,0
EMP weapon,10
Explosively pumped flux compression generator,2
Force Field,43
Homodyne detection,0
HPM weapons,41
Hypersonic weapon,158
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,55
Lidar,806
MAHEM,3
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,42
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,1
Pure fusion weapon,0
Quadcopter,26
Quantum illumination,27
Quantum radar,7
Railgun,42
Sonic weapon,15
Swarm robotic platforms,0
Swarm robotics,2
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,25
Biomining,2
Urban mining,6
Closed system drug transfer device,1
DNA repair,330
Electronic cigarette,1839
Enzybiotics,0
Exhalation delivery system,38
Gene Editing,1689
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,2
Microneedle drug delivery,7
Molecular Inversion Probe,0
NASBA,10
Off-target genome editing,0
Oncolytic virus,138
Phage therapy,48
Receptor activated solely by a synthetic ligand,1
Senolytic,3
Stem-cell therapy,357
Structurally nanoengineered antimicrobial polypeptide polymers,14
Targeted drug delivery,51
Virotherapy,3
Air-launch-to-orbit,0
Artificial gravity,1
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,3
Launch loop,0
Mass driver,4
Mini-magnetosphere,0
Miniaturized satellite,7
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,1
Propellant depot,1
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,10
Space elevator,3
Space gun,1
Spaceplane,25
StarTram,0
Suborbital launch,4
Autonomous Rail Rapid Transit,0
Autonomous vehicle,1066
Backpack helicopter,0
Electric vehicle,3327
Fuel cell,2650
Fuel cell vehicle,377
Hoverbike,27
Hovertrain,0
Hydrogen vehicle,15
Hyperloop,323
Intelligent transportation system,152
Jetpack,16
Maglev,64
PAV,9
Personal rapid transit,3
Physical Internet,3
Pulse detonation engine,0
Rapid transit,7149
Rocket transportation,0
Supersonic transport,11
Urban rail transit,5
Vactrain,0
VTOL,73
Hyper-personalized intelligence,5523
neuromorphic engineering,0
solid-state battery,0
