,Singapore
Molecular electronics,3
Nanorobotics,3
Neuron Control,0
Neuroprosthetics,1
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,3
Photoacoustic imaging,4
Plasma Medicine,0
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,2
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,1
Regenerative Medicine,77
Sensory substitution,0
Single Cell Analysis,4
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,94
Transdermal optical imaging,0
Active camouflage,2
Active noise control,1
Automatic identification of suspicious activity,0
Cloaking device,4
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,56
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,13
Quantum illumination,5
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,10
Electronic cigarette,14
Enzybiotics,0
Exhalation delivery system,2
Gene Editing,10
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,1
Phage therapy,1
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,18
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,3
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,5
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,3
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,309
Backpack helicopter,0
Electric vehicle,118
Fuel cell,49
Fuel cell vehicle,0
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,10
Intelligent transportation system,2
Jetpack,1
Maglev,1
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,763
Rocket transportation,0
Supersonic transport,1
Urban rail transit,0
Vactrain,0
VTOL,15
Hyper-personalized intelligence,61
neuromorphic engineering,0
solid-state battery,0
