,Finland
Energy harvesting,8
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,0
Gas-cooled fast reactor,0
Gasification,26
Generation IV reactor,0
Grid energy storage,3
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,1
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,7
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,1
Mini Bioreactors,0
Modular Reactors,2
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,0
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,2
Power-to-X,11
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,7
Smart grid,9
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,13
Supercritical water reactor,0
Third-generation biofuels,1
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,13
Vortex engine,0
Wireless power transfer,4
Zero-energy building,1
Automated journalism,0
Foundation garment,0
Haptic feedback systems,0
Wearable journalism,28
Cryptocurrency,29
Stablecoin,0
Companion robot,1
Cryonics,0
Extreme Life extension,2
Suspended animation,0
5D DVD,0
5g,805
6G,106
Ambient intelligence,2
Artificial brain,0
Artificial general intelligence,188
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,30
Compressive Sensing,0
Deep learning,12
deep trench capacitor,0
Digital image processing,7
Digital image segmentation,0
Distributed ledger,65
DNA Computing,0
DNA digital data storage,0
Edge Computing,2
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,3
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,92
Li-Fi,0
Machine translation,0
Machine vision,10
Nanoradio,0
Natural Language Processing,4
Neural Networks,1
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,2
Quantum algorithm,0
Quantum computing hardware,36
Quantum cryptography,1
Semantic Web,0
Silicon laser for communication,0
Smartphone,145
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,0
Virtual reality applications,0
Visible Light Communication,0
wi-fi 6,2
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,8
Carbon nanotube,25
Conductive polymer,0
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,40
Graphene Oxide dough,0
High Entropy Alloys,1
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,0
Metamaterial,1
Multi-function structure,0
Nanocrystal,1
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,5
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,1
Superfluidity,1
Superlenses chips,0
Syntactic Materials,0
Time crystal,1
Zeolite,0
Zero-friction coating,0
16K video resolution,0
Augmented reality,34
Brain-computer interface,2
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,6
Video tracking,0
Virtual reality,58
3D Bioprinting,0
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,37
Biomimetic Nanocoagulation,0
Biosensor,9
Breath analysis,1
Cancer biomarker,0
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,2
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,0
Microelectromechanical systems,43
Microfluidics,4
Molecular electronics,5
Nanorobotics,4
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,0
Plasma Medicine,0
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,3
Real-time polymerase chain reaction,0
Regenerative Medicine,9
Sensory substitution,0
Single Cell Analysis,0
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,12
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,1
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,14
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,0
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,1
Biomining,2
Urban mining,0
Closed system drug transfer device,0
DNA repair,2
Electronic cigarette,10
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,11
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,6
Phage therapy,3
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,0
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,2
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,1
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,6
Backpack helicopter,0
Electric vehicle,39
Fuel cell,44
Fuel cell vehicle,0
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,64
Intelligent transportation system,0
Jetpack,0
Maglev,0
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,91
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,0
Hyper-personalized intelligence,13
neuromorphic engineering,0
solid-state battery,0
