,Mexico
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,21
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,90
Li-Fi,4
Machine translation,2
Machine vision,32
Nanoradio,0
Natural Language Processing,8
Neural Networks,16
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,9
Quantum cryptography,0
Semantic Web,0
Silicon laser for communication,0
Smartphone,174
Spatial computing,0
Streaming television,1
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,6
Virtual reality applications,0
Visible Light Communication,9
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,2
Amorphous metal,1
Bioplastic,9
Carbon nanotube,11
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,3
Gallium Nitride semiconductor,0
Graphene,25
Graphene Oxide dough,2
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,2
Metamaterial,1
Multi-function structure,0
Nanocrystal,4
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,48
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,3
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,1
Zeolite,14
Zero-friction coating,0
16K video resolution,0
Augmented reality,39
Brain-computer interface,2
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,2
Extended Reality,0
hydrogen vehicle,2
Immersion (virtual reality),0
Mixed Reality,3
Video tracking,1
Virtual reality,58
3D Bioprinting,3
Anti-degenerative medicine,0
Apheresis,1
Artificial womb,0
Bio Ink,36
Biomimetic Nanocoagulation,0
Biosensor,5
Breath analysis,0
Cancer biomarker,2
Capsule endoscopy,2
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,1
Electroanalgesia,0
Electronic nose,2
Head transplant,0
Intelligent toilet,1
Jet injector,0
Lab-on-a-chip,7
Microelectromechanical systems,13
Microfluidics,3
Molecular electronics,0
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,4
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,2
Photoacoustic imaging,6
Plasma Medicine,1
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,1
Rapid diagnostic test,0
Real-time polymerase chain reaction,2
Regenerative Medicine,42
Sensory substitution,0
Single Cell Analysis,2
Stasis Chamber,0
Synthetic Blood,1
Theranostic Wound Care,11
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,6
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,12
Lidar,69
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,5
Quantum illumination,0
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,1
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,3
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,0
Electronic cigarette,24
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,21
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,0
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,19
Structurally nanoengineered antimicrobial polypeptide polymers,7
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,1
Reusable rocket technology for orbital rockets,0
Skyhook,3
Space elevator,1
Space gun,0
Spaceplane,6
StarTram,0
Suborbital launch,3
Autonomous Rail Rapid Transit,0
Autonomous vehicle,44
Backpack helicopter,0
Electric vehicle,120
Fuel cell,32
Fuel cell vehicle,4
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,2
Hyperloop,5
Intelligent transportation system,8
Jetpack,0
Maglev,0
PAV,1
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,2333
Rocket transportation,0
Supersonic transport,0
Urban rail transit,1
Vactrain,0
VTOL,0
Hyper-personalized intelligence,49
neuromorphic engineering,0
solid-state battery,0
