,Netherlands
Energy harvesting,4
Floating Liquefied Natural Gas,6
Flywheel energy storage,0
Fourth-generation biofuel,4
Fusion power,0
Gas generator,0
Gas-cooled fast reactor,0
Gasification,12
Generation IV reactor,0
Grid energy storage,2
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,9
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,29
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,8
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,1
Oil detection,129
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,3
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,8
Smart grid,9
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,1
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,2
Vortex engine,0
Wireless power transfer,1
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,4
Wearable journalism,32
Cryptocurrency,114
Stablecoin,0
Companion robot,5
Cryonics,0
Extreme Life extension,12
Suspended animation,0
5D DVD,0
5g,86
6G,0
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,244
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,63
Compressive Sensing,0
Deep learning,19
deep trench capacitor,0
Digital image processing,5
Digital image segmentation,0
Distributed ledger,236
DNA Computing,0
DNA digital data storage,0
Edge Computing,2
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,1
Extreme ultraviolet lithography,13
Facial recognition,8
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,2
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,110
Li-Fi,2
Machine translation,8
Machine vision,8
Nanoradio,0
Natural Language Processing,2
Neural Networks,26
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,5
Quantum computing hardware,122
Quantum cryptography,0
Semantic Web,2
Silicon laser for communication,0
Smartphone,127
Spatial computing,0
Streaming television,7
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,3
Virtual reality applications,0
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,13
Carbon nanotube,20
Conductive polymer,0
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,59
Graphene Oxide dough,1
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,1
Metamaterial,12
Multi-function structure,0
Nanocrystal,1
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,8
Self-cleaning surfaces,0
Shape Memory Polymer,2
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,9
Zero-friction coating,0
16K video resolution,0
Augmented reality,36
Brain-computer interface,5
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,2
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,2
Video tracking,1
Virtual reality,83
3D Bioprinting,6
Anti-degenerative medicine,0
Apheresis,2
Artificial womb,4
Bio Ink,62
Biomimetic Nanocoagulation,0
Biosensor,3
Breath analysis,0
Cancer biomarker,1
Capsule endoscopy,1
Cortical implant,0
De-extinction,1
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,3
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,11
Microelectromechanical systems,14
Microfluidics,19
Molecular electronics,0
Nanorobotics,1
Neuron Control,0
Neuroprosthetics,6
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,9
Photoacoustic imaging,0
Plasma Medicine,2
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,77
Sensory substitution,3
Single Cell Analysis,7
Stasis Chamber,0
Synthetic Blood,1
Theranostic Wound Care,28
Transdermal optical imaging,0
Active camouflage,3
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,1
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,1
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,18
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,0
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,1
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,3
Closed system drug transfer device,0
DNA repair,19
Electronic cigarette,69
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,26
Genome Prime Editing,0
ISCOM,1
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,1
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,3
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,1
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,38
Backpack helicopter,0
Electric vehicle,76
Fuel cell,74
Fuel cell vehicle,4
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,60
Intelligent transportation system,1
Jetpack,0
Maglev,2
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,184
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,3
Hyper-personalized intelligence,75
neuromorphic engineering,0
solid-state battery,0
