,Australia
Quantum dot,37
Self-cleaning surfaces,0
Shape Memory Polymer,1
Shape-memory alloy,0
Silicene,1
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,2
Zeolite,8
Zero-friction coating,0
16K video resolution,0
Augmented reality,112
Brain-computer interface,6
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,3
Extended Reality,1
hydrogen vehicle,7
Immersion (virtual reality),4
Mixed Reality,19
Video tracking,0
Virtual reality,174
3D Bioprinting,33
Anti-degenerative medicine,0
Apheresis,9
Artificial womb,7
Bio Ink,51
Biomimetic Nanocoagulation,0
Biosensor,20
Breath analysis,0
Cancer biomarker,5
Capsule endoscopy,2
Cortical implant,1
De-extinction,2
DNA-templated organic synthesis,0
Drug-eluting stent,1
Electroanalgesia,0
Electronic nose,0
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,12
Microelectromechanical systems,32
Microfluidics,21
Molecular electronics,0
Nanorobotics,3
Neuron Control,0
Neuroprosthetics,11
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,3
Photoacoustic imaging,0
Plasma Medicine,2
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,22
Real-time polymerase chain reaction,1
Regenerative Medicine,279
Sensory substitution,0
Single Cell Analysis,2
Stasis Chamber,0
Synthetic Blood,1
Theranostic Wound Care,105
Transdermal optical imaging,0
Active camouflage,1
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,2
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,1
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,8
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,12
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,34
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,7
Quantum illumination,0
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,1
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,3
Biomining,1
Urban mining,2
Closed system drug transfer device,0
DNA repair,3
Electronic cigarette,152
Enzybiotics,0
Exhalation delivery system,3
Gene Editing,54
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,2
Off-target genome editing,0
Oncolytic virus,15
Phage therapy,8
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,23
Structurally nanoengineered antimicrobial polypeptide polymers,1
Targeted drug delivery,3
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,1
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,3
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,100
Backpack helicopter,0
Electric vehicle,267
Fuel cell,95
Fuel cell vehicle,18
Hoverbike,2
Hovertrain,0
Hydrogen vehicle,7
Hyperloop,37
Intelligent transportation system,1
Jetpack,34
Maglev,4
PAV,1
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,1156
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,11
Hyper-personalized intelligence,278
neuromorphic engineering,0
solid-state battery,0
