,Italy
Quantum dot,20
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,22
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,8
Zero-friction coating,0
16K video resolution,0
Augmented reality,14
Brain-computer interface,17
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,1
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,0
Video tracking,0
Virtual reality,25
3D Bioprinting,4
Anti-degenerative medicine,0
Apheresis,18
Artificial womb,0
Bio Ink,104
Biomimetic Nanocoagulation,0
Biosensor,1
Breath analysis,1
Cancer biomarker,4
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,19
Head transplant,4
Intelligent toilet,1
Jet injector,0
Lab-on-a-chip,5
Microelectromechanical systems,23
Microfluidics,7
Molecular electronics,1
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,8
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,1
Plasma Medicine,4
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,1
Protein Structure Prediction,0
Rapid diagnostic test,3
Real-time polymerase chain reaction,1
Regenerative Medicine,77
Sensory substitution,0
Single Cell Analysis,20
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,34
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,7
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,4
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,1
Electronic cigarette,27
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,25
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,11
Phage therapy,11
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,2
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,2
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,1
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,1
StarTram,0
Suborbital launch,1
Autonomous Rail Rapid Transit,0
Autonomous vehicle,16
Backpack helicopter,0
Electric vehicle,60
Fuel cell,56
Fuel cell vehicle,8
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,13
Intelligent transportation system,9
Jetpack,2
Maglev,0
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,224
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,4
Hyper-personalized intelligence,52
neuromorphic engineering,0
solid-state battery,0
