,New Zealand
Energy harvesting,1
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,1
Gas-cooled fast reactor,0
Gasification,3
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,6
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,4
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,1
Oil detection,143
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,1
Smart grid,52
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,3
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,5
Zero-energy building,1
Automated journalism,0
Foundation garment,0
Haptic feedback systems,0
Wearable journalism,31
Cryptocurrency,120
Stablecoin,0
Companion robot,1
Cryonics,1
Extreme Life extension,4
Suspended animation,0
5D DVD,0
5g,408
6G,2
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,156
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,67
Compressive Sensing,0
Deep learning,7
deep trench capacitor,0
Digital image processing,4
Digital image segmentation,0
Distributed ledger,214
DNA Computing,0
DNA digital data storage,0
Edge Computing,1
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,7
Extreme ultraviolet lithography,0
Facial recognition,14
General-purpose computing on graphics processing units,1
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,73
Li-Fi,0
Machine translation,1
Machine vision,5
Nanoradio,0
Natural Language Processing,4
Neural Networks,3
Neural-sensing headset,0
next gen web search,0
Open source model,16
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,2
Quantum cryptography,0
Semantic Web,0
Silicon laser for communication,0
Smartphone,90
Spatial computing,1
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,0
Virtual reality applications,1
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,1
Intelligent Knowledge Management,0
Aerogel,0
Amorphous metal,0
Bioplastic,0
Carbon nanotube,3
Conductive polymer,2
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,3
Graphene Oxide dough,0
High Entropy Alloys,0
Magnetic nanoparticles,0
Magnetorheological fluid,0
Metal foam,0
Metamaterial,0
Multi-function structure,0
Nanocrystal,0
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,2
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,2
Zero-friction coating,0
16K video resolution,0
Augmented reality,36
Brain-computer interface,0
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,0
hydrogen vehicle,3
Immersion (virtual reality),0
Mixed Reality,11
Video tracking,0
Virtual reality,64
3D Bioprinting,16
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,9
Biomimetic Nanocoagulation,0
Biosensor,2
Breath analysis,0
Cancer biomarker,0
Capsule endoscopy,0
Cortical implant,0
De-extinction,10
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,0
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,3
Microelectromechanical systems,1
Microfluidics,0
Molecular electronics,0
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,0
Plasma Medicine,1
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,20
Sensory substitution,0
Single Cell Analysis,1
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,9
Transdermal optical imaging,0
Active camouflage,1
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,13
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,1
Quantum illumination,7
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,0
Electronic cigarette,86
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,34
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,1
Off-target genome editing,0
Oncolytic virus,0
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,7
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,1
Space gun,0
Spaceplane,2
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,21
Backpack helicopter,0
Electric vehicle,55
Fuel cell,15
Fuel cell vehicle,2
Hoverbike,2
Hovertrain,0
Hydrogen vehicle,3
Hyperloop,1
Intelligent transportation system,0
Jetpack,152
Maglev,0
PAV,1
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,208
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,1
Hyper-personalized intelligence,57
neuromorphic engineering,0
solid-state battery,0
