,Japan
Vortex ring gun,0
Asteroid mining,3
Biomining,0
Urban mining,1
Closed system drug transfer device,3
DNA repair,11
Electronic cigarette,216
Enzybiotics,0
Exhalation delivery system,9
Gene Editing,104
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,11
Phage therapy,5
Receptor activated solely by a synthetic ligand,2
Senolytic,0
Stem-cell therapy,96
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,10
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,3
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,2
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,5
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,25
Space gun,0
Spaceplane,7
StarTram,0
Suborbital launch,3
Autonomous Rail Rapid Transit,1
Autonomous vehicle,292
Backpack helicopter,0
Electric vehicle,504
Fuel cell,923
Fuel cell vehicle,294
Hoverbike,1
Hovertrain,1
Hydrogen vehicle,5
Hyperloop,21
Intelligent transportation system,70
Jetpack,6
Maglev,205
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,1446
Rocket transportation,0
Supersonic transport,4
Urban rail transit,1
Vactrain,0
VTOL,27
Hyper-personalized intelligence,402
neuromorphic engineering,0
solid-state battery,0
