,Spain
Energy harvesting,9
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,3
Fusion power,0
Gas generator,5
Gas-cooled fast reactor,0
Gasification,22
Generation IV reactor,0
Grid energy storage,3
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,9
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,13
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,2
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,49
Optical rectenna,1
Organic solar cell,0
Perovskite solar cell,1
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,34
Smart grid,43
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,3
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,2
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,2
Wearable journalism,32
Cryptocurrency,86
Stablecoin,0
Companion robot,0
Cryonics,0
Extreme Life extension,5
Suspended animation,0
5D DVD,0
5g,469
6G,1
Ambient intelligence,8
Artificial brain,0
Artificial general intelligence,220
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,38
Compressive Sensing,0
Deep learning,16
deep trench capacitor,0
Digital image processing,16
Digital image segmentation,0
Distributed ledger,182
DNA Computing,0
DNA digital data storage,0
Edge Computing,22
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,16
General-purpose computing on graphics processing units,2
GPT-4,0
Haptic technology,1
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,74
Li-Fi,0
Machine translation,3
Machine vision,4
Nanoradio,0
Natural Language Processing,19
Neural Networks,27
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,5
Quantum cryptography,2
Semantic Web,2
Silicon laser for communication,0
Smartphone,235
Spatial computing,0
Streaming television,4
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,4
Virtual reality applications,0
Visible Light Communication,8
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,1
Amorphous metal,1
Bioplastic,6
Carbon nanotube,11
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,215
Graphene Oxide dough,20
High Entropy Alloys,0
Magnetic nanoparticles,4
Magnetorheological fluid,0
Metal foam,0
Metamaterial,0
Multi-function structure,0
Nanocrystal,2
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,2
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,1
Silicene,0
Single Photon Source,0
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,1
Zero-friction coating,0
16K video resolution,0
Augmented reality,71
Brain-computer interface,6
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),6
Mixed Reality,4
Video tracking,0
Virtual reality,48
3D Bioprinting,4
Anti-degenerative medicine,0
Apheresis,6
Artificial womb,1
Bio Ink,145
Biomimetic Nanocoagulation,0
Biosensor,5
Breath analysis,0
Cancer biomarker,4
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,1
Electroanalgesia,0
Electronic nose,4
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,3
Microelectromechanical systems,12
Microfluidics,11
Molecular electronics,1
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,7
Nutritional genomics,7
Omni Processor,0
OOKP,0
Organ-on-a-Chip,2
Photoacoustic imaging,0
Plasma Medicine,2
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,1
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,64
Sensory substitution,0
Single Cell Analysis,18
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,28
Transdermal optical imaging,0
Active camouflage,0
Active noise control,1
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,14
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,4
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,1
Electronic cigarette,2
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,22
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,2
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,7
Stem-cell therapy,1
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,2
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,20
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,6
Backpack helicopter,0
Electric vehicle,36
Fuel cell,18
Fuel cell vehicle,7
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,84
Intelligent transportation system,1
Jetpack,3
Maglev,1
PAV,2
Personal rapid transit,0
Physical Internet,3
Pulse detonation engine,0
Rapid transit,189
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,0
Hyper-personalized intelligence,29
neuromorphic engineering,0
solid-state battery,0
