,Switzerland
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,4
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,12
Vortex engine,0
Wireless power transfer,5
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,0
Wearable journalism,30
Cryptocurrency,516
Stablecoin,14
Companion robot,1
Cryonics,1
Extreme Life extension,7
Suspended animation,0
5D DVD,0
5g,156
6G,0
Ambient intelligence,0
Artificial brain,0
Artificial general intelligence,263
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,55
Compressive Sensing,0
Deep learning,35
deep trench capacitor,0
Digital image processing,3
Digital image segmentation,0
Distributed ledger,1439
DNA Computing,0
DNA digital data storage,0
Edge Computing,1
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,0
Facial recognition,9
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,1
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,10
Internet of things,49
Li-Fi,0
Machine translation,0
Machine vision,12
Nanoradio,0
Natural Language Processing,7
Neural Networks,24
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,1
Quantum computing hardware,33
Quantum cryptography,13
Semantic Web,0
Silicon laser for communication,0
Smartphone,97
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,1
Virtual reality applications,0
Visible Light Communication,0
wi-fi 6,1
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,8
Amorphous metal,2
Bioplastic,0
Carbon nanotube,7
Conductive polymer,0
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,0
Gallium Nitride semiconductor,0
Graphene,34
Graphene Oxide dough,0
High Entropy Alloys,0
Magnetic nanoparticles,1
Magnetorheological fluid,0
Metal foam,0
Metamaterial,4
Multi-function structure,0
Nanocrystal,6
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,9
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,6
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,5
Zero-friction coating,0
16K video resolution,0
Augmented reality,22
Brain-computer interface,26
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,2
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,1
Video tracking,0
Virtual reality,61
3D Bioprinting,6
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,32
Biomimetic Nanocoagulation,0
Biosensor,16
Breath analysis,6
Cancer biomarker,3
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,3
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,8
Microelectromechanical systems,15
Microfluidics,37
Molecular electronics,2
Nanorobotics,5
Neuron Control,0
Neuroprosthetics,13
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,19
Photoacoustic imaging,0
Plasma Medicine,2
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,4
Protein Structure Prediction,0
Rapid diagnostic test,4
Real-time polymerase chain reaction,0
Regenerative Medicine,32
Sensory substitution,0
Single Cell Analysis,10
Stasis Chamber,0
Synthetic Blood,3
Theranostic Wound Care,45
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,3
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,30
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,8
Quantum illumination,12
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,2
Electronic cigarette,4
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,626
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,10
Phage therapy,6
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,12
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,2
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,1
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,28
Backpack helicopter,0
Electric vehicle,59
Fuel cell,46
Fuel cell vehicle,0
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,25
Intelligent transportation system,0
Jetpack,0
Maglev,2
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,205
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,1
VTOL,9
Hyper-personalized intelligence,50
neuromorphic engineering,0
solid-state battery,0
