,Canada
Physical Internet,0
Pulse detonation engine,0
Rapid transit,3042
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,11
Hyper-personalized intelligence,311
neuromorphic engineering,0
solid-state battery,0
