,Georgia
Energy harvesting,17
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,0
Gas generator,1
Gas-cooled fast reactor,0
Gasification,3
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,4
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,10
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,3
Molten salt reactor,2
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,24
Optical rectenna,16
Organic solar cell,0
Perovskite solar cell,0
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,8
Smart grid,23
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,9
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,21
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,1
Zero-energy building,0
Automated journalism,0
Foundation garment,2
Haptic feedback systems,0
Wearable journalism,56
Cryptocurrency,73
Stablecoin,0
Companion robot,0
Cryonics,0
Extreme Life extension,67
Suspended animation,0
5D DVD,0
5g,26
6G,0
Ambient intelligence,19
Artificial brain,0
Artificial general intelligence,273
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,25
Compressive Sensing,0
Deep learning,44
deep trench capacitor,0
Digital image processing,8
Digital image segmentation,0
Distributed ledger,117
DNA Computing,0
DNA digital data storage,0
Edge Computing,4
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,0
Facial recognition,7
General-purpose computing on graphics processing units,0
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,114
Li-Fi,0
Machine translation,0
Machine vision,11
Nanoradio,0
Natural Language Processing,5
Neural Networks,53
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,13
Quantum cryptography,0
Semantic Web,0
Silicon laser for communication,0
Smartphone,152
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,0
Virtual reality applications,1
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,4
Amorphous metal,0
Bioplastic,20
Carbon nanotube,38
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,1
Gallium Nitride semiconductor,0
Graphene,86
Graphene Oxide dough,1
High Entropy Alloys,2
Magnetic nanoparticles,3
Magnetorheological fluid,0
Metal foam,1
Metamaterial,26
Multi-function structure,0
Nanocrystal,27
Nanotextured surface,9
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,8
Quantum dot,11
Self-cleaning surfaces,0
Shape Memory Polymer,7
Shape-memory alloy,0
Silicene,0
Single Photon Source,1
Superalloy,0
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,2
Zero-friction coating,0
16K video resolution,0
Augmented reality,53
Brain-computer interface,5
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),4
Mixed Reality,4
Video tracking,0
Virtual reality,46
3D Bioprinting,1
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,32
Biomimetic Nanocoagulation,0
Biosensor,6
Breath analysis,0
Cancer biomarker,0
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,0
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,12
Microelectromechanical systems,7
Microfluidics,10
Molecular electronics,3
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,1
Nutritional genomics,1
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,0
Plasma Medicine,1
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,1
Regenerative Medicine,259
Sensory substitution,0
Single Cell Analysis,0
Stasis Chamber,0
Synthetic Blood,6
Theranostic Wound Care,11
Transdermal optical imaging,0
Active camouflage,0
Active noise control,2
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,1
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,0
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,41
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,8
Quantum illumination,1
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,4
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,8
Electronic cigarette,61
Enzybiotics,0
Exhalation delivery system,85
Gene Editing,49
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,1
Phage therapy,29
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,8
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,5
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,2
Autonomous Rail Rapid Transit,0
Autonomous vehicle,30
Backpack helicopter,0
Electric vehicle,100
Fuel cell,38
Fuel cell vehicle,2
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,3
Intelligent transportation system,5
Jetpack,2
Maglev,8
PAV,0
Personal rapid transit,0
Physical Internet,9
Pulse detonation engine,0
Rapid transit,1637
Rocket transportation,0
Supersonic transport,1
Urban rail transit,0
Vactrain,0
VTOL,1
Hyper-personalized intelligence,8
neuromorphic engineering,0
solid-state battery,0
