,South Korea
Energy harvesting,45
Floating Liquefied Natural Gas,13
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,35
Gas generator,4
Gas-cooled fast reactor,0
Gasification,31
Generation IV reactor,1
Grid energy storage,3
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,118
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,174
Lithium iron phosphate battery,0
Lithium-air battery,7
Lithium-sulfur battery,8
Magnesium battery,0
Microbial electrolysis cell,1
Microreactor,0
Mini Bioreactors,0
Modular Reactors,17
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,18
Oil detection,105
Optical rectenna,0
Organic solar cell,0
Perovskite solar cell,17
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,4
Smart grid,130
Sodium-cooled fast reactor,4
Space-based solar power,1
Supercapacitor,106
Supercritical water reactor,0
Third-generation biofuels,1
Thorium fuel cycle,0
Triboelectric Nanogenerator,2
Virtual power Plant,7
Vortex engine,0
Wireless power transfer,39
Zero-energy building,9
Automated journalism,0
Foundation garment,1
Haptic feedback systems,3
Wearable journalism,216
Cryptocurrency,2831
Stablecoin,24
Companion robot,28
Cryonics,0
Extreme Life extension,19
Suspended animation,0
5D DVD,0
5g,2329
6G,76
Ambient intelligence,13
Artificial brain,0
Artificial general intelligence,978
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,128
Compressive Sensing,0
Deep learning,132
deep trench capacitor,0
Digital image processing,25
Digital image segmentation,0
Distributed ledger,1798
DNA Computing,0
DNA digital data storage,0
Edge Computing,10
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,8
Facial recognition,58
General-purpose computing on graphics processing units,1
GPT-4,0
Haptic technology,16
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,1
Internet of things,218
Li-Fi,2
Machine translation,3
Machine vision,43
Nanoradio,0
Natural Language Processing,22
Neural Networks,22
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,18
Quantum cryptography,12
Semantic Web,0
Silicon laser for communication,0
Smartphone,1800
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,9
Virtual reality applications,1
Visible Light Communication,13
wi-fi 6,1
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,35
Amorphous metal,2
Bioplastic,2
Carbon nanotube,109
Conductive polymer,6
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,11
Gallium Nitride semiconductor,2
Graphene,487
Graphene Oxide dough,35
High Entropy Alloys,0
Magnetic nanoparticles,2
Magnetorheological fluid,0
Metal foam,1
Metamaterial,16
Multi-function structure,0
Nanocrystal,13
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,92
Self-cleaning surfaces,0
Shape Memory Polymer,1
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,2
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,17
Zero-friction coating,1
16K video resolution,0
Augmented reality,130
Brain-computer interface,20
Computer-generated imagery,10
Detecting fake news online automatically,0
e-Reader,6
Extended Reality,0
hydrogen vehicle,7
Immersion (virtual reality),0
Mixed Reality,12
Video tracking,0
Virtual reality,206
3D Bioprinting,19
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,76
Biomimetic Nanocoagulation,0
Biosensor,49
Breath analysis,1
Cancer biomarker,2
Capsule endoscopy,14
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,2
Electroanalgesia,0
Electronic nose,1
Head transplant,1
Intelligent toilet,2
Jet injector,1
Lab-on-a-chip,18
Microelectromechanical systems,67
Microfluidics,6
Molecular electronics,0
Nanorobotics,17
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,16
Omni Processor,0
OOKP,1
Organ-on-a-Chip,1
Photoacoustic imaging,12
Plasma Medicine,33
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,1
Regenerative Medicine,239
Sensory substitution,0
Single Cell Analysis,1
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,50
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,1
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,4
Electrothermal-chemical technology for propellants,0
EMP weapon,14
Explosively pumped flux compression generator,0
Force Field,8
Homodyne detection,0
HPM weapons,2
Hypersonic weapon,11
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,4
Lidar,89
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,6
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,7
Quantum illumination,1
Quantum radar,1
Railgun,2
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,1
Urban mining,18
Closed system drug transfer device,0
DNA repair,3
Electronic cigarette,27
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,74
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,8
Phage therapy,6
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,46
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,0
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,2
Autonomous Rail Rapid Transit,0
Autonomous vehicle,134
Backpack helicopter,0
Electric vehicle,324
Fuel cell,582
Fuel cell vehicle,156
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,7
Hyperloop,39
Intelligent transportation system,2
Jetpack,0
Maglev,10
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,770
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,20
Hyper-personalized intelligence,149
neuromorphic engineering,0
solid-state battery,0
