,India
Gas-cooled fast reactor,0
Gasification,187
Generation IV reactor,1
Grid energy storage,34
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,91
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,447
Lithium iron phosphate battery,2
Lithium-air battery,1
Lithium-sulfur battery,2
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,5
Mini Bioreactors,0
Modular Reactors,4
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,7
Ocean thermal energy conversion,12
Oil detection,358
Optical rectenna,0
Organic solar cell,3
Perovskite solar cell,5
Power-to-X,0
Proton Battery,2
Quantum dot solar cell,0
second-generation biofuels,66
Smart grid,713
Sodium-cooled fast reactor,1
Space-based solar power,9
Supercapacitor,49
Supercritical water reactor,0
Third-generation biofuels,10
Thorium fuel cycle,6
Triboelectric Nanogenerator,0
Virtual power Plant,25
Vortex engine,0
Wireless power transfer,22
Zero-energy building,1
Automated journalism,0
Foundation garment,10
Haptic feedback systems,7
Wearable journalism,745
Cryptocurrency,2151
Stablecoin,62
Companion robot,16
Cryonics,1
Extreme Life extension,18
Suspended animation,0
5D DVD,0
5g,3284
6G,69
Ambient intelligence,3
Artificial brain,0
Artificial general intelligence,3901
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,1266
Compressive Sensing,0
Deep learning,386
deep trench capacitor,0
Digital image processing,51
Digital image segmentation,0
Distributed ledger,3136
DNA Computing,0
DNA digital data storage,0
Edge Computing,119
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,14
Facial recognition,236
General-purpose computing on graphics processing units,1
GPT-4,0
Haptic technology,36
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,1928
Li-Fi,75
Machine translation,47
Machine vision,148
Nanoradio,0
Natural Language Processing,189
Neural Networks,61
Neural-sensing headset,0
next gen web search,0
Open source model,7
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,158
Quantum cryptography,34
Semantic Web,26
Silicon laser for communication,0
Smartphone,10956
Spatial computing,0
Streaming television,6
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,36
Virtual reality applications,6
Visible Light Communication,46
wi-fi 6,3
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,55
Amorphous metal,8
Bioplastic,37
Carbon nanotube,105
Conductive polymer,14
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,6
Gallium Nitride semiconductor,9
Graphene,284
Graphene Oxide dough,27
High Entropy Alloys,1
Magnetic nanoparticles,11
Magnetorheological fluid,1
Metal foam,2
Metamaterial,16
Multi-function structure,0
Nanocrystal,21
Nanotextured surface,0
Photonic Metamaterial,1
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,120
Self-cleaning surfaces,4
Shape Memory Polymer,1
Shape-memory alloy,4
Silicene,0
Single Photon Source,0
Superalloy,11
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,1
Zeolite,145
Zero-friction coating,0
16K video resolution,0
Augmented reality,463
Brain-computer interface,17
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,4
Extended Reality,25
hydrogen vehicle,6
Immersion (virtual reality),10
Mixed Reality,57
Video tracking,0
Virtual reality,550
3D Bioprinting,52
Anti-degenerative medicine,0
Apheresis,50
Artificial womb,1
Bio Ink,150
Biomimetic Nanocoagulation,0
Biosensor,61
Breath analysis,0
Cancer biomarker,23
Capsule endoscopy,36
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,14
Electroanalgesia,0
Electronic nose,8
Head transplant,6
Intelligent toilet,5
Jet injector,1
Lab-on-a-chip,35
Microelectromechanical systems,173
Microfluidics,56
Molecular electronics,0
Nanorobotics,10
Neuron Control,0
Neuroprosthetics,43
Nutritional genomics,0
Omni Processor,2
OOKP,0
Organ-on-a-Chip,17
Photoacoustic imaging,10
Plasma Medicine,30
Point of care automated analyser,0
Portable water purification,1
Powered exoskeleton,1
Protein Structure Prediction,0
Rapid diagnostic test,2
Real-time polymerase chain reaction,4
Regenerative Medicine,851
Sensory substitution,0
Single Cell Analysis,30
Stasis Chamber,0
Synthetic Blood,12
Theranostic Wound Care,126
Transdermal optical imaging,2
Active camouflage,12
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,2
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,2
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,3
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,9
Homodyne detection,0
HPM weapons,13
Hypersonic weapon,43
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,10
Lidar,181
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,22
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,7
Quantum illumination,4
Quantum radar,0
Railgun,1
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,2
Biomining,0
Urban mining,1
Closed system drug transfer device,4
DNA repair,6
Electronic cigarette,274
Enzybiotics,0
Exhalation delivery system,6
Gene Editing,75
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,6
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,10
Phage therapy,5
Receptor activated solely by a synthetic ligand,0
Senolytic,1
Stem-cell therapy,596
Structurally nanoengineered antimicrobial polypeptide polymers,1
Targeted drug delivery,3
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,2
Launch loop,0
Mass driver,6
Mini-magnetosphere,0
Miniaturized satellite,1
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,1
Propellant depot,0
Ram accelarator,0
Reusable launch system,1
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,4
StarTram,0
Suborbital launch,2
Autonomous Rail Rapid Transit,0
Autonomous vehicle,161
Backpack helicopter,0
Electric vehicle,1364
Fuel cell,360
Fuel cell vehicle,63
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,6
Hyperloop,409
Intelligent transportation system,79
Jetpack,6
Maglev,20
PAV,7
Personal rapid transit,3
Physical Internet,1
Pulse detonation engine,1
Rapid transit,3863
Rocket transportation,0
Supersonic transport,1
Urban rail transit,2
Vactrain,0
VTOL,34
Hyper-personalized intelligence,882
neuromorphic engineering,0
solid-state battery,0
