,Israel
Quantum dot,5
Self-cleaning surfaces,0
Shape Memory Polymer,0
Shape-memory alloy,0
Silicene,0
Single Photon Source,0
Superalloy,1
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,0
Zero-friction coating,0
16K video resolution,0
Augmented reality,200
Brain-computer interface,9
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,11
Video tracking,0
Virtual reality,95
3D Bioprinting,35
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,62
Biomimetic Nanocoagulation,0
Biosensor,2
Breath analysis,9
Cancer biomarker,0
Capsule endoscopy,9
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,10
Head transplant,0
Intelligent toilet,0
Jet injector,0
Lab-on-a-chip,3
Microelectromechanical systems,10
Microfluidics,3
Molecular electronics,1
Nanorobotics,12
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,1
Photoacoustic imaging,0
Plasma Medicine,2
Point of care automated analyser,0
Portable water purification,1
Powered exoskeleton,7
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,701
Sensory substitution,1
Single Cell Analysis,2
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,70
Transdermal optical imaging,0
Active camouflage,1
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,1
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,4
Homodyne detection,0
HPM weapons,0
Hypersonic weapon,2
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,5
Lidar,104
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,12
Quantum illumination,9
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,1
Closed system drug transfer device,0
DNA repair,8
Electronic cigarette,24
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,132
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,1
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,0
Phage therapy,4
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,23
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,4
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,164
Backpack helicopter,0
Electric vehicle,22
Fuel cell,22
Fuel cell vehicle,0
Hoverbike,3
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,4
Intelligent transportation system,0
Jetpack,1
Maglev,2
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,349
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,46
Hyper-personalized intelligence,36
neuromorphic engineering,0
solid-state battery,0
