,France
Energy harvesting,19
Floating Liquefied Natural Gas,1
Flywheel energy storage,0
Fourth-generation biofuel,4
Fusion power,55
Gas generator,8
Gas-cooled fast reactor,1
Gasification,12
Generation IV reactor,0
Grid energy storage,2
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,24
Lead-cooled fast reactor,1
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,26
Lithium iron phosphate battery,0
Lithium-air battery,0
Lithium-sulfur battery,1
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,0
Mini Bioreactors,0
Modular Reactors,8
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,2
Oil detection,73
Optical rectenna,1
Organic solar cell,0
Perovskite solar cell,7
Power-to-X,1
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,4
Smart grid,89
Sodium-cooled fast reactor,4
Space-based solar power,0
Supercapacitor,17
Supercritical water reactor,0
Third-generation biofuels,1
Thorium fuel cycle,2
Triboelectric Nanogenerator,0
Virtual power Plant,16
Vortex engine,0
Wireless power transfer,1
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,3
Wearable journalism,45
Cryptocurrency,351
Stablecoin,10
Companion robot,6
Cryonics,0
Extreme Life extension,107
Suspended animation,0
5D DVD,0
5g,414
6G,6
Ambient intelligence,1
Artificial brain,0
Artificial general intelligence,914
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,120
Compressive Sensing,0
Deep learning,66
deep trench capacitor,0
Digital image processing,37
Digital image segmentation,0
Distributed ledger,472
DNA Computing,0
DNA digital data storage,0
Edge Computing,4
Edge enhancement,0
Embedded systems in substrate,0
Exascale computing,3
Extreme ultraviolet lithography,1
Facial recognition,33
General-purpose computing on graphics processing units,2
GPT-4,0
Haptic technology,8
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,0
Internet of things,273
Li-Fi,18
Machine translation,13
Machine vision,37
Nanoradio,0
Natural Language Processing,10
Neural Networks,16
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,0
Quantum algorithm,0
Quantum computing hardware,68
Quantum cryptography,3
Semantic Web,4
Silicon laser for communication,0
Smartphone,318
Spatial computing,0
Streaming television,1
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,5
Virtual reality applications,0
Visible Light Communication,12
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,2
Intelligent Knowledge Management,0
Aerogel,24
Amorphous metal,2
Bioplastic,5
Carbon nanotube,35
Conductive polymer,1
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,0
Fullerene,8
Gallium Nitride semiconductor,0
Graphene,62
Graphene Oxide dough,4
High Entropy Alloys,0
Magnetic nanoparticles,2
Magnetorheological fluid,1
Metal foam,0
Metamaterial,6
Multi-function structure,0
Nanocrystal,2
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,16
Self-cleaning surfaces,2
Shape Memory Polymer,1
Shape-memory alloy,1
Silicene,2
Single Photon Source,0
Superalloy,2
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,16
Zero-friction coating,0
16K video resolution,0
Augmented reality,43
Brain-computer interface,10
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,1
Extended Reality,6
hydrogen vehicle,0
Immersion (virtual reality),6
Mixed Reality,7
Video tracking,0
Virtual reality,97
3D Bioprinting,22
Anti-degenerative medicine,0
Apheresis,6
Artificial womb,0
Bio Ink,49
Biomimetic Nanocoagulation,0
Biosensor,7
Breath analysis,0
Cancer biomarker,6
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,3
Head transplant,0
Intelligent toilet,1
Jet injector,0
Lab-on-a-chip,3
Microelectromechanical systems,66
Microfluidics,32
Molecular electronics,0
Nanorobotics,3
Neuron Control,0
Neuroprosthetics,7
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,4
Photoacoustic imaging,2
Plasma Medicine,16
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,6
Protein Structure Prediction,0
Rapid diagnostic test,4
Real-time polymerase chain reaction,0
Regenerative Medicine,60
Sensory substitution,0
Single Cell Analysis,3
Stasis Chamber,0
Synthetic Blood,1
Theranostic Wound Care,82
Transdermal optical imaging,0
Active camouflage,0
Active noise control,1
Automatic identification of suspicious activity,0
Cloaking device,1
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,1
Homodyne detection,0
HPM weapons,3
Hypersonic weapon,6
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,68
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,1
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,2
Quantum illumination,7
Quantum radar,0
Railgun,2
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,1
Urban mining,0
Closed system drug transfer device,0
DNA repair,14
Electronic cigarette,57
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,180
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,85
Phage therapy,25
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,4
Structurally nanoengineered antimicrobial polypeptide polymers,3
Targeted drug delivery,4
Virotherapy,1
Air-launch-to-orbit,0
Artificial gravity,2
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,1
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,2
StarTram,0
Suborbital launch,4
Autonomous Rail Rapid Transit,0
Autonomous vehicle,69
Backpack helicopter,0
Electric vehicle,170
Fuel cell,90
Fuel cell vehicle,17
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,89
Intelligent transportation system,6
Jetpack,0
Maglev,7
PAV,0
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,595
Rocket transportation,0
Supersonic transport,4
Urban rail transit,0
Vactrain,0
VTOL,13
Hyper-personalized intelligence,94
neuromorphic engineering,0
solid-state battery,0
