,commercialization
Edge Computing,207
Edge enhancement,40
Embedded systems in substrate,0
Exascale computing,11
Extreme ultraviolet lithography,208
Facial recognition,2085
General-purpose computing on graphics processing units,105
GPT-4,0
Haptic technology,111
Holographic data storage,55
Hyper CD-ROM,0
In-memory processing,18
In-storage processing,0
Indoor positioning system,71
Internet of things,6690
Li-Fi,135
Machine translation,1008
Machine vision,848
Nanoradio,0
Natural Language Processing,1242
Neural Networks,1878
Neural-sensing headset,0
next gen web search,0
Open source model,4
Optical computing,70
Quantum algorithm,15
Quantum computing hardware,192
Quantum cryptography,442
Semantic Web,240
Silicon laser for communication,0
Smartphone,18444
Spatial computing,1
Streaming television,259
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,2250
Virtual reality applications,61
Visible Light Communication,417
wi-fi 6,5
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,34
Intelligent Knowledge Management,0
Aerogel,696
Amorphous metal,239
Bioplastic,49
Carbon nanotube,3552
Conductive polymer,943
Cryogenic treatment,15
Dynamic Armor,0
Eutectic system,22
Fast-ion Conductors,0
Fullerene,354
Gallium Nitride semiconductor,11
Graphene,2329
Graphene Oxide dough,373
High Entropy Alloys,2
Magnetic nanoparticles,184
Magnetorheological fluid,53
Metal foam,147
Metamaterial,139
Multi-function structure,0
Nanocrystal,825
Nanotextured surface,3
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,4
Quantum dot,1633
Self-cleaning surfaces,20
Shape Memory Polymer,63
Shape-memory alloy,365
Silicene,3
Single Photon Source,7
Superalloy,656
Superfluidity,0
Superlenses chips,0
Syntactic Materials,6
Time crystal,3
Zeolite,5584
Zero-friction coating,83
16K video resolution,0
Augmented reality,2647
Brain-computer interface,19
Computer-generated imagery,37
Detecting fake news online automatically,0
e-Reader,155
Extended Reality,14
hydrogen vehicle,14
Immersion (virtual reality),7
Mixed Reality,519
Video tracking,71
Virtual reality,2660
3D Bioprinting,8
Anti-degenerative medicine,0
Apheresis,225
Artificial womb,2
Bio Ink,925
Biomimetic Nanocoagulation,0
Biosensor,1468
Breath analysis,58
Cancer biomarker,59
Capsule endoscopy,18
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,24
Electroanalgesia,0
Electronic nose,131
Head transplant,0
Intelligent toilet,10
Jet injector,19
Lab-on-a-chip,253
Microelectromechanical systems,4220
Microfluidics,964
Molecular electronics,24
Nanorobotics,8
Neuron Control,0
Neuroprosthetics,3
Nutritional genomics,9
Omni Processor,0
OOKP,0
Organ-on-a-Chip,5
Photoacoustic imaging,46
Plasma Medicine,37
Point of care automated analyser,4
Portable water purification,4
Powered exoskeleton,19
Protein Structure Prediction,10
Rapid diagnostic test,12
Real-time polymerase chain reaction,113
Regenerative Medicine,801
Sensory substitution,0
Single Cell Analysis,95
Stasis Chamber,0
Synthetic Blood,79
Theranostic Wound Care,25
Transdermal optical imaging,0
Active camouflage,301
Active noise control,28
Automatic identification of suspicious activity,0
Cloaking device,10
Coilgun,1
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,6
Electrolaser,0
Electroshock weapon,21
Electrothermal-chemical technology for propellants,0
EMP weapon,3
Explosively pumped flux compression generator,0
Force Field,114
Homodyne detection,14
HPM weapons,19
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,2
Laser weapon,10
Lidar,1368
MAHEM,0
Metamaterial cloaking,1
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,94
Optoelectronic oscillator,3
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,82
Quantum illumination,14
Quantum radar,2
Railgun,12
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,1
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,9
Biomining,101
Urban mining,0
Closed system drug transfer device,0
DNA repair,2867
Electronic cigarette,757
Enzybiotics,0
Exhalation delivery system,8
Gene Editing,1140
Genome Prime Editing,0
ISCOM,36
Medicinal fungi,1
Microneedle drug delivery,0
Molecular Inversion Probe,8
NASBA,181
Off-target genome editing,8
Oncolytic virus,68
Phage therapy,38
Receptor activated solely by a synthetic ligand,2
Senolytic,38
Stem-cell therapy,82
Structurally nanoengineered antimicrobial polypeptide polymers,22
Targeted drug delivery,134
Virotherapy,4
Air-launch-to-orbit,0
Artificial gravity,4
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,2
Ion thruster,4
Launch loop,0
Mass driver,1
Mini-magnetosphere,0
Miniaturized satellite,14
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,3
Propellant depot,1
Ram accelarator,0
Reusable launch system,2
Reusable rocket technology for orbital rockets,0
Skyhook,25
Space elevator,12
Space gun,0
Spaceplane,7
StarTram,1
Suborbital launch,1
Autonomous Rail Rapid Transit,0
Autonomous vehicle,1479
Backpack helicopter,0
Electric vehicle,4325
Fuel cell,8806
Fuel cell vehicle,576
Hoverbike,2
Hovertrain,0
Hydrogen vehicle,14
Hyperloop,7
Intelligent transportation system,71
Jetpack,6
Maglev,102
PAV,69
Personal rapid transit,27
Physical Internet,16
Pulse detonation engine,6
Rapid transit,10521
Rocket transportation,4
Supersonic transport,9
Urban rail transit,28
Vactrain,0
VTOL,201
Hyper-personalized intelligence,6375
neuromorphic engineering,0
solid-state battery,0
