,emergence
Silicene,40
Single Photon Source,50
Superalloy,1080
Superfluidity,9
Superlenses chips,0
Syntactic Materials,0
Time crystal,40
Zeolite,6781
Zero-friction coating,345
16K video resolution,0
Augmented reality,7446
Brain-computer interface,258
Computer-generated imagery,93
Detecting fake news online automatically,0
e-Reader,283
Extended Reality,68
hydrogen vehicle,18
Immersion (virtual reality),42
Mixed Reality,1188
Video tracking,203
Virtual reality,6881
3D Bioprinting,63
Anti-degenerative medicine,0
Apheresis,599
Artificial womb,6
Bio Ink,6304
Biomimetic Nanocoagulation,0
Biosensor,6545
Breath analysis,141
Cancer biomarker,276
Capsule endoscopy,109
Cortical implant,4
De-extinction,0
DNA-templated organic synthesis,2
Drug-eluting stent,294
Electroanalgesia,18
Electronic nose,320
Head transplant,5
Intelligent toilet,51
Jet injector,67
Lab-on-a-chip,1050
Microelectromechanical systems,18192
Microfluidics,2704
Molecular electronics,548
Nanorobotics,35
Neuron Control,5
Neuroprosthetics,61
Nutritional genomics,21
Omni Processor,0
OOKP,1
Organ-on-a-Chip,34
Photoacoustic imaging,320
Plasma Medicine,370
Point of care automated analyser,5
Portable water purification,19
Powered exoskeleton,125
Protein Structure Prediction,104
Rapid diagnostic test,43
Real-time polymerase chain reaction,196
Regenerative Medicine,4519
Sensory substitution,41
Single Cell Analysis,319
Stasis Chamber,0
Synthetic Blood,411
Theranostic Wound Care,198
Transdermal optical imaging,0
Active camouflage,1674
Active noise control,166
Automatic identification of suspicious activity,0
Cloaking device,28
Coilgun,33
Compact Kinetic Energy Missile,0
DART ammunition,5
Delay-line oscillator,6
Electrolaser,2
Electroshock weapon,178
Electrothermal-chemical technology for propellants,0
EMP weapon,7
Explosively pumped flux compression generator,0
Force Field,1127
Homodyne detection,60
HPM weapons,18
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,11
Laser weapon,39
Lidar,4444
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,170
Optoelectronic oscillator,22
Particle-beam weapon,2
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,175
Quantum illumination,122
Quantum radar,1
Railgun,114
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,8
Teslaphoresis,0
Vortex ring gun,3
Asteroid mining,1
Biomining,63
Urban mining,3
Closed system drug transfer device,0
DNA repair,2109
Electronic cigarette,2449
Enzybiotics,66
Exhalation delivery system,93
Gene Editing,2209
Genome Prime Editing,0
ISCOM,144
Medicinal fungi,25
Microneedle drug delivery,4
Molecular Inversion Probe,50
NASBA,1367
Off-target genome editing,4
Oncolytic virus,710
Phage therapy,219
Receptor activated solely by a synthetic ligand,17
Senolytic,44
Stem-cell therapy,569
Structurally nanoengineered antimicrobial polypeptide polymers,42
Targeted drug delivery,1436
Virotherapy,139
Air-launch-to-orbit,0
Artificial gravity,39
Beam-powered propulsion,1
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,101
Launch loop,1
Mass driver,11
Mini-magnetosphere,3
Miniaturized satellite,8
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,49
Propellant depot,6
Ram accelarator,0
Reusable launch system,1
Reusable rocket technology for orbital rockets,0
Skyhook,103
Space elevator,21
Space gun,1
Spaceplane,1
StarTram,1
Suborbital launch,5
Autonomous Rail Rapid Transit,0
Autonomous vehicle,4267
Backpack helicopter,0
Electric vehicle,19239
Fuel cell,40302
Fuel cell vehicle,1973
Hoverbike,0
Hovertrain,9
Hydrogen vehicle,18
Hyperloop,17
Intelligent transportation system,121
Jetpack,18
Maglev,365
PAV,282
Personal rapid transit,17
Physical Internet,17
Pulse detonation engine,29
Rapid transit,14036
Rocket transportation,0
Supersonic transport,10
Urban rail transit,107
Vactrain,0
VTOL,523
Hyper-personalized intelligence,12943
neuromorphic engineering,0
solid-state battery,0
