,R_D
Mini-magnetosphere,3
Miniaturized satellite,40
Nuclear photonic rocket,0
Photon rocket,1
Photonic laser thruster,0
Plasma propulsion engine,49
Propellant depot,14
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,312
Space elevator,51
Space gun,6
Spaceplane,15
StarTram,1
Suborbital launch,10
Autonomous Rail Rapid Transit,0
Autonomous vehicle,5547
Backpack helicopter,0
Electric vehicle,19547
Fuel cell,35024
Fuel cell vehicle,1600
Hoverbike,1
Hovertrain,1
Hydrogen vehicle,37
Hyperloop,16
Intelligent transportation system,193
Jetpack,38
Maglev,571
PAV,406
Personal rapid transit,10
Physical Internet,8
Pulse detonation engine,43
Rapid transit,35676
Rocket transportation,0
Supersonic transport,15
Urban rail transit,397
Vactrain,0
VTOL,958
Hyper-personalized intelligence,17866
neuromorphic engineering,0
solid-state battery,0
