y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3rd generation solar cell,,,,,,,,,,,,,,,,,,2.0,,,,
Airborne wind turbine,,,,,,,,,,,1.0,,1.0,4.0,4.0,6.0,12.0,1.0,2.0,1.0,,
Artificial photosynthesis,,,,,,,,,1.0,2.0,3.0,2.0,6.0,1.0,11.0,99.0,26.0,21.0,40.0,41.0,31.0,
Biobattery,,,,,,,,,,,,,,,,3.0,,,1.0,,,
Biomass to liquid,,,,,,,,,1.0,,2.0,,1.0,1.0,2.0,18.0,13.0,8.0,7.0,,1.0,
Coal liquefaction,,,,,,,,,8.0,1.0,5.0,2.0,4.0,4.0,10.0,111.0,48.0,75.0,76.0,84.0,12.0,
Combined Cycle Gas Turbine Plant,,,,,,,,,3.0,1.0,5.0,6.0,3.0,8.0,23.0,633.0,497.0,378.0,517.0,346.0,114.0,
concentrated solar power,,,,,,,,,3.0,5.0,6.0,24.0,24.0,15.0,56.0,388.0,439.0,374.0,550.0,379.0,191.0,
CZTS solar cell,,,,,,,,,,,,,3.0,1.0,,,1.0,,,,,
Dye-sensitized solar cell,,,,,,,,,,,,,2.0,,,17.0,7.0,16.0,17.0,15.0,8.0,
Electric vehicle battery fast charge,,,,,,,,,2.0,11.0,34.0,73.0,77.0,126.0,160.0,1800.0,1558.0,1973.0,2266.0,2326.0,1632.0,
Energy harvesting,,,,,,,,,2.0,4.0,9.0,8.0,17.0,23.0,45.0,622.0,458.0,948.0,637.0,403.0,206.0,
Floating Liquefied Natural Gas,,,,,,,,,,3.0,,4.0,6.0,16.0,58.0,973.0,609.0,631.0,1204.0,717.0,136.0,
Flywheel energy storage,,,,,,,,,1.0,,2.0,12.0,3.0,,3.0,45.0,87.0,43.0,80.0,36.0,19.0,
Fourth-generation biofuel,,,,,,,,,2.0,6.0,2.0,2.0,1.0,3.0,3.0,84.0,34.0,18.0,94.0,53.0,22.0,
Fusion power,,,,,,,,,3.0,3.0,3.0,5.0,11.0,6.0,7.0,110.0,109.0,116.0,167.0,124.0,120.0,
Gas generator,,,,,,,,,,4.0,,4.0,4.0,7.0,8.0,668.0,264.0,198.0,280.0,168.0,99.0,
Gas-cooled fast reactor,,,,,,,,,,,,,,,,,,,1.0,,,
Gasification,,,,,,,,,57.0,52.0,21.0,37.0,75.0,107.0,153.0,2348.0,1426.0,1301.0,1925.0,1150.0,721.0,
Generation IV reactor,,,,,,,,,,,,,,,3.0,8.0,2.0,3.0,5.0,3.0,2.0,
Grid energy storage,,,,,,,,,,2.0,,1.0,6.0,3.0,29.0,285.0,125.0,182.0,740.0,566.0,119.0,
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,,
Hydrogen fuel,,,,,,,,,24.0,24.0,21.0,29.0,26.0,72.0,234.0,2415.0,1360.0,2104.0,1870.0,2242.0,2440.0,2.0
Lead-cooled fast reactor,,,,,,,,,,,,,,,,9.0,1.0,,3.0,1.0,3.0,
Liquid fluoride thorium reactor,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,
Liquid metal battery,,,,,,,,,,,,3.0,4.0,4.0,7.0,25.0,6.0,4.0,7.0,7.0,2.0,
Lithium ion battery,,,,,,,,,21.0,35.0,45.0,62.0,94.0,153.0,196.0,2656.0,2915.0,4003.0,5114.0,4208.0,2106.0,
Lithium iron phosphate battery,,,,,,,,,,,2.0,,2.0,3.0,2.0,35.0,31.0,49.0,141.0,67.0,50.0,
Lithium-air battery,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,13.0,5.0,21.0,29.0,13.0,8.0,
Lithium-sulfur battery,,,,,,,,,,,,1.0,1.0,1.0,,57.0,10.0,27.0,31.0,19.0,25.0,
Magnesium battery,,,,,,,,,,,,,,,,45.0,4.0,5.0,5.0,3.0,,
Microbial electrolysis cell,,,,,,,,,,,,,,,,,,,,,1.0,
Microreactor,,,,,,,,,,,,,1.0,,3.0,6.0,2.0,9.0,18.0,61.0,26.0,
Mini Bioreactors,,,,,,,,,,,,,,,,,4.0,1.0,3.0,,,
Modular Reactors,,,,,,,,,,,2.0,9.0,17.0,12.0,11.0,109.0,127.0,92.0,90.0,130.0,178.0,
Molten salt reactor,,,,,,,,,,,,,1.0,2.0,1.0,98.0,62.0,32.0,61.0,32.0,24.0,
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,11.0,18.0,22.0,13.0,,
Ocean thermal energy conversion,,,,,,,,,3.0,1.0,1.0,7.0,1.0,3.0,7.0,77.0,46.0,50.0,101.0,51.0,16.0,
Oil detection,,,,,,,,,34.0,30.0,60.0,76.0,180.0,269.0,1480.0,15414.0,15128.0,16984.0,31166.0,14487.0,2871.0,
Optical rectenna,,,,,,,,,,,,,,,,7.0,,3.0,2.0,2.0,3.0,
Organic solar cell,,,,,,,,,,1.0,,,1.0,2.0,2.0,19.0,25.0,15.0,37.0,10.0,4.0,
Perovskite solar cell,,,,,,,,,,,,,,,1.0,58.0,57.0,79.0,70.0,32.0,31.0,
Power-to-X,,,,,,,,,,,,,,,,,,,5.0,23.0,31.0,
Proton Battery,,,,,,,,,,,,,,,,,,,18.0,4.0,2.0,
Quantum dot solar cell,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,4.0,
second-generation biofuels,,,,,,,,,46.0,57.0,45.0,75.0,97.0,87.0,176.0,747.0,343.0,424.0,399.0,219.0,47.0,
Smart grid,,,,,,,,,33.0,262.0,263.0,255.0,446.0,752.0,478.0,5072.0,2892.0,3243.0,3316.0,1865.0,768.0,1.0
Sodium-cooled fast reactor,,,,,,,,,,,,1.0,,,,7.0,4.0,3.0,4.0,,3.0,
Space-based solar power,,,,,,,,,,3.0,1.0,1.0,,3.0,11.0,18.0,10.0,27.0,43.0,61.0,13.0,
Supercapacitor,,,,,,,,,2.0,4.0,2.0,5.0,7.0,3.0,45.0,452.0,397.0,378.0,699.0,422.0,160.0,
Supercritical water reactor,,,,,,,,,,,,,,,,,,,,,,
Third-generation biofuels,,,,,,,,,4.0,8.0,8.0,10.0,19.0,19.0,12.0,112.0,38.0,65.0,66.0,28.0,14.0,
Thorium fuel cycle,,,,,,,,,,,2.0,,2.0,1.0,,5.0,2.0,1.0,3.0,2.0,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,,2.0,1.0,2.0,10.0,4.0,9.0,
Virtual power Plant,,,,,,,,,,,3.0,,5.0,2.0,2.0,59.0,91.0,201.0,394.0,258.0,118.0,
Vortex engine,,,,,,,,,,,,,2.0,,,1.0,6.0,1.0,2.0,,,
Wireless power transfer,,,,,,,,,,3.0,1.0,1.0,8.0,2.0,28.0,143.0,173.0,437.0,450.0,170.0,81.0,
Zero-energy building,,,,,,,,,2.0,1.0,2.0,3.0,4.0,1.0,6.0,31.0,35.0,51.0,68.0,76.0,27.0,
Automated journalism,,,,,,,,,,,,,,,1.0,11.0,9.0,3.0,3.0,6.0,,
Foundation garment,,,,,,,,,1.0,1.0,3.0,5.0,8.0,8.0,31.0,370.0,495.0,606.0,554.0,433.0,381.0,
Haptic feedback systems,,,,,,,,,10.0,,5.0,1.0,11.0,6.0,11.0,155.0,130.0,125.0,102.0,113.0,58.0,
Wearable journalism,,,,,,,,,1.0,3.0,9.0,6.0,26.0,173.0,1816.0,22664.0,13624.0,10966.0,12913.0,13185.0,6366.0,1.0
Cryptocurrency,,,,,,,,,9.0,29.0,58.0,63.0,83.0,305.0,1142.0,8530.0,6858.0,38495.0,230130.0,130532.0,20167.0,31.0
Stablecoin,,,,,,,,,,,,,,,,1.0,19.0,14.0,1636.0,3432.0,1576.0,1.0
Companion robot,,,,,,,,,,,,,1.0,5.0,5.0,178.0,295.0,270.0,315.0,180.0,47.0,
Cryonics,,,,,,,,,,3.0,3.0,1.0,1.0,,24.0,87.0,145.0,61.0,49.0,55.0,17.0,
Extreme Life extension,,,,,,,,,76.0,145.0,174.0,158.0,223.0,429.0,573.0,6947.0,4494.0,5722.0,4430.0,4505.0,3165.0,12.0
Suspended animation,,,,,,,,,,6.0,,2.0,2.0,6.0,8.0,66.0,147.0,59.0,46.0,70.0,112.0,
5D DVD,,,,,,,,,,,,,,,,,18.0,1.0,9.0,3.0,,
5g,,,,,,,,,5.0,2.0,6.0,9.0,26.0,49.0,127.0,3956.0,7089.0,13516.0,36442.0,73345.0,45767.0,7.0
6G,,,,,,,,,,5.0,5.0,8.0,10.0,10.0,23.0,366.0,400.0,241.0,332.0,516.0,428.0,1.0
Ambient intelligence,,,,,,,,,1.0,3.0,,,2.0,6.0,11.0,59.0,58.0,47.0,92.0,76.0,15.0,
Artificial brain,,,,,,,,,,3.0,1.0,1.0,1.0,,2.0,31.0,21.0,19.0,9.0,4.0,9.0,
Artificial general intelligence,,,,,,,,,15.0,21.0,42.0,45.0,116.0,119.0,465.0,10280.0,19300.0,49229.0,70101.0,61477.0,34608.0,6.0
Atmospheric satellite,,,,,,,,,,,,,,,1.0,3.0,,8.0,,2.0,,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,151.0,413.0,822.0,1063.0,1687.0,1903.0,4287.0,116941.0,31842.0,34358.0,45720.0,34879.0,16303.0,4.0
Compressive Sensing,,,,,,,,,1.0,,,,,,1.0,6.0,2.0,5.0,10.0,6.0,7.0,
Deep learning,,,,,,,,,,,,2.0,3.0,9.0,66.0,1079.0,2679.0,5143.0,6450.0,5101.0,2738.0,
deep trench capacitor,,,,,,,,,,,,,,,,,,1.0,,,,
Digital image processing,,,,,,,,,6.0,5.0,11.0,15.0,36.0,39.0,157.0,1996.0,1017.0,1111.0,2018.0,1304.0,653.0,
Digital image segmentation,,,,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,1.0,,3.0,2.0,25.0,184.0,4216.0,10823.0,37526.0,110282.0,63767.0,21368.0,17.0
DNA Computing,,,,,,,,,,,1.0,,,,,,2.0,3.0,2.0,3.0,1.0,
DNA digital data storage,,,,,,,,,,,,,,,,,3.0,3.0,12.0,15.0,,
Edge Computing,,,,,,,,,,2.0,,,,1.0,9.0,269.0,498.0,3033.0,2636.0,2826.0,1956.0,1.0
Edge enhancement,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,,,,3.0,4.0,7.0,1.0,1.0,87.0,67.0,64.0,111.0,99.0,17.0,
Extreme ultraviolet lithography,,,,,,,,,1.0,,1.0,,8.0,3.0,1.0,69.0,124.0,132.0,304.0,300.0,138.0,
Facial recognition,,,,,,,,,15.0,20.0,44.0,108.0,116.0,107.0,154.0,2991.0,2706.0,6625.0,9190.0,10962.0,6404.0,4.0
General-purpose computing on graphics processing units,,,,,,,,,1.0,12.0,5.0,3.0,5.0,4.0,6.0,24.0,28.0,33.0,49.0,38.0,16.0,
GPT-4,,,,,,,,,,,,,,,,1.0,,,1.0,,15.0,
Haptic technology,,,,,,,,,5.0,1.0,4.0,6.0,10.0,7.0,17.0,404.0,338.0,414.0,581.0,573.0,172.0,
Holographic data storage,,,,,,,,,,,,1.0,,,,,4.0,,52.0,5.0,4.0,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,,,,,,,,,,,,1.0,3.0,1.0,5.0,1700.0,29.0,20.0,18.0,12.0,7.0,
In-storage processing,,,,,,,,,,,,,,,,1.0,3.0,,5.0,2.0,4.0,
Indoor positioning system,,,,,,,,,,,,,2.0,4.0,1.0,12.0,24.0,84.0,40.0,38.0,8.0,
Internet of things,,,,,,,,,1.0,6.0,13.0,18.0,113.0,290.0,2442.0,78073.0,27850.0,29481.0,38539.0,23791.0,7650.0,
Li-Fi,,,,,,,,,,,,,2.0,2.0,5.0,194.0,373.0,286.0,397.0,327.0,95.0,
Machine translation,,,,,,,,,2.0,3.0,9.0,10.0,10.0,4.0,22.0,206.0,305.0,277.0,493.0,322.0,200.0,
Machine vision,,,,,,,,,2.0,3.0,6.0,6.0,19.0,27.0,45.0,1140.0,1290.0,2007.0,3397.0,1893.0,774.0,
Nanoradio,,,,,,,,,,,,,1.0,,,,,,,,,
Natural Language Processing,,,,,,,,,3.0,8.0,8.0,6.0,15.0,24.0,53.0,826.0,1037.0,1672.0,2252.0,1816.0,1567.0,
Neural Networks,,,,,,,,,1.0,2.0,4.0,3.0,13.0,48.0,26.0,404.0,821.0,1237.0,1746.0,1331.0,776.0,
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,,,,,,,,6.0,4.0,4.0,,8.0,6.0,9.0,101.0,51.0,53.0,85.0,62.0,40.0,
Optical computing,,,,,,,,,1.0,1.0,,4.0,1.0,2.0,14.0,127.0,18.0,2.0,10.0,16.0,11.0,
Quantum algorithm,,,,,,,,,,1.0,1.0,,,2.0,,15.0,6.0,10.0,14.0,11.0,13.0,
Quantum computing hardware,,,,,,,,,5.0,9.0,2.0,6.0,18.0,27.0,36.0,561.0,644.0,1603.0,1959.0,2437.0,1654.0,1.0
Quantum cryptography,,,,,,,,,3.0,,8.0,1.0,3.0,3.0,7.0,87.0,44.0,162.0,229.0,222.0,125.0,
Semantic Web,,,,,,,,,61.0,84.0,70.0,61.0,44.0,14.0,15.0,111.0,64.0,81.0,76.0,38.0,32.0,
Silicon laser for communication,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,177.0,429.0,1302.0,2756.0,5316.0,6639.0,11810.0,120530.0,107333.0,79041.0,77817.0,82427.0,40767.0,9.0
Spatial computing,,,,,,,,,,,,,,,,7.0,5.0,7.0,93.0,160.0,113.0,
Streaming television,,,,,,,,,10.0,25.0,44.0,54.0,64.0,111.0,145.0,3270.0,2862.0,2641.0,1844.0,2839.0,1106.0,2.0
Subvocal recognition,,,,,,,,,,,,,,,,,,,,,,
Ultradense Molecular Memory,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,,,,,,,,1.0,2.0,,5.0,10.0,11.0,29.0,421.0,643.0,595.0,501.0,387.0,162.0,
Virtual reality applications,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,6.0,162.0,309.0,309.0,294.0,236.0,93.0,
Visible Light Communication,,,,,,,,,,,,,,1.0,3.0,125.0,81.0,104.0,107.0,60.0,24.0,
wi-fi 6,,,,,,,,,,,,,,,1.0,1.0,2.0,8.0,81.0,885.0,750.0,
wi-fi 7,,,,,,,,,,,,,,,,6.0,5.0,4.0,7.0,6.0,2.0,
AI Arbitration,,,,,,,,,,,,,,,,,,,,,1.0,
Digital forensics tools,,,,,,,,,,,,,,,,17.0,6.0,2.0,1.0,6.0,4.0,
Document automation,,,,,,,,,,1.0,3.0,1.0,1.0,3.0,9.0,202.0,97.0,111.0,150.0,87.0,118.0,
Intelligent Knowledge Management,,,,,,,,,,,,,,,,,3.0,1.0,4.0,2.0,6.0,
Aerogel,,,,,,,,,,,3.0,1.0,2.0,4.0,14.0,440.0,575.0,553.0,818.0,354.0,194.0,
Amorphous metal,,,,,,,,,,,,1.0,4.0,1.0,3.0,25.0,24.0,47.0,106.0,20.0,12.0,
Bioplastic,,,,,,,,,1.0,4.0,3.0,3.0,11.0,11.0,13.0,241.0,302.0,336.0,617.0,342.0,125.0,
Carbon nanotube,,,,,,,,,20.0,21.0,12.0,20.0,35.0,45.0,67.0,1158.0,627.0,753.0,885.0,625.0,399.0,
Conductive polymer,,,,,,,,,,,1.0,1.0,,,4.0,26.0,73.0,71.0,97.0,104.0,58.0,
Cryogenic treatment,,,,,,,,,,,,,,,,1.0,2.0,1.0,4.0,3.0,3.0,
Dynamic Armor,,,,,,,,,,,,,,,,,14.0,,,,,
Eutectic system,,,,,,,,,,,,,,,,,,1.0,,2.0,,
Fast-ion Conductors,,,,,,,,,,,,,,,,,,,,1.0,,
Fullerene,,,,,,,,,2.0,,3.0,3.0,,3.0,2.0,67.0,17.0,25.0,46.0,28.0,41.0,
Gallium Nitride semiconductor,,,,,,,,,,,,,1.0,,,16.0,,36.0,36.0,22.0,6.0,
Graphene,,,,,,,,,3.0,8.0,24.0,35.0,41.0,71.0,208.0,3103.0,2364.0,2443.0,2849.0,2203.0,1090.0,
Graphene Oxide dough,,,,,,,,,,,,,,3.0,3.0,100.0,116.0,137.0,186.0,185.0,124.0,
High Entropy Alloys,,,,,,,,,,,,,,,,,1.0,3.0,2.0,13.0,14.0,
Magnetic nanoparticles,,,,,,,,,3.0,,2.0,2.0,,2.0,4.0,25.0,10.0,23.0,33.0,37.0,30.0,
Magnetorheological fluid,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Metal foam,,,,,,,,,,,,1.0,1.0,,1.0,40.0,8.0,55.0,37.0,34.0,35.0,
Metamaterial,,,,,,,,,,2.0,,2.0,1.0,1.0,3.0,75.0,88.0,155.0,124.0,92.0,94.0,
Multi-function structure,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,,,,,,,,,,2.0,4.0,5.0,7.0,3.0,9.0,249.0,112.0,178.0,200.0,131.0,190.0,
Nanotextured surface,,,,,,,,,,,,,,,,1.0,3.0,,,,,
Photonic Metamaterial,,,,,,,,,,,,,,,,,,5.0,,,,
piezoelectric material adhesion,,,,,,,,,,,,,,,,,,,,,,
Programmable matter,,,,,,,,,1.0,1.0,,,,1.0,1.0,,4.0,8.0,2.0,,2.0,
Quantum dot,,,,,,,,,,3.0,14.0,17.0,10.0,17.0,170.0,1275.0,907.0,766.0,896.0,939.0,558.0,
Self-cleaning surfaces,,,,,,,,,,,,,,,,22.0,6.0,14.0,15.0,4.0,5.0,
Shape Memory Polymer,,,,,,,,,,,,,,,,13.0,10.0,28.0,21.0,18.0,7.0,
