y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Biobattery,,,,,,,,,,,,,,,,,,,,,,
Biomass to liquid,,,,,,,,,,,,,,,,,,,,,,
Coal liquefaction,,,,,,,,,,,,,,,,,,,,,,
Combined Cycle Gas Turbine Plant,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,
concentrated solar power,,,,,,,,,,,,,,,,,,,,,,
CZTS solar cell,,,,,,,,,,,,,,,,,,,,,,
Dye-sensitized solar cell,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle battery fast charge,,,,,,,,,,,,,,,,,,,,,,
Energy harvesting,,,,,,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,
Floating Liquefied Natural Gas,,,,,,,,,,,,,,,,,,,,,,
Flywheel energy storage,,,,,,,,,,,,,,,,,,,,,,
Fourth-generation biofuel,,,,,,,,,,,,,,,,,,,,,,
Fusion power,,,,,,,,,,,,,,,,,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,,,
Gas-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,
Gasification,,,,,,,,,,,,,,,,,,,,,,
Generation IV reactor,,,,,,,,,,,,,,,,,,,,,,
Grid energy storage,,,,,,,,,,,,,,,,,,,,,,
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,1.0,,1.0,,,,,,,,,,,,
Lead-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,
Liquid fluoride thorium reactor,,,,,,,,,,,,,,,,,,,,,,
Liquid metal battery,,,,,,,,,,,,,,,,,,,,,,
Lithium ion battery,,,,,,,,,,,,,,,,,,,,,,
Lithium iron phosphate battery,,,,,,,,,,,,,,,,,,,,,,
Lithium-air battery,,,,,,,,,,,,,,,,,,,,,,
Lithium-sulfur battery,,,,,,,,,,,,,,,,,,,,,,
Magnesium battery,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis cell,,,,,,,,,,,,,,,,,,,,,,
Microreactor,,1.0,2.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,1.0,,,
Mini Bioreactors,,,,,,,,,,,,,,,,,,,,,,
Modular Reactors,,,,,,,,,,,,,,,,,,,,,,
Molten salt reactor,,,,,,,,,,,,,,,,,,,,,,
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,,,,,,
Ocean thermal energy conversion,,,,,,,,,,,,,,,,,,,,,,
Oil detection,,,,,,,,,,,,,,,,,,,,,,
Optical rectenna,,,,,,,,,,,,,,,,,,,,,,
Organic solar cell,,,,,,,,,,,,,,,,,,,,,,
Perovskite solar cell,,,,,,,,,,,,,,,,,,,,,,
Power-to-X,,,,,,,,,,,,,,,,,,,,,,
Proton Battery,,,,,,,,,,,,,,,,,,,,,,
Quantum dot solar cell,,,,,,,,,,,,,,,,,,,,,,
second-generation biofuels,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,,,,,,,,
Sodium-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,,
Space-based solar power,,,,,,1.0,,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,,
Supercritical water reactor,,,,,,,,,,,,,,,,,,,,,,
Third-generation biofuels,,,,,,,,,,,,,,,,,,,,,,
Thorium fuel cycle,,,,,,,,,,,,,,,,,,,,,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,,,,,,,,
Virtual power Plant,,,,,,,,,,,,,,,,,,,,,,
Vortex engine,,,,,,,,,,,,,,,,,,,,,,
Wireless power transfer,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,2.0,
Zero-energy building,,,,,,,,,,,,,,,,,,,,,,
Automated journalism,,,,,,,,,,,,,,,,,,,,,,
Foundation garment,,,,,,,,,,,,,,,,,,,,,,
Haptic feedback systems,,1.0,,1.0,2.0,3.0,4.0,4.0,7.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,4.0,5.0,7.0,7.0,6.0,
Wearable journalism,,,,,,,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,6.0,6.0,10.0,23.0,20.0,25.0,
Cryptocurrency,,,,,,,,,,,,,,,,,,,,,,
Stablecoin,,,,,,,,,,,,,,,,,,,,,,
Companion robot,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
Cryonics,,,,,,,,,,,,,,,,,,,,,,
Extreme Life extension,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,
Suspended animation,,,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,
5D DVD,,,,,,,,,,,,,,,,,,,,,,
5g,,2.0,,,1.0,,,,1.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,
6G,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,
Ambient intelligence,,,,,1.0,1.0,1.0,1.0,2.0,1.0,10.0,11.0,6.0,5.0,4.0,2.0,,,,,,
Artificial brain,,,,,,,,,,,,,,,,,,,,,,
Artificial general intelligence,,6.0,5.0,8.0,8.0,4.0,5.0,8.0,8.0,11.0,12.0,9.0,6.0,5.0,4.0,8.0,8.0,9.0,14.0,20.0,47.0,
Atmospheric satellite,,,,,,,,,,,,,,,,,,,,,,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,,4.0,4.0,3.0,3.0,6.0,12.0,14.0,15.0,11.0,19.0,12.0,20.0,
Compressive Sensing,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,
Deep learning,,,,,,,,,,,,,,,1.0,2.0,8.0,20.0,44.0,75.0,111.0,
deep trench capacitor,,,,,,,,,,,,,,,,,,,,,,
Digital image processing,,36.0,46.0,33.0,47.0,50.0,53.0,67.0,57.0,90.0,75.0,44.0,45.0,47.0,47.0,45.0,42.0,47.0,51.0,60.0,50.0,
Digital image segmentation,,,,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,3.0,
DNA Computing,,,,,,,,,,,,,,,,,,,,,,
DNA digital data storage,,,,,,,,,,,,,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,
Edge enhancement,,1.0,,,,,,,,,,,,,,,,,,,,
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,
Extreme ultraviolet lithography,,,,,,,,,,,,,,,,,,,,,,
Facial recognition,,,4.0,4.0,3.0,3.0,5.0,9.0,8.0,12.0,12.0,7.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,9.0,8.0,
General-purpose computing on graphics processing units,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
GPT-4,,,,,,,,,,,,,,,,,,,,,,
Haptic technology,,,1.0,,,,,1.0,1.0,3.0,4.0,1.0,,1.0,,1.0,2.0,,1.0,2.0,2.0,
Holographic data storage,,,,,,,,,,,,,,,,,,,,,,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,
In-storage processing,,1.0,3.0,,,,,,,,,,,,,,,,,,,
Indoor positioning system,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,
Li-Fi,,,,,,,,,,,,,,,,,,,,,,
Machine translation,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
Machine vision,,2.0,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,2.0,
Nanoradio,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,,3.0,4.0,4.0,4.0,9.0,6.0,8.0,10.0,23.0,23.0,22.0,22.0,22.0,22.0,33.0,30.0,28.0,44.0,42.0,52.0,
Neural Networks,,33.0,43.0,35.0,35.0,41.0,29.0,28.0,26.0,33.0,28.0,32.0,34.0,33.0,37.0,40.0,50.0,55.0,73.0,72.0,73.0,
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,,1.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,,3.0,3.0,5.0,
Optical computing,,,,,,,,,,,,,,,,,,,,,,
Quantum algorithm,,,,,,,,,,,,,,,,,,,,,,
Quantum computing hardware,,,,,,,,,,,,,,,,,,,,,,
Quantum cryptography,,,,,,,,,,,,,,,,,,,,,,
Semantic Web,,,,,,,,1.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,
Silicon laser for communication,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,1.0,1.0,1.0,,,,5.0,5.0,6.0,13.0,24.0,29.0,50.0,38.0,47.0,82.0,99.0,104.0,
Spatial computing,,,,,,,,,,,,,,,,,,,,,,
Streaming television,,,,,,,,,,,,,,,,,,,,,,
Subvocal recognition,,,,,,,,,,,,,,,,,,,,,,
Ultradense Molecular Memory,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,,1.0,,,,,,,,,,,,,,,,,,,
Virtual reality applications,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Visible Light Communication,,,,,,,,,,,,,,,,,,,,,,
wi-fi 6,,,,,,,,,,,,,,,,,,,,,,
wi-fi 7,,,,,,,,,,,,,,,,,,,,,,
AI Arbitration,,,,,,,,,,,,,,,,,,,,,,
Digital forensics tools,,,,,,,,,,,,,,,,,,,,,,
Document automation,,,,,,,,,,,,,,,,,,,,,,
Intelligent Knowledge Management,,,,,,,,,,,,,,,,,,,,,,
Aerogel,,,,,,,,,,,,,,,,,,,,,,
Amorphous metal,,,,,,,,,,,,,,,,,,,,,,
Bioplastic,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube,,8.0,8.0,6.0,8.0,9.0,10.0,15.0,18.0,32.0,33.0,25.0,25.0,21.0,22.0,12.0,12.0,8.0,5.0,10.0,7.0,
Conductive polymer,,,,1.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,,,,2.0,5.0,4.0,2.0,2.0,1.0,
Cryogenic treatment,,,,,,,,,,,,,,,,,,,,,,
Dynamic Armor,,,,,,,,,,,,,,,,,,,,,,
Eutectic system,,,,,,,,,,,,,,,,,,,,,,
Fast-ion Conductors,,,,,,,,,,,,,,,,,,,,,,
Fullerene,,3.0,4.0,2.0,,,,1.0,,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,
Gallium Nitride semiconductor,,,,,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,,,,,2.0,1.0,3.0,4.0,5.0,4.0,6.0,9.0,5.0,6.0,6.0,
Graphene Oxide dough,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,
High Entropy Alloys,,,,,,,,,,,,,,,,,,,,,,
Magnetic nanoparticles,,2.0,3.0,3.0,3.0,3.0,3.0,10.0,11.0,11.0,12.0,13.0,8.0,5.0,7.0,5.0,5.0,6.0,16.0,6.0,3.0,
Magnetorheological fluid,,,,,,,,,,,,,,,,,,,,,,
Metal foam,,,,,,,,,,,,,,,,,,,,,,
Metamaterial,,,,,,,,,,,,,,,,,,,,,,
Multi-function structure,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,,2.0,3.0,4.0,4.0,3.0,6.0,2.0,5.0,7.0,9.0,7.0,6.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,
Nanotextured surface,,,,,,,,,,,,,,,,,,,,,,
Photonic Metamaterial,,,,,,,,,,,,,,,,,,,,,,
piezoelectric material adhesion,,,,,,,,,,,,,,,,,,,,,,
Programmable matter,,,,,,,,,,,,,,,,,,,,,,
Quantum dot,,2.0,3.0,4.0,5.0,10.0,12.0,13.0,16.0,25.0,22.0,17.0,10.0,9.0,9.0,4.0,2.0,4.0,5.0,4.0,4.0,
Self-cleaning surfaces,,,,,,,,,,,,,,,,,,,,,,
Shape Memory Polymer,,,,,,,1.0,2.0,3.0,,,,1.0,,,1.0,,1.0,2.0,2.0,1.0,
Shape-memory alloy,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
Silicene,,,,,,,,,,,,,,,,,,,,,,
Single Photon Source,,,,,,,,,,,,,,,,,,,,,,
Superalloy,,,,,,,,,,,,,,,,,,,,,,
Superfluidity,,,,,,,,,,,,,,,,,,,,,,
Superlenses chips,,,,,,,,,,,,,,,,,,,,,,
Syntactic Materials,,,,,,,,,,,,,,,,,,,,,,
Time crystal,,,,,,,,,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,,,,,,,,
Zero-friction coating,,,,,,,,,,,,,,,,,,,,,,
16K video resolution,,,,,,,,,,,,,,,,,,,,,,
Augmented reality,,3.0,,,,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,10.0,11.0,9.0,
Brain-computer interface,,,,,1.0,4.0,5.0,7.0,8.0,7.0,7.0,5.0,9.0,6.0,9.0,9.0,10.0,8.0,12.0,8.0,7.0,
Computer-generated imagery,,,,,,,,,,,,,,,,,,,,,,
Detecting fake news online automatically,,,,,,,,,,,,,,,,,,,,,,
e-Reader,,,,,,,,,,,,,,,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,1.0,
hydrogen vehicle,,,,,,,,,,,,,,,,,,,,,,
Immersion (virtual reality),,,,,,,,,1.0,,,,,1.0,1.0,2.0,4.0,4.0,4.0,1.0,2.0,
Mixed Reality,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,2.0,2.0,3.0,3.0,
Video tracking,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,,,,
Virtual reality,,15.0,21.0,12.0,10.0,17.0,18.0,18.0,20.0,35.0,41.0,34.0,28.0,25.0,21.0,26.0,29.0,34.0,42.0,49.0,37.0,
3D Bioprinting,,,,,,,,,,,,,,1.0,1.0,,3.0,5.0,10.0,7.0,2.0,
Anti-degenerative medicine,,,,,,,,,,,,,,,,,,,,,,
Apheresis,,2.0,5.0,5.0,5.0,7.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,8.0,6.0,3.0,3.0,6.0,11.0,4.0,,
Artificial womb,,,,,,,,,,,,,,,,,,,,,,
Bio Ink,,44.0,52.0,57.0,57.0,62.0,78.0,75.0,77.0,98.0,105.0,99.0,81.0,66.0,63.0,82.0,86.0,89.0,110.0,119.0,110.0,
Biomimetic Nanocoagulation,,,,,,,,,,,,,,,,,,,,,,
Biosensor,,14.0,21.0,24.0,23.0,22.0,28.0,27.0,28.0,33.0,34.0,20.0,21.0,29.0,19.0,25.0,24.0,24.0,24.0,39.0,38.0,
Breath analysis,,2.0,4.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,2.0,,
Cancer biomarker,,,,1.0,3.0,4.0,7.0,8.0,11.0,20.0,22.0,23.0,17.0,16.0,14.0,17.0,15.0,14.0,21.0,16.0,9.0,
Capsule endoscopy,,,,,,,,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,
Cortical implant,,,,,,,,,,,,,,,,,,,,,,
De-extinction,,,,,,,,,,,,,,,,,,,,,,
DNA-templated organic synthesis,,,,,,,,,,,,,,,,,,,,,,
Drug-eluting stent,,,,,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,1.0,4.0,3.0,
Electroanalgesia,,,,,,,,,,,,,,,,,,,,,,
Electronic nose,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Head transplant,,,,,,,,,,,,,,,,,,,,,,
Intelligent toilet,,,,,,,,,,,,,,,,,,,,,,
Jet injector,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Lab-on-a-chip,,4.0,5.0,9.0,12.0,15.0,19.0,34.0,31.0,45.0,40.0,29.0,23.0,15.0,14.0,16.0,19.0,18.0,25.0,20.0,20.0,
Microelectromechanical systems,,6.0,9.0,14.0,12.0,12.0,17.0,19.0,16.0,15.0,11.0,9.0,11.0,10.0,8.0,12.0,7.0,4.0,8.0,7.0,5.0,
Microfluidics,,7.0,8.0,8.0,13.0,10.0,17.0,27.0,30.0,45.0,42.0,36.0,45.0,38.0,45.0,47.0,62.0,62.0,63.0,63.0,53.0,
Molecular electronics,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,
Nanorobotics,,,,,,,,,1.0,,2.0,,1.0,,,,,1.0,,,,
Neuron Control,,,,,,,,,,,,,,,,1.0,,,,,,
Neuroprosthetics,,1.0,1.0,4.0,3.0,5.0,5.0,5.0,6.0,8.0,7.0,8.0,4.0,3.0,5.0,4.0,5.0,5.0,7.0,7.0,5.0,
Nutritional genomics,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,
Omni Processor,,,,,,,,,,,,,,,,,,,,,,
OOKP,,,,,,,,,,,,,,,,,,,,,,
Organ-on-a-Chip,,,,,,,,,,,,,,,,,1.0,,6.0,9.0,10.0,
Photoacoustic imaging,,,,,,,,2.0,4.0,7.0,6.0,8.0,11.0,11.0,10.0,13.0,12.0,10.0,8.0,12.0,11.0,
Plasma Medicine,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,
Point of care automated analyser,,,,,,,,,,,,,,,,,,,,,,
Portable water purification,,,,,,,,,,,,,,,,,,,,,,
Powered exoskeleton,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,
Protein Structure Prediction,,2.0,3.0,6.0,5.0,4.0,4.0,5.0,6.0,9.0,7.0,8.0,3.0,1.0,4.0,3.0,5.0,4.0,8.0,5.0,9.0,
Rapid diagnostic test,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,
Real-time polymerase chain reaction,,1.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,7.0,5.0,,
Regenerative Medicine,,8.0,6.0,21.0,30.0,41.0,61.0,84.0,97.0,195.0,218.0,192.0,198.0,194.0,201.0,233.0,200.0,217.0,218.0,229.0,218.0,
Sensory substitution,,1.0,,2.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,2.0,
Single Cell Analysis,,9.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,7.0,6.0,16.0,16.0,32.0,32.0,38.0,38.0,61.0,80.0,77.0,
Stasis Chamber,,,,,,,,,,,,,,,,,,,,,,
Synthetic Blood,,1.0,8.0,2.0,1.0,,1.0,2.0,5.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,1.0,1.0,1.0,
Theranostic Wound Care,,1.0,,,1.0,,,,,,,,,4.0,18.0,40.0,147.0,258.0,424.0,499.0,494.0,
Transdermal optical imaging,,,,,,,,,,,,,,,,,,,,,,
Active camouflage,,,1.0,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,1.0,1.0,,
Active noise control,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
Automatic identification of suspicious activity,,,,,,,,,,,,,,,,,,,,,,
Cloaking device,,,,,,,,,,,,,,,,,,,,,,
Coilgun,,,,,,,,,,,,,,,,,,,,,,
Compact Kinetic Energy Missile,,,,,,,,,,,,,,,,,,,,,,
DART ammunition,,,,,,,,,,,,,,,,,,,,,,
Delay-line oscillator,,,,,,,,,,,,,,,,,,,,,,
Electrolaser,,,,,,,,,,,,,,,,,,,,,,
Electroshock weapon,,,,,,,,,,,,,,,,,,,,,,
Electrothermal-chemical technology for propellants,,,,,,,,,,,,,,,,,,,,,,
EMP weapon,,,,,,,,,,,,,,,,,,,,,,
Explosively pumped flux compression generator,,,,,,,,,,,,,,,,,,,,,,
Force Field,,15.0,7.0,5.0,3.0,13.0,11.0,14.0,19.0,32.0,31.0,25.0,13.0,9.0,9.0,9.0,11.0,11.0,12.0,11.0,11.0,
Homodyne detection,,,,,,,,,,,,,,,,,,,,,,
