y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nanosensor,,,,,,,,,,1.0,,,,,2.0,57.0,69.0,67.0,52.0,71.0,41.0,
Optical transistor,,,,,,,,,,,,,,,1.0,14.0,5.0,,10.0,1.0,2.0,
Phonon laser,,,,,,,,,,,,,,,,14.0,35.0,5.0,8.0,11.0,8.0,
Robotic sensing,,,,,,,,,,,,,,,1.0,2.0,4.0,6.0,2.0,4.0,7.0,
Solid-state transformer,,,,,,,,,,,1.0,,2.0,4.0,1.0,27.0,26.0,20.0,57.0,20.0,11.0,
Spintronics,,,,,,,,,4.0,1.0,13.0,9.0,14.0,28.0,49.0,392.0,323.0,344.0,517.0,519.0,316.0,
three-dimensional integrated circuit,,,,,,,,,,,,1.0,4.0,4.0,23.0,114.0,88.0,58.0,59.0,49.0,22.0,
Twistronics,,,,,,,,,,,,,,,,,,1.0,,13.0,28.0,
Virtual retinal display,,,,,,,,,,,,,,1.0,,25.0,61.0,21.0,20.0,14.0,6.0,
Volumetric display,,,,,,,,,,,,1.0,,,1.0,48.0,24.0,24.0,89.0,27.0,34.0,
3rd generation solar cell,,,,,,,,,,,,,,,,,1.0,2.0,,,,
Airborne wind turbine,,,,,,,,,,,,,2.0,1.0,1.0,4.0,9.0,,4.0,1.0,,
Artificial photosynthesis,,,,,,,,,1.0,8.0,6.0,7.0,18.0,17.0,13.0,318.0,194.0,240.0,262.0,136.0,120.0,
Biobattery,,,,,,,,,,,,,,,1.0,1.0,4.0,25.0,7.0,3.0,,
Biomass to liquid,,,,,,,,,,,3.0,1.0,,,1.0,8.0,15.0,1.0,2.0,,4.0,
Coal liquefaction,,,,,,,,,,,2.0,1.0,1.0,4.0,2.0,24.0,57.0,67.0,32.0,36.0,16.0,
Combined Cycle Gas Turbine Plant,,,,,,,,,,1.0,4.0,2.0,1.0,4.0,4.0,79.0,68.0,65.0,63.0,49.0,14.0,
concentrated solar power,,,,,,,,,3.0,3.0,2.0,11.0,12.0,9.0,26.0,202.0,227.0,212.0,289.0,188.0,93.0,
CZTS solar cell,,,,,,,,,,,1.0,,3.0,2.0,1.0,1.0,3.0,3.0,1.0,,1.0,
Dye-sensitized solar cell,,,,,,,,,1.0,,1.0,,6.0,1.0,3.0,43.0,35.0,34.0,33.0,22.0,7.0,
Electric vehicle battery fast charge,,,,,,,,,,7.0,15.0,49.0,68.0,57.0,63.0,951.0,782.0,842.0,968.0,918.0,515.0,
Energy harvesting,,,,,,,,,2.0,6.0,16.0,24.0,19.0,40.0,68.0,868.0,717.0,951.0,904.0,735.0,350.0,
Floating Liquefied Natural Gas,,,,,,,,,,1.0,,1.0,6.0,2.0,15.0,231.0,157.0,142.0,159.0,134.0,28.0,
Flywheel energy storage,,,,,,,,,,,,3.0,,2.0,2.0,41.0,65.0,49.0,64.0,33.0,15.0,
Fourth-generation biofuel,,,,,,,,,,5.0,2.0,5.0,4.0,10.0,18.0,139.0,102.0,86.0,101.0,54.0,32.0,
Fusion power,,,,,,,,,3.0,8.0,8.0,8.0,14.0,10.0,16.0,126.0,131.0,153.0,262.0,148.0,111.0,
Gas generator,,,,,,,,,,,,1.0,2.0,5.0,9.0,186.0,170.0,133.0,159.0,147.0,43.0,
Gas-cooled fast reactor,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,1.0,
Gasification,,,,,,,,,8.0,18.0,11.0,23.0,40.0,29.0,34.0,699.0,548.0,480.0,585.0,392.0,220.0,
Generation IV reactor,,,,,,,,,,,,,,,2.0,11.0,4.0,8.0,9.0,4.0,5.0,
Grid energy storage,,,,,,,,,1.0,2.0,1.0,2.0,8.0,14.0,23.0,179.0,129.0,128.0,264.0,183.0,54.0,
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,18.0,26.0,23.0,30.0,17.0,58.0,139.0,1462.0,850.0,1130.0,991.0,1258.0,999.0,
Lead-cooled fast reactor,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,3.0,
Liquid fluoride thorium reactor,,,,,,,,,,,,,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,
Liquid metal battery,,,,,,,,,,,,5.0,3.0,4.0,4.0,5.0,8.0,5.0,12.0,6.0,8.0,
Lithium ion battery,,,,,,,,,12.0,14.0,24.0,47.0,96.0,140.0,165.0,2543.0,2178.0,2992.0,3195.0,2792.0,1401.0,1.0
Lithium iron phosphate battery,,,,,,,,,,1.0,,,,2.0,4.0,50.0,49.0,26.0,20.0,27.0,54.0,2.0
Lithium-air battery,,,,,,,,,1.0,3.0,1.0,4.0,3.0,10.0,7.0,53.0,57.0,53.0,67.0,34.0,17.0,
Lithium-sulfur battery,,,,,,,,,1.0,,,2.0,2.0,5.0,5.0,35.0,24.0,47.0,87.0,45.0,42.0,
Magnesium battery,,,,,,,,,,,,,,,2.0,11.0,9.0,22.0,54.0,6.0,2.0,
Microbial electrolysis cell,,,,,,,,,,,,,,,,,1.0,2.0,9.0,5.0,1.0,
Microreactor,,,,,,,,,,1.0,2.0,,,,5.0,21.0,16.0,41.0,75.0,112.0,41.0,
Mini Bioreactors,,,,,,,,,,,,,,,,2.0,3.0,2.0,15.0,5.0,3.0,
Modular Reactors,,,,,,,,,,,3.0,4.0,9.0,9.0,12.0,78.0,123.0,118.0,221.0,258.0,119.0,
Molten salt reactor,,,,,,,,,,1.0,,,3.0,4.0,3.0,102.0,53.0,43.0,62.0,29.0,13.0,
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,3.0,18.0,18.0,24.0,11.0,,
Ocean thermal energy conversion,,,,,,,,,2.0,2.0,1.0,4.0,3.0,3.0,6.0,69.0,47.0,25.0,72.0,34.0,26.0,
Oil detection,,,,,,,,,8.0,8.0,13.0,18.0,42.0,52.0,113.0,2167.0,2453.0,2530.0,5233.0,2641.0,652.0,
Optical rectenna,,,,,,,,,,,,,,1.0,3.0,35.0,6.0,11.0,21.0,13.0,8.0,
Organic solar cell,,,,,,,,,,1.0,2.0,4.0,6.0,18.0,4.0,87.0,40.0,43.0,85.0,36.0,20.0,
Perovskite solar cell,,,,,,,,,,,,,,,7.0,104.0,108.0,100.0,198.0,148.0,47.0,
Power-to-X,,,,,,,,,,,,,,,,1.0,2.0,2.0,33.0,32.0,26.0,
Proton Battery,,,,,,,,,,,,,,,,,,1.0,49.0,4.0,6.0,
Quantum dot solar cell,,,,,,,,,,,,1.0,,1.0,1.0,6.0,,8.0,7.0,1.0,6.0,
second-generation biofuels,,,,,,,,,29.0,31.0,23.0,26.0,39.0,21.0,64.0,281.0,186.0,164.0,111.0,101.0,40.0,
Smart grid,,,,,,,,,11.0,89.0,174.0,134.0,261.0,443.0,272.0,2369.0,1578.0,1885.0,1664.0,981.0,407.0,
Sodium-cooled fast reactor,,,,,,,,,,2.0,,,,,,16.0,3.0,10.0,19.0,5.0,3.0,
Space-based solar power,,,,,,,,,2.0,3.0,1.0,1.0,3.0,3.0,,16.0,13.0,16.0,38.0,59.0,42.0,
Supercapacitor,,,,,,,,,2.0,5.0,3.0,9.0,12.0,14.0,52.0,457.0,609.0,628.0,557.0,411.0,274.0,
Supercritical water reactor,,,,,,,,,,,,,,,,,,1.0,,,2.0,
Third-generation biofuels,,,,,,,,,1.0,3.0,9.0,9.0,7.0,12.0,9.0,50.0,40.0,93.0,79.0,30.0,15.0,
Thorium fuel cycle,,,,,,,,,,,1.0,,,1.0,1.0,7.0,5.0,8.0,5.0,3.0,4.0,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,1.0,15.0,22.0,29.0,68.0,60.0,27.0,
Virtual power Plant,,,,,,,,,,,2.0,,3.0,1.0,2.0,18.0,62.0,122.0,132.0,169.0,83.0,1.0
Vortex engine,,,,,,,,,,,,1.0,2.0,,,1.0,2.0,,2.0,1.0,,
Wireless power transfer,,,,,,,,,2.0,1.0,,3.0,7.0,3.0,29.0,171.0,141.0,291.0,223.0,123.0,75.0,
Zero-energy building,,,,,,,,,,1.0,5.0,5.0,4.0,3.0,4.0,30.0,35.0,34.0,55.0,63.0,31.0,
Automated journalism,,,,,,,,,,,,,1.0,,,5.0,17.0,15.0,4.0,11.0,2.0,
Foundation garment,,,,,,,,,,,1.0,4.0,3.0,,7.0,51.0,72.0,79.0,112.0,136.0,75.0,
Haptic feedback systems,,,,,,,,,2.0,6.0,5.0,6.0,14.0,16.0,30.0,315.0,255.0,184.0,166.0,153.0,90.0,1.0
Wearable journalism,,,,,,,,,2.0,2.0,6.0,5.0,12.0,75.0,624.0,12147.0,6864.0,5740.0,5689.0,4929.0,2847.0,1.0
Cryptocurrency,,,,,,,,,6.0,9.0,14.0,23.0,35.0,91.0,394.0,2836.0,2845.0,15886.0,408113.0,260626.0,6595.0,3.0
Stablecoin,,,,,,,,,,,,,,,,,,4.0,307.0,706.0,384.0,
Companion robot,,,,,,,,,1.0,,,,3.0,2.0,3.0,94.0,90.0,177.0,187.0,138.0,53.0,
Cryonics,,,,,,,,,1.0,4.0,1.0,4.0,3.0,1.0,6.0,76.0,232.0,64.0,60.0,48.0,20.0,
Extreme Life extension,,,,,,,,,38.0,50.0,63.0,47.0,123.0,232.0,362.0,3541.0,2153.0,2608.0,2981.0,2618.0,2184.0,3.0
Suspended animation,,,,,,,,,,3.0,4.0,2.0,3.0,7.0,16.0,71.0,107.0,50.0,51.0,107.0,73.0,
5D DVD,,,,,,,,,,,,,,,,,37.0,2.0,9.0,1.0,1.0,
5g,,,,,,,,,2.0,,4.0,3.0,12.0,52.0,121.0,3685.0,5697.0,9596.0,20719.0,40759.0,25279.0,6.0
6G,,,,,,,,,1.0,1.0,3.0,13.0,10.0,14.0,40.0,361.0,382.0,230.0,324.0,1036.0,588.0,1.0
Ambient intelligence,,,,,,,,,3.0,6.0,3.0,15.0,20.0,10.0,10.0,211.0,142.0,107.0,125.0,113.0,53.0,
Artificial brain,,,,,,,,,1.0,,2.0,,5.0,6.0,4.0,59.0,39.0,43.0,25.0,16.0,37.0,
Artificial general intelligence,,,,,,,,,70.0,105.0,102.0,144.0,292.0,278.0,685.0,10689.0,18130.0,33233.0,46372.0,43803.0,25317.0,10.0
Atmospheric satellite,,,,,,,,,,,,,,,1.0,7.0,18.0,5.0,,4.0,1.0,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,107.0,295.0,467.0,553.0,727.0,679.0,3774.0,83707.0,12116.0,9289.0,11118.0,8254.0,4740.0,
Compressive Sensing,,,,,,,,,1.0,,1.0,,1.0,1.0,3.0,36.0,26.0,39.0,44.0,59.0,15.0,
Deep learning,,,,,,,,,2.0,3.0,1.0,6.0,9.0,25.0,107.0,1352.0,3271.0,6389.0,8380.0,8012.0,4373.0,3.0
deep trench capacitor,,,,,,,,,,,,,,,,,,7.0,,,,
Digital image processing,,,,,,,,,15.0,26.0,31.0,37.0,43.0,54.0,93.0,1451.0,1328.0,1408.0,1819.0,1490.0,720.0,
Digital image segmentation,,,,,,,,,,,,,,,,,,1.0,,1.0,,
Distributed ledger,,,,,,,,,2.0,3.0,2.0,,,3.0,73.0,2434.0,7307.0,22899.0,58141.0,30934.0,9486.0,2.0
DNA Computing,,,,,,,,,,1.0,,,1.0,,1.0,15.0,7.0,8.0,14.0,14.0,6.0,
DNA digital data storage,,,,,,,,,,,,,,,,,,,9.0,1.0,,
Edge Computing,,,,,,,,,1.0,1.0,,,2.0,4.0,8.0,350.0,372.0,1254.0,1982.0,1989.0,1225.0,
Edge enhancement,,,,,,,,,,1.0,,,,,,3.0,5.0,2.0,5.0,9.0,3.0,
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,,,2.0,3.0,2.0,18.0,10.0,11.0,116.0,131.0,184.0,194.0,161.0,71.0,
Extreme ultraviolet lithography,,,,,,,,,1.0,,1.0,3.0,7.0,2.0,4.0,91.0,70.0,78.0,214.0,136.0,42.0,
Facial recognition,,,,,,,,,8.0,16.0,28.0,50.0,67.0,101.0,149.0,1682.0,1780.0,4522.0,4814.0,5935.0,3267.0,
General-purpose computing on graphics processing units,,,,,,,,,1.0,2.0,2.0,5.0,3.0,6.0,7.0,2610.0,10.0,13.0,72.0,25.0,14.0,
GPT-4,,,,,,,,,,,,,,,,,,,,,35.0,
Haptic technology,,,,,,,,,1.0,3.0,5.0,9.0,6.0,17.0,34.0,405.0,311.0,421.0,422.0,309.0,201.0,
Holographic data storage,,,,,,,,,,,,,,,,4.0,13.0,1.0,15.0,3.0,2.0,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,,,,,,,,,,,,1.0,,,4.0,16.0,31.0,28.0,13.0,13.0,10.0,
In-storage processing,,,,,,,,,,,,,,1.0,,7.0,,,,,1.0,
Indoor positioning system,,,,,,,,,,1.0,,,2.0,1.0,1.0,14.0,13.0,62.0,31.0,22.0,6.0,
Internet of things,,,,,,,,,21.0,8.0,10.0,16.0,88.0,159.0,929.0,49810.0,17090.0,12904.0,13812.0,9028.0,3743.0,1.0
Li-Fi,,,,,,,,,,,,,2.0,9.0,1.0,261.0,390.0,271.0,318.0,239.0,70.0,
Machine translation,,,,,,,,,1.0,11.0,8.0,6.0,7.0,12.0,16.0,237.0,1893.0,425.0,444.0,460.0,179.0,
Machine vision,,,,,,,,,,2.0,5.0,5.0,12.0,18.0,32.0,541.0,692.0,983.0,1233.0,851.0,465.0,
Nanoradio,,,,,,,,,,,,,,,,1.0,,,,,,
Natural Language Processing,,,,,,,,,9.0,17.0,23.0,20.0,34.0,39.0,70.0,1067.0,1269.0,1749.0,2269.0,2121.0,1525.0,
Neural Networks,,,,,,,,,11.0,15.0,20.0,21.0,57.0,106.0,137.0,1322.0,2102.0,3205.0,4489.0,4049.0,2389.0,
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,,,,,,,,15.0,14.0,28.0,10.0,28.0,29.0,41.0,433.0,250.0,238.0,342.0,290.0,201.0,
Optical computing,,,,,,,,,1.0,,,4.0,1.0,3.0,1.0,75.0,33.0,29.0,67.0,46.0,25.0,
Quantum algorithm,,,,,,,,,,,1.0,1.0,,4.0,4.0,21.0,77.0,46.0,58.0,107.0,61.0,
Quantum computing hardware,,,,,,,,,11.0,18.0,29.0,25.0,53.0,50.0,130.0,2396.0,1540.0,2562.0,3289.0,3755.0,2081.0,
Quantum cryptography,,,,,,,,,3.0,2.0,9.0,3.0,13.0,18.0,19.0,205.0,156.0,218.0,285.0,211.0,134.0,
Semantic Web,,,,,,,,,38.0,53.0,38.0,32.0,46.0,18.0,26.0,176.0,161.0,146.0,158.0,94.0,51.0,
Silicon laser for communication,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,119.0,189.0,534.0,1126.0,2035.0,2406.0,3884.0,46959.0,38741.0,31691.0,31368.0,32122.0,18513.0,12.0
Spatial computing,,,,,,,,,,,,,,1.0,,4.0,9.0,6.0,55.0,100.0,41.0,
Streaming television,,,,,,,,,3.0,4.0,23.0,21.0,25.0,24.0,44.0,708.0,518.0,448.0,303.0,390.0,227.0,
Subvocal recognition,,,,,,,,,,,,,,,,,,,,,,
Ultradense Molecular Memory,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,,,,,,,,1.0,2.0,5.0,9.0,17.0,15.0,32.0,545.0,573.0,516.0,512.0,321.0,110.0,
Virtual reality applications,,,,,,,,,1.0,4.0,1.0,,2.0,5.0,3.0,173.0,250.0,346.0,273.0,241.0,99.0,
Visible Light Communication,,,,,,,,,,,,4.0,1.0,7.0,5.0,195.0,131.0,124.0,96.0,82.0,36.0,
wi-fi 6,,,,,,,,,,,,,,,,,,3.0,79.0,702.0,776.0,1.0
wi-fi 7,,,,,,,,,,,,,,,1.0,2.0,4.0,,1.0,,,
AI Arbitration,,,,,,,,,,,,,,,,,,,,2.0,,
Digital forensics tools,,,,,,,,,,,,,,,1.0,15.0,10.0,,2.0,8.0,,
Document automation,,,,,,,,,,,,,,,1.0,33.0,19.0,23.0,41.0,35.0,14.0,
Intelligent Knowledge Management,,,,,,,,,,,,,,,,,12.0,,,8.0,1.0,
Aerogel,,,,,,,,,1.0,6.0,6.0,4.0,1.0,6.0,13.0,260.0,375.0,408.0,612.0,459.0,177.0,
Amorphous metal,,,,,,,,,,,1.0,4.0,1.0,8.0,5.0,63.0,82.0,104.0,138.0,52.0,46.0,
Bioplastic,,,,,,,,,1.0,3.0,4.0,5.0,1.0,7.0,9.0,212.0,177.0,246.0,373.0,320.0,91.0,
Carbon nanotube,,,,,,,,,55.0,64.0,56.0,74.0,109.0,122.0,186.0,2648.0,1663.0,1862.0,2078.0,1648.0,869.0,
Conductive polymer,,,,,,,,,1.0,,2.0,1.0,4.0,4.0,15.0,119.0,121.0,151.0,150.0,132.0,68.0,
Cryogenic treatment,,,,,,,,,,,1.0,,1.0,,1.0,1.0,4.0,2.0,6.0,4.0,1.0,
Dynamic Armor,,,,,,,,,,,,,,,,,1.0,,,,,
Eutectic system,,,,,,,,,,,,,,,,2.0,2.0,6.0,7.0,2.0,,
Fast-ion Conductors,,,,,,,,,,,,,,,1.0,,,2.0,1.0,3.0,3.0,
Fullerene,,,,,,,,,1.0,2.0,4.0,6.0,4.0,11.0,13.0,152.0,128.0,154.0,192.0,134.0,97.0,
Gallium Nitride semiconductor,,,,,,,,,,,,,1.0,,,,1.0,47.0,25.0,17.0,4.0,
Graphene,,,,,,,,,15.0,34.0,72.0,102.0,160.0,230.0,517.0,6856.0,5155.0,5255.0,5949.0,5287.0,2476.0,
Graphene Oxide dough,,,,,,,,,,,4.0,,3.0,19.0,43.0,393.0,421.0,644.0,720.0,716.0,272.0,
High Entropy Alloys,,,,,,,,,,,,,1.0,,,20.0,26.0,22.0,48.0,64.0,31.0,
Magnetic nanoparticles,,,,,,,,,4.0,,4.0,3.0,4.0,6.0,14.0,224.0,143.0,156.0,254.0,182.0,101.0,
Magnetorheological fluid,,,,,,,,,,,,,,,,9.0,3.0,4.0,8.0,7.0,4.0,
Metal foam,,,,,,,,,,,1.0,,,,1.0,25.0,50.0,51.0,74.0,50.0,28.0,
Metamaterial,,,,,,,,,2.0,12.0,5.0,9.0,14.0,21.0,49.0,387.0,349.0,358.0,399.0,434.0,167.0,
Multi-function structure,,,,,,,,,,,,,,,,,,,,,,
Nanocrystal,,,,,,,,,4.0,7.0,10.0,18.0,32.0,35.0,59.0,807.0,442.0,714.0,799.0,623.0,445.0,
