y,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Carbon sequestration,,12.0,24.0,15.0,33.0,25.0,50.0,37.0,38.0,71.0,73.0,85.0,81.0,104.0,94.0,100.0,85.0,110.0,88.0,99.0,113.0,57.0
Gasoline from Carbon Dioxide,,,,,,,,,,,,,,,,,,,,,,
Microbial electrolysis carbon capture,,,,,,,,,,,,,,,,,,,,,,
3D metal printing,,,,,,,,1.0,1.0,,2.0,,2.0,11.0,12.0,15.0,22.0,13.0,28.0,43.0,25.0,13.0
4d printing,,,,,,,,,,,,,,,,,1.0,1.0,3.0,5.0,2.0,4.0
Anticipatory Life Cycle Analysis,,,,,,,,,,,,,,,,,,,,,,
Artificial muscle,,,,,,1.0,1.0,,,,5.0,,,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0
Bio-manufacturing,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,2.0,4.0,3.0,2.0
Claytronics,,,,,,2.0,,,,1.0,,1.0,,,,,,1.0,,,,
Construction 3D printing,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,5.0,1.0,,3.0,1.0,2.0
Electron-beam additive manufacturing,,1.0,,,,,,,1.0,2.0,2.0,1.0,,2.0,3.0,2.0,3.0,5.0,3.0,7.0,,1.0
Incremental sheet forming,,,,,,1.0,,,,,,,,,,1.0,,4.0,1.0,1.0,2.0,
Life-cycle assessment,,11.0,13.0,15.0,14.0,23.0,33.0,21.0,38.0,32.0,57.0,68.0,68.0,100.0,87.0,116.0,101.0,117.0,127.0,120.0,132.0,60.0
Liquid Crystal Elastomers,,1.0,2.0,4.0,3.0,1.0,1.0,,1.0,3.0,,2.0,4.0,3.0,2.0,4.0,1.0,,3.0,,1.0,
Megatall skyscrapers,,,,,,,,,,,,,,,,,,,,,,
Molecular assembler,,,,,,,,,,,,,,,,,,,,,,
Predictive maintenance,,1.0,4.0,,1.0,4.0,3.0,2.0,2.0,1.0,4.0,8.0,6.0,10.0,3.0,14.0,19.0,12.0,17.0,25.0,25.0,16.0
Radio-frequency identification,,3.0,11.0,24.0,38.0,108.0,171.0,272.0,254.0,322.0,323.0,305.0,259.0,303.0,241.0,250.0,217.0,214.0,199.0,183.0,141.0,67.0
Robot end effector,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,1.0
self assembly,1.0,3.0,2.0,11.0,5.0,9.0,12.0,13.0,18.0,33.0,36.0,32.0,43.0,56.0,38.0,61.0,53.0,69.0,73.0,81.0,104.0,30.0
Self-reconfiguring modular robot,,,,,,,,,,,1.0,,,2.0,,,,,,,,
Smart highway,,,,,1.0,,,,1.0,,,2.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,7.0,4.0,
Structural health monitoring,,2.0,4.0,3.0,7.0,7.0,10.0,6.0,10.0,11.0,13.0,7.0,13.0,12.0,15.0,11.0,22.0,17.0,15.0,15.0,16.0,3.0
Supertall building,,,,,,,,,,,,,,,,,,,,1.0,,
utility fog,,,,,,,,,,,,,,,,,,,,,,
Adaptive Learning Technology,,,,,1.0,,,,,,,,,,,1.0,3.0,1.0,,,3.0,
Augmented learning,,,,,,,,,,,,,,,,,,1.0,,,,1.0
Gamifying education,,,1.0,,1.0,,,4.0,5.0,2.0,5.0,15.0,23.0,37.0,58.0,68.0,73.0,95.0,89.0,120.0,100.0,30.0
Intelligent tutoring system,,,,1.0,,2.0,,1.0,1.0,,4.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0
Learning Management System,,,,1.0,2.0,6.0,5.0,10.0,8.0,5.0,13.0,11.0,14.0,16.0,14.0,19.0,23.0,22.0,23.0,19.0,26.0,6.0
Mobile learning,,11.0,14.0,22.0,23.0,33.0,35.0,42.0,31.0,56.0,81.0,105.0,100.0,122.0,120.0,120.0,109.0,142.0,142.0,114.0,188.0,102.0
Virtual Collaborative Learning,,,,,,,,,,,1.0,,,,,,,,,1.0,,
Atomtronics,,,,,,,,,,,,,,,,,,,,,,
Biodegradable electronics,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube field-effect transistor,,,,,,,,,,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,,1.0,2.0,
Digital scent technology,,,,,,,,,,,,,,,,,,,,,,
Dynamic inductive charging,3.0,12.0,6.0,22.0,23.0,16.0,32.0,36.0,42.0,67.0,79.0,76.0,115.0,103.0,122.0,122.0,99.0,111.0,126.0,146.0,127.0,42.0
E-textiles,,,,,,2.0,,,1.0,1.0,1.0,3.0,4.0,4.0,2.0,5.0,4.0,7.0,8.0,11.0,10.0,4.0
Electronic skin,,,,,,,,,,,,,,,,,,,,2.0,7.0,1.0
Flexible display,,,,1.0,,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,,,2.0,1.0,1.0,
Flexible electronics,,,,1.0,,1.0,,2.0,1.0,2.0,3.0,7.0,6.0,5.0,9.0,12.0,8.0,13.0,13.0,14.0,9.0,5.0
Flexible organic light-emitting diode,,,,,,,,,1.0,,,,,,,,2.0,,,,,
Gastrobot,,,,,,,,,,,,,,,,,,,,,,
Holography,1.0,5.0,3.0,4.0,6.0,7.0,12.0,2.0,4.0,11.0,7.0,15.0,11.0,14.0,13.0,12.0,12.0,18.0,9.0,14.0,6.0,2.0
laser diode headlights,1.0,7.0,27.0,18.0,10.0,11.0,16.0,17.0,11.0,18.0,12.0,22.0,28.0,12.0,25.0,18.0,21.0,6.0,13.0,12.0,7.0,4.0
Laser video display,,,,,,,,,,,,,,,,,,,,,,
Memristor,,,,,,,,,1.0,,1.0,3.0,6.0,7.0,3.0,3.0,7.0,6.0,8.0,12.0,13.0,7.0
Multi-level converter,,,,,,1.0,,,,1.0,,2.0,1.0,,1.0,,2.0,,1.0,2.0,1.0,1.0
Nanoelectromechanical systems,1.0,4.0,,3.0,5.0,5.0,5.0,5.0,5.0,8.0,15.0,11.0,17.0,24.0,16.0,20.0,19.0,10.0,19.0,7.0,12.0,5.0
Nanosensor,,,,,,,,1.0,3.0,1.0,5.0,,1.0,2.0,2.0,1.0,3.0,2.0,6.0,3.0,11.0,4.0
Optical transistor,,,,,1.0,,,,,,,,,,,,,,,,,
Phonon laser,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Robotic sensing,,2.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,
Solid-state transformer,,,,,,,,,,,,1.0,,,1.0,9.0,,3.0,6.0,3.0,3.0,1.0
Spintronics,,4.0,,,2.0,1.0,3.0,,2.0,2.0,,2.0,2.0,3.0,,5.0,2.0,5.0,5.0,3.0,7.0,1.0
three-dimensional integrated circuit,,,,1.0,,,,,,2.0,3.0,2.0,4.0,7.0,3.0,5.0,3.0,2.0,,1.0,1.0,1.0
Twistronics,,,,,,,,,,,,,,,,,,,,,2.0,
Virtual retinal display,,,,,,,,,,,,,,,,2.0,,,1.0,,,
Volumetric display,,1.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,1.0,
3rd generation solar cell,,,,,,,,,,,,,,,,,,,,,,
Airborne wind turbine,,,,,,,,,,,,,,,,,,,1.0,,,
Artificial photosynthesis,,,,,,,,1.0,1.0,,,3.0,2.0,5.0,2.0,,2.0,2.0,4.0,,3.0,2.0
Biobattery,,,,,,,,,,,,,,,,,,,,,,
Biomass to liquid,,,,,,,,,,2.0,2.0,2.0,,3.0,,2.0,2.0,,,1.0,1.0,1.0
Coal liquefaction,,3.0,3.0,2.0,3.0,3.0,9.0,6.0,5.0,6.0,9.0,2.0,3.0,4.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,
Combined Cycle Gas Turbine Plant,,8.0,10.0,4.0,10.0,3.0,8.0,11.0,8.0,12.0,10.0,10.0,17.0,9.0,20.0,8.0,19.0,13.0,10.0,14.0,11.0,5.0
concentrated solar power,,,,,1.0,1.0,,,1.0,2.0,7.0,8.0,6.0,8.0,22.0,16.0,25.0,23.0,19.0,23.0,13.0,7.0
CZTS solar cell,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,
Dye-sensitized solar cell,,,1.0,,1.0,,2.0,4.0,4.0,,7.0,10.0,8.0,8.0,10.0,15.0,10.0,6.0,2.0,8.0,8.0,2.0
Electric vehicle battery fast charge,,,1.0,1.0,1.0,,,1.0,3.0,5.0,9.0,19.0,31.0,33.0,42.0,44.0,55.0,55.0,75.0,86.0,79.0,39.0
Energy harvesting,,,,,,2.0,3.0,11.0,10.0,9.0,23.0,31.0,27.0,48.0,56.0,61.0,64.0,71.0,63.0,107.0,64.0,24.0
Floating Liquefied Natural Gas,,,,,,,,,,1.0,3.0,4.0,,4.0,4.0,3.0,1.0,,3.0,1.0,,
Flywheel energy storage,,3.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,6.0,12.0,2.0,3.0,5.0,9.0,4.0,5.0,2.0
Fourth-generation biofuel,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,5.0,7.0,4.0,6.0,1.0,2.0,7.0,
Fusion power,,8.0,13.0,6.0,3.0,10.0,9.0,10.0,11.0,11.0,8.0,12.0,10.0,5.0,8.0,10.0,10.0,16.0,12.0,22.0,22.0,3.0
Gas generator,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,8.0,7.0,1.0,1.0,,2.0,3.0,1.0,
Gas-cooled fast reactor,,,,,,,,,,,,,,,,,,,,,1.0,
Gasification,,25.0,33.0,32.0,44.0,35.0,52.0,85.0,90.0,88.0,74.0,109.0,95.0,96.0,114.0,104.0,91.0,91.0,115.0,81.0,130.0,38.0
Generation IV reactor,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,
Grid energy storage,,,,,,,,,2.0,1.0,1.0,6.0,5.0,5.0,8.0,11.0,5.0,10.0,18.0,19.0,25.0,5.0
Holograms for solar,,,,,,,,,,,,,,,,,,,,,,
Home fuel cell,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,4.0,4.0,9.0,9.0,8.0,18.0,21.0,14.0,24.0,23.0,19.0,24.0,14.0,20.0,23.0,20.0,22.0,23.0,27.0,25.0,15.0
Lead-cooled fast reactor,,,,,,,,,,,,1.0,,,1.0,1.0,,2.0,1.0,,1.0,
Liquid fluoride thorium reactor,,,,,,,,,,,,,,1.0,,,,,,,,
Liquid metal battery,,,,,,,,,,,1.0,,,,,,,,1.0,,,
Lithium ion battery,,9.0,9.0,14.0,5.0,7.0,15.0,16.0,17.0,13.0,38.0,39.0,58.0,80.0,95.0,95.0,101.0,114.0,117.0,104.0,138.0,46.0
Lithium iron phosphate battery,,,,,,,,,,,,1.0,,2.0,3.0,4.0,,,2.0,,2.0,2.0
Lithium-air battery,,,,,,1.0,,1.0,,2.0,1.0,3.0,3.0,6.0,6.0,8.0,6.0,2.0,2.0,1.0,4.0,
Lithium-sulfur battery,,,,,,,,,,,,,1.0,4.0,3.0,3.0,6.0,7.0,7.0,9.0,16.0,10.0
Magnesium battery,,,,,,,,,,,,4.0,1.0,,,,,,1.0,,1.0,
Microbial electrolysis cell,,,,,,,,,,,,,1.0,,4.0,,,,,1.0,1.0,1.0
Microreactor,,2.0,,2.0,5.0,6.0,5.0,8.0,5.0,7.0,7.0,6.0,7.0,7.0,11.0,11.0,10.0,9.0,6.0,16.0,9.0,4.0
Mini Bioreactors,,,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,3.0,2.0,1.0,6.0,3.0,1.0,2.0,2.0,,1.0,1.0
Modular Reactors,,,,,,,,,,2.0,1.0,3.0,2.0,6.0,4.0,7.0,2.0,2.0,3.0,6.0,7.0,4.0
Molten salt reactor,,,,,,,,,1.0,,1.0,,,,2.0,,3.0,,1.0,1.0,2.0,
Nanocharging Solar,,,,,,,,,,,,,,,,,,,,,,
Nanowire battery,,,,,,,,,,,,,,,,,,,,,,
Ocean thermal energy conversion,,,3.0,2.0,4.0,,,2.0,1.0,3.0,7.0,7.0,6.0,9.0,6.0,4.0,6.0,9.0,8.0,4.0,3.0,2.0
Oil detection,,16.0,5.0,12.0,5.0,14.0,6.0,11.0,8.0,19.0,17.0,21.0,20.0,18.0,26.0,22.0,12.0,19.0,18.0,10.0,12.0,7.0
Optical rectenna,,,,,2.0,,2.0,,1.0,,,,1.0,,,1.0,,,,,1.0,
Organic solar cell,,,,,,,1.0,2.0,1.0,1.0,,3.0,3.0,3.0,6.0,2.0,5.0,4.0,4.0,1.0,5.0,3.0
Perovskite solar cell,,,,,,,,,,,,,,,1.0,2.0,7.0,16.0,19.0,17.0,25.0,13.0
Power-to-X,,,,,,,,,,1.0,,,,,,,,2.0,1.0,6.0,4.0,
Proton Battery,,,,,,,,,,,,,,,,,,,,,,
Quantum dot solar cell,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,
second-generation biofuels,,,,,,1.0,5.0,11.0,13.0,31.0,43.0,32.0,40.0,37.0,39.0,34.0,25.0,22.0,18.0,29.0,10.0,3.0
Smart grid,,,,,1.0,,1.0,1.0,4.0,33.0,111.0,157.0,191.0,196.0,205.0,229.0,189.0,206.0,155.0,137.0,119.0,48.0
Sodium-cooled fast reactor,,,,,,1.0,1.0,2.0,3.0,,4.0,3.0,4.0,2.0,,3.0,,4.0,2.0,1.0,1.0,1.0
Space-based solar power,,,,,1.0,,,,2.0,2.0,2.0,,1.0,1.0,1.0,3.0,2.0,2.0,1.0,,3.0,
Supercapacitor,,2.0,,1.0,3.0,1.0,2.0,11.0,18.0,19.0,19.0,20.0,27.0,29.0,50.0,54.0,58.0,75.0,70.0,100.0,80.0,41.0
Supercritical water reactor,,,,,,,,1.0,,,,,,,,,,,,,,
Third-generation biofuels,,,,,,,,,,,1.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,1.0,6.0,3.0,1.0
Thorium fuel cycle,,,,,,1.0,,,,,2.0,,1.0,,,2.0,,1.0,1.0,1.0,,
Triboelectric Nanogenerator,,,,,,,,,,,,,,,2.0,,6.0,2.0,7.0,13.0,12.0,2.0
Virtual power Plant,,,,,,1.0,1.0,3.0,3.0,4.0,2.0,7.0,8.0,17.0,10.0,12.0,15.0,8.0,13.0,23.0,10.0,16.0
Vortex engine,,,,,,,,,,,,,,,,,,1.0,,,,
Wireless power transfer,,1.0,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,3.0,9.0,14.0,11.0,20.0,19.0,21.0,29.0,25.0,32.0,25.0,13.0
Zero-energy building,,,,,,,2.0,1.0,,,3.0,1.0,5.0,4.0,13.0,12.0,12.0,10.0,11.0,13.0,9.0,1.0
Automated journalism,,,,,,,,,,,,,,,,,2.0,1.0,,,,
Foundation garment,,,,,,,,,,,,,,,,,,,,,,
Haptic feedback systems,,3.0,7.0,11.0,5.0,11.0,12.0,16.0,13.0,29.0,18.0,26.0,13.0,26.0,31.0,18.0,21.0,17.0,14.0,21.0,19.0,7.0
Wearable journalism,,1.0,,3.0,4.0,4.0,5.0,3.0,2.0,6.0,5.0,4.0,4.0,11.0,40.0,81.0,146.0,139.0,125.0,158.0,223.0,75.0
Cryptocurrency,,,,,,,,2.0,2.0,3.0,6.0,6.0,6.0,12.0,55.0,72.0,58.0,114.0,312.0,357.0,285.0,113.0
Stablecoin,,,,,,,,,,,,,,,,,,,3.0,3.0,6.0,4.0
Companion robot,,,,,,,,2.0,1.0,1.0,,3.0,2.0,6.0,3.0,7.0,3.0,6.0,10.0,12.0,14.0,7.0
Cryonics,,,,,,,,,1.0,,,,1.0,,,,2.0,,3.0,1.0,2.0,
Extreme Life extension,3.0,46.0,47.0,73.0,78.0,88.0,87.0,96.0,111.0,105.0,96.0,88.0,102.0,121.0,123.0,133.0,138.0,106.0,103.0,77.0,48.0,12.0
Suspended animation,,,1.0,,,,,,2.0,1.0,1.0,,,1.0,2.0,1.0,,1.0,,2.0,2.0,
5D DVD,,,,,,,,,,,,,,,,,,,,,2.0,
5g,1.0,2.0,2.0,4.0,5.0,6.0,4.0,2.0,3.0,7.0,9.0,19.0,4.0,15.0,35.0,60.0,97.0,178.0,227.0,337.0,389.0,220.0
6G,,,1.0,3.0,2.0,1.0,3.0,5.0,5.0,9.0,6.0,11.0,3.0,16.0,10.0,8.0,11.0,6.0,4.0,16.0,33.0,22.0
Ambient intelligence,,5.0,7.0,14.0,35.0,35.0,33.0,41.0,35.0,31.0,41.0,46.0,40.0,25.0,20.0,22.0,23.0,21.0,30.0,12.0,7.0,3.0
Artificial brain,,7.0,1.0,,,,1.0,,2.0,3.0,,1.0,,,,1.0,,,1.0,,,
Artificial general intelligence,,29.0,38.0,25.0,45.0,46.0,47.0,53.0,57.0,61.0,68.0,66.0,90.0,83.0,94.0,90.0,153.0,237.0,455.0,800.0,1056.0,487.0
Atmospheric satellite,,,,,,,,,,,,,,,,,,,,,,
Automatic AI debugging,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,1.0,4.0,3.0,1.0,13.0,120.0,263.0,493.0,747.0,941.0,1054.0,1097.0,936.0,827.0,730.0,587.0,443.0,203.0
Compressive Sensing,,,,,,,,,1.0,1.0,3.0,5.0,13.0,9.0,8.0,18.0,9.0,10.0,9.0,7.0,8.0,2.0
Deep learning,,2.0,1.0,1.0,3.0,2.0,4.0,4.0,2.0,3.0,10.0,2.0,3.0,12.0,12.0,48.0,87.0,201.0,409.0,677.0,990.0,506.0
deep trench capacitor,,1.0,,,,,,,,,,,,,,,,,,,,
Digital image processing,3.0,33.0,34.0,34.0,40.0,51.0,59.0,77.0,61.0,89.0,90.0,89.0,116.0,115.0,126.0,137.0,190.0,148.0,149.0,137.0,109.0,62.0
Digital image segmentation,,,,,,,,,,,,,,,,,,,1.0,,,
Distributed ledger,,,,,,,1.0,,,,2.0,,,,14.0,28.0,109.0,326.0,901.0,1146.0,1178.0,566.0
DNA Computing,,,1.0,,,,,1.0,2.0,1.0,2.0,,6.0,1.0,2.0,1.0,,2.0,,,1.0,1.0
DNA digital data storage,,,,,,,,,,,,,,,,,,,,1.0,,
Edge Computing,,,,,,,,,1.0,,,,,,1.0,1.0,9.0,37.0,69.0,118.0,116.0,50.0
Edge enhancement,,,,,,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,
Embedded systems in substrate,,,,,,,,,,,,,,,,,,,,,,
Exascale computing,,,,,,,,1.0,,,3.0,2.0,5.0,3.0,3.0,1.0,2.0,,2.0,,3.0,
Extreme ultraviolet lithography,,1.0,5.0,11.0,7.0,14.0,9.0,12.0,15.0,11.0,3.0,17.0,4.0,2.0,4.0,3.0,2.0,5.0,6.0,3.0,2.0,1.0
Facial recognition,,5.0,14.0,15.0,24.0,28.0,27.0,37.0,33.0,32.0,37.0,64.0,77.0,79.0,86.0,95.0,78.0,90.0,96.0,136.0,144.0,74.0
General-purpose computing on graphics processing units,,,,,,,1.0,2.0,2.0,4.0,7.0,6.0,8.0,6.0,16.0,7.0,5.0,8.0,4.0,8.0,1.0,
GPT-4,,,,,,,,,,,,,,,,,,,,,2.0,1.0
Haptic technology,,3.0,4.0,5.0,,3.0,5.0,6.0,3.0,3.0,2.0,5.0,7.0,6.0,8.0,8.0,1.0,5.0,10.0,4.0,11.0,1.0
Holographic data storage,,2.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,2.0,2.0,,1.0,,,,,,,
Hyper CD-ROM,,,,,,,,,,,,,,,,,,,,,,
In-memory processing,,,,,,,,,,3.0,2.0,,,3.0,,1.0,2.0,1.0,2.0,3.0,,
In-storage processing,,,,,,,,,,,,,,,,,,,,,2.0,
Indoor positioning system,,,,,1.0,,,,1.0,2.0,2.0,1.0,4.0,,3.0,3.0,2.0,3.0,9.0,9.0,6.0,1.0
Internet of things,,,1.0,,,,2.0,3.0,2.0,6.0,34.0,70.0,75.0,97.0,165.0,225.0,353.0,513.0,589.0,659.0,614.0,222.0
Li-Fi,,,,,,,,,,,,,4.0,4.0,4.0,3.0,5.0,2.0,6.0,4.0,2.0,2.0
Machine translation,,10.0,10.0,22.0,16.0,24.0,18.0,21.0,14.0,14.0,33.0,18.0,30.0,26.0,35.0,30.0,24.0,26.0,17.0,35.0,46.0,12.0
Machine vision,,9.0,11.0,4.0,9.0,7.0,5.0,9.0,8.0,8.0,16.0,14.0,17.0,21.0,10.0,14.0,25.0,30.0,14.0,22.0,23.0,11.0
Nanoradio,,,,,,,,,,,,,,,,,,,,,,
Natural Language Processing,1.0,5.0,9.0,5.0,12.0,9.0,11.0,12.0,23.0,13.0,25.0,21.0,23.0,45.0,55.0,66.0,92.0,88.0,112.0,140.0,175.0,90.0
Neural Networks,3.0,65.0,78.0,79.0,116.0,125.0,128.0,136.0,156.0,205.0,188.0,225.0,229.0,228.0,261.0,247.0,354.0,430.0,603.0,733.0,830.0,339.0
Neural-sensing headset,,,,,,,,,,,,,,,,,,,,,,
next gen web search,,,,,,,,,,,,,,,,,,,,,,
Open source model,,,,1.0,3.0,1.0,2.0,3.0,,4.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0
Optical computing,,,,,,,1.0,,,,,1.0,1.0,,,,4.0,,1.0,,,
Quantum algorithm,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,2.0,4.0,3.0,5.0,1.0,8.0,3.0,2.0,2.0
Quantum computing hardware,,1.0,3.0,2.0,1.0,4.0,3.0,7.0,4.0,8.0,4.0,8.0,7.0,13.0,16.0,15.0,13.0,24.0,35.0,39.0,50.0,29.0
Quantum cryptography,,5.0,5.0,4.0,4.0,10.0,10.0,9.0,8.0,5.0,18.0,22.0,26.0,17.0,17.0,18.0,25.0,29.0,36.0,37.0,40.0,11.0
Semantic Web,,7.0,17.0,16.0,35.0,58.0,69.0,88.0,97.0,87.0,109.0,85.0,108.0,86.0,71.0,76.0,58.0,43.0,47.0,35.0,30.0,10.0
Silicon laser for communication,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,1.0,2.0,1.0,,5.0,4.0,9.0,12.0,31.0,60.0,180.0,315.0,442.0,522.0,633.0,599.0,634.0,705.0,697.0,723.0,232.0
Spatial computing,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,,
Streaming television,,1.0,3.0,,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,5.0,4.0,6.0,2.0,,2.0
Subvocal recognition,,,,,,,,,,,,,,,,,,,,,,
Ultradense Molecular Memory,,,,,,,,,,,,,,,,,,,,,,
Vehicular communication systems,,1.0,2.0,3.0,,5.0,8.0,8.0,14.0,21.0,26.0,30.0,39.0,30.0,59.0,50.0,61.0,54.0,45.0,54.0,39.0,19.0
Virtual reality applications,,,3.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,6.0,6.0,3.0,7.0,4.0,1.0,3.0,11.0,16.0,11.0,12.0,5.0
Visible Light Communication,,,,,,,,1.0,,1.0,,4.0,7.0,5.0,9.0,16.0,18.0,22.0,17.0,17.0,19.0,6.0
wi-fi 6,,,,,,,,,,,,,,,,,,,,1.0,2.0,
wi-fi 7,,,,,,,,,,,,,,,,,,,,,,
AI Arbitration,,,,,,,,,,,,,,,,,,,,,,
Digital forensics tools,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,,
Document automation,,,,,,,,,,,,,,,,,,,,,1.0,
Intelligent Knowledge Management,,,,,,,,,,,,,1.0,,,,,,,,,
Aerogel,,2.0,1.0,2.0,2.0,3.0,5.0,8.0,9.0,12.0,7.0,16.0,15.0,12.0,15.0,29.0,24.0,34.0,26.0,33.0,32.0,16.0
Amorphous metal,,1.0,1.0,,7.0,1.0,2.0,7.0,3.0,2.0,1.0,5.0,7.0,6.0,11.0,7.0,5.0,4.0,10.0,3.0,5.0,3.0
