tech,01/04/2001,01/07/2001,01/08/2001,01/09/2001,01/10/2001,01/11/2001,01/12/2001,01/01/2002,01/02/2002,01/03/2002,01/04/2002,01/05/2002,01/06/2002,01/07/2002,01/08/2002,01/09/2002,01/10/2002,01/11/2002,01/12/2002,01/01/2003,01/02/2003,01/03/2003,01/04/2003,01/05/2003,01/06/2003,01/07/2003,01/08/2003,01/09/2003,01/10/2003,01/11/2003,01/12/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,01/05/2004,01/06/2004,01/07/2004,01/08/2004,01/09/2004,01/10/2004,01/11/2004,01/12/2004,01/01/2005,01/02/2005,01/03/2005,01/04/2005,01/05/2005,01/06/2005,01/07/2005,01/08/2005,01/09/2005,01/10/2005,01/11/2005,01/12/2005,01/01/2006,01/02/2006,01/03/2006,01/04/2006,01/05/2006,01/06/2006,01/07/2006,01/08/2006,01/09/2006,01/10/2006,01/11/2006,01/12/2006,01/01/2007,01/02/2007,01/03/2007,01/04/2007,01/05/2007,01/06/2007,01/07/2007,01/08/2007,01/09/2007,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021
Electronic skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8554,0,0,8553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8884,8553,9313,9496,0,0,7620,0,0,0,0,0,0,0,0,0,0,0,7621,0,0,0,0,0,0,0,0,0,0,8492,20747,0,0,0,0,0,0,0,0,0,20501,20371,20377,0,0,0,0,0,20516,0,0,20286,0,20804,0,20820,0,20836,0,21333,21636,0,21637,22071,22090,0,0,0,22106,22124,0,0,0,0,0
Electroshock weapon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1856,1883,1882,1883,1846,0,0,0,1904,7999,11784,11895,12392,12397,12426,12491,12394,12460,13348,14749,14749,15875,14464,16307,15819,16095,20840,21407,21912,21282,21779,23249,22648,25033,25445,27122,27440,27619,28706,29525,32703,33314,33380,22451,22921,24770,18130,16172,15619,15632,15928,15893,16023,16064,16153,16102,16397,16472,16632,16530,16814,16759,18825,18830,0,19007,18465,18455,18498,18598,18601,18625,18752,19112,18850,18953,19096,18946,18979,19581,20266,20411,20307,20369,20412,19175,19176,19202,0,20353,20353,20353,20461,20634,0,0,20369,20376,0,20363,20113,0,20076,20050,20112,20112,20130,20136,22203,22339,21845,21838,21892,22047,0,0,22202,22017,22016,22068,0,22046,0,0,22065,0,23126,23120,23653,23608,24234,24155,24605,24345,0,24750,24754,0,25280,0,25522,26141,26127,26431,26574,27109,0,27165,0,27078,27272,27281,27284,27165,27675,27722,27533,28015,28151,28179,0,0,28655,29807,29855,29321,29333,70889,71205,0,72393,72481,71700,71707,72730,72635,72725,72596,74493,74051,74436,76663,76575,76884,76884,76884,77124,76879,0,76849,77036,77139,77074,77079,77034,93393,93912,94178,93929,0,0,93930,93741,93724,0,93755,93755,0,93819,93755,95897,95112,95040,0
Electrothermal-chemical technology for propellants,0,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,822,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,1153,1145,22287,22312,0,22492,0,22485,22481,0,22551,0,0,0,22455,22456,0,0,20863,0,20806,20828,20923,20810,19575,19547,19544,19536,19630,19459,19506,19478,19631,0,0,0,0,0,0,0,0,0,0,0,0,19481,19406,19407,19357,0,0,0,0,0,19571,19561,0,19553,0,0,0,0,19557,0,0,0,19668,0,0,19672,0,0,0,0,0,0,0,19621,0,0,19147,0,0,0,0,18776,0,0,18698,18711,0,0,18592,0,0,0,0,0,0,0,0,0,18586,0,18612,0,18321,0,0,0,0,0,0,18314,0,0,0,0,18414,0,18344,0,0,0,18353,0,18396,18432,0,18438,0,0,18435,0,0,0,0,0,0,18787,0,0,0,0,0,0,0,0,18905,0,0,0,0,0,0,0,18875,18877,0,0,0,0,18878,18930,0,0,0,0,0,0,0,17961,0,0,0,0,0,0,0,0,0,0,0
Energy harvesting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,370,0,0,386,0,0,0,0,0,1867,1848,2469,0,0,0,0,2863,0,3035,3772,3788,3659,3753,3789,3854,3656,3762,14029,13426,13563,14112,14961,14993,15451,15030,14709,14420,13078,13080,12922,13169,13792,13962,14171,14577,0,14144,15323,18581,19960,20205,20291,20782,21584,22339,22606,22904,23230,24744,25508,24552,24641,24736,25110,25156,25304,25380,25561,25681,25674,25886,25903,20680,21995,21965,21964,22243,22256,22736,22731,22738,23589,23594,23974,23321,22984,23872,27269,27395,27627,27576,28266,31848,31738,32035,32332,32151,32469,32598,33118,36581,37048,37049,37534,37764,38433,39413,39552,44170,41193,41864,0,45132,45050,47029,46415,46557,46258,46754,46888,46910,0,46865,46725,46736,0,46785,46459,47247,47558,47522,47522,0,48479,0,48663,50254,50291,0,50543,50558,51194,0,51234,51614,0,51602,0,51603,53872,55495,55522,55557,55558,56368,51880,53830,54081,54088,0,0,0,54382,54256,55623,56153,56154,0,56305,53088,54290,0,52615,53403,53524,53799,53789,53439,53206,54121,53609,55517,0,53919,0,53967,54315,0,54132,55861,0,58072,58301,0,58580,58385,58427,0,55590,0,55590
Enzybiotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865,0,0,0,0,0,0,1880,0,1875,0,0,0,0,0,0,1944,0,1952,2711,2671,0,0,0,0,2717,0,0,0,0,0,0,2731,0,0,2737,0,0,0,0,0,0,2748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748,0,2748,0,0,0,0,0,2752,0,2796,0,0,0,0,0,2811,0,0,2827,0,2843,0,0,2852,0,0,0,0,0,0,0,12616,0,0,9193,0,0,0
Eutectic system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,1233,0,0,0,0,0,0,518,621,749,1386,0,1353,1024,1035,1949,1984,0,2011,4424,4777,4884,0,4763,4861,4994,5013,5034,5067,5053,5044,5087,8519,8554,8570,0,8565,8722,8846,9478,9570,10051,9590,9468,9289,9473,0,0,9550,9604,9529,9583,9617,9855,10028,9900,0,9926,0,9941,9887,9887,0,9878,9866,0,0,9647,9672,9672,9675,0,0,9698,9955,9996,10606,9902,10077,9881,10080,10219,10448,11170,10263,10463,10459,10459,0,0,0,10696,10590,11426,11442,11687,0,0,0,11767,11788,11840,0,11838,12890,12931,0,12933,13020,13029,13014,13005,13005,17219,17436,17395,17395,17393,17404,0,17320,0,17356,17796,0,17824,17799,17747,17738,17840,17848,17958,19200,19197,19200,19270,0,19274,0,19274,19269,19328,19270,19268,19809,0,19829,0,0,19813,19412,0,19411,0,0,19438,0,19427,19411,19460,19441,19467,19492,20107,20123,20223,0,0,20224,20396,0,20745,0,0,20735,20739,20738,20742,20852,20866,20838,20848,0,20848,0,20872,20356,0,20288,0,20308,0,0,20359,0,0,20530,0,20528,0,20544,20543,20497,20653,0,20644,20781,20792,20774,20935,20940,20962,20770,20847,20846,0,0,20848,20874,20888
Exascale computing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156,0,0,0,0,0,2199,2224,0,0,2269,0,0,0,2647,0,0,0,2724,0,2635,2666,0,2771,3975,4996,5001,4968,0,5028,4973,0,0,5027,5138,5025,5064,5072,5074,5075,5038,0,5039,0,0,5096,5096,5667,5906,5966,5966,6007,0,5484,5898,5917,6049,0,0,0,7043,7007,0,7326,8225,8453,8485,8896,0,8871,9733,0,10207,12231,0,0,12194,12333,12495,12547,0,12576,0,12834,13180,0,0,13171,0,0,13172,13362,13363,16315,14036,0,14221,18262,0,18262,18226,18179,18791,18854,18772,18787,20880,20880,20924,20926,22788,24458,19237,25249,19507,0,19919,19898,20028,20029,20276,0,20824,22148,23955,24017,25909,27755,27762,27775,0,0,27792,28131,28351,28763,29558,29564,29604,0,29767,29891,29912,30215
Exhalation delivery system,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1263,0,1301,0,0,1316,0,0,1333,0,0,0,0,0,0,0,0,0,0,1335,0,0,1332,0,1336,0,0,0
Explosively pumped flux compression generator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109,0,0,0,3129,3131,3143,0,3143,0,0,0,0,3118,0,0,0,0,4403,0,0,0,4460,0,4407,4464,4567,0,0,4640,0,0,4636,4673,4841,0,5005,5269,5303,5320,5328,5338,0,5334,4743,4743,4815,0,4801,14783,13963,0,13892,14005,14133,0,0,14135,0,14156,14170,14206,14211,0,0,0,0,0,14213,0,0,0,0,0,14202,0,0,14312,14312,14318,14344,0,0,14227,14254,13830,13813,13940,13869,0,0,0,0,0,13863,13861,0,0,0,13890,13973,13973,0,0,0,0,14124,0,0,0,14183,14183,14276,0,0,0,14174,13986,0,14017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14019,0,0,0,14008,14028,0,13959,0,0,0,0,13962,0,13965,14513,14520,0,0,0,0,0,0,14586,0,0,0,0,0,0,0,0,16866,0,0,16870,16928,18233,0,18286,0,0,0,0,0,0,0,0,0,18309,18335,0,18124,0,0,0,0,0,0,0,0,0,0,18123,18116,18105,0,0,0,0,0,0,0,18115,0,0,0,0,0,0,0,0,18112,0,0,0,18151
Extended Reality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1374,1334,0,1371,0,0,0,0,1373,0,1942,1991,0,0,0,0,0,0,0,2553,2597,0,1979,0,0,2020,2022,0,1990,0,2390,1992,0,2026,0,2002,1984,0,1983,0,0,0,0,1999,1998,0,0,2073,1991,0,2156,2434,0,2615,0,0,0,0,0,0,2564,2564,2626,0,3432,0,0,0,0,3836,0,0,0,0
Extreme ultraviolet lithography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121,1834,0,1968,4436,7120,10006,10575,12138,13750,14964,15446,15447,15467,15837,16075,16137,16194,3709,5081,0,5081,6589,6674,7062,7724,7889,10034,10106,10162,0,12692,17946,18121,19749,19054,20872,21567,21655,21983,0,22704,23070,23322,0,24193,25818,26407,25233,25856,27047,28369,29020,29954,29958,32545,34116,34675,36107,37987,38599,40788,45067,45069,45584,46452,46634,47283,47452,47768,48900,49167,0,49367,50024,50013,50807,51216,51459,55412,57385,57698,57836,59468,60130,60594,61733,62690,63309,64260,64862,65493,65337,65904,66427,66896,68218,70652,74616,75224,75212,75209,79287,81576,83329,84086,84782,86924,90683,92551,76225,77084,77108,77082,78434,82831,83009,82672,83463,84379,86934,87188,88748,88917,88918,88991,91178,78876,78442,78920,0,79455,79459,81350,82347,83178,83450,86850,91411,92993,94242,94854,95673,95081,60165,62771,63058,64677,66501,0,68775,68455,68808,69392,69718,69764,77941,79628,85122,87187,88137,95228,99403,102563,106448,106448,109947,114698,115767,118834,121043,123658,124026,126503,127966,0,126122,126116,126636,127656,129636,130524,131818,132770,134108,134151,135207,135504,136381,136889,137610,136725,137582,137339,138112,138319,139528
Facial recognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,666,1468,1489,1540,1562,0,0,1612,0,1816,0,2022,2226,2184,2448,2505,3223,3290,3256,3579,7091,7171,7329,0,7344,12741,13493,12289,10587,10758,11366,11702,11898,11681,11772,11480,12114,12160,12322,12633,13597,13412,15677,15701,16397,16789,17063,17510,17554,21823,22177,21965,23211,23303,21244,21346,21314,23059,23162,22078,22938,22793,22878,23006,23591,24853,24933,24916,25882,26453,25212,25430,25980,25136,25141,24679,24720,24991,24992,25020,25039,25467,25542,25538,25607,26132,24705,24821,25307,27126,27045,27238,28487,28626,28603,28870,28754,28751,28750,28723,29159,28733,28546,28334,31388,29756,30325,30647,30710,30992,32868,30850,29703,29703,29903,30599,30595,30911,31167,31859,31417,31922,32213,32358,32362,32549,32619,0,0,32804,32819,32828,32826,32838,32773,32382,32450,32895,34526,34550,36566,34621,34664,38629,38624,38632,38828,39339,38731,39879,41951,43811,46780,48573,48930,48728,48729,48323,47910,48112,48811,49056,50194,50815,49819,50764,54189,64221,65727,66346,66060,69759,69828,72524,72468,73431,73434,73542,74210,0,74609,74457,75975,81902,84213,84084,84351,85071,83821,84732,84900,87575,89716,90932,91038,94238,96048,98400,100566,104388,108650,109505,109523,113325,116303,116870,117354,117257,119161,119927,121145
Fast-ion Conductors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,661,0,688,0,2355,2355,2347,0,2482,0,0,0,3449,6946,0,6958,0,0,7382,0,0,0,7882,7909,7933,0,7905,0,0,7906,8149,0,8149,0,0,0,0,0,0,0,8132,8121,8139,0,0,0,8170,0,7667,7653,7684,0,0,7684,0,7685,0,0,7681,0,0,0,0,8520,0,8522,8592,0,8581,0,8581,8626,0,0,8657,0,8508,0,0,9708,9707,0,0,9703,9705,9719,0,0,0,9753,9720,9664,0,9132,0,0,9140,0,9144,9117,0,0,9799,0,0,0,10609,0,0,0,10612,0,0,10676,11044,11093,0,0,11133,0,0,0,0,11130,0,11233,0,11237,11215,0,0,0,0,0,11217,0,11217,11186,0,0,0,0,10899,10501,0,0,0,0,0,0,10518,0,0,0,10440,0,0,10587,0,0,0,0,10520,0,0,0,10666,10683,0,10614,10616,0,10677,11085,11120,0,0,11936,0,0,0
Mini Bioreactors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797,1791,0,1811,0,0,0,0,1847,0,0,0,3770,0,3771,4007,4034,4019,0,0,0,0,0,4023,4085,4049,0,0,0,0,4120,0,0,4128,4138,4105,0,0,3999,0,0,0,0,0,0,3956,3983,0,4045,4025,0,0,0,4067,0,0,0,0,0,4024,0,4041,0,0,4132,4041,0,0,0,0,0,3971,0,0,0,0,10771,11160,0,11157,0,0,11153,0,11191,0,0,0,11200,0,0,12152,12151,0,0,0,0,0,0,0,0,0,0,0,0,0,12144,0,0,0,0,0,0,0,0,0,11990,0,0,0,0,11988,0,0,0,0,0,0,0,0,0,11943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11948,0,11950,11950,11940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11944,0
Flexible display,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24192,24410,26390,26386,0,26070,31103,0,31502,32130,32115,32114,32228,32187,32309,0,32237,32258,0,32237,32235,0,0,32235,0,32235,0,32871,0,0,0,32870,0,32862,32737,32707,32721,32705,33446,33446,0,0,0,0,0,0,33916,33636,33657,33703,33572,33572,0,33573,33595,33586,0,33585,0,33561,33561,33561,33519,0,0,34429,0,0,0,0,0,35507,36677,37073,36624,0,0,36504,36587,36730,39980,36671,37209,0,37320,37440,37256,37239,0,0,42895,43331,44261,44220,44232,44278,0,0,0,44322,0,45195,0,0,0,0
Flexible electronics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,900,0,0,0,779,0,0,0,752,0,0,0,0,0,0,984,0,0,0,992,1352,1491,1552,1582,0,1847,0,1926,2013,0,1977,2104,2254,2224,2180,0,0,2090,2139,0,2343,2425,2470,0,2500,0,2473,0,2440,2375,0,2770,2924,2854,2937,0,0,2868,0,2927,2945,0,3389,3345,0,3555,3566,3663,3332,3224,0,0,0,3225,3273,3232,3654,3625,0,0,3815,3817,0,0,0,0,4141,4165,4139,4096,0,0,0,0,4096,4096,4096,4100,4182,4182,0,4178,23978,17976,17975,18453,18712,0,0,18430,18432,0,18432,0,0,0,18309,0,0,18598,18598,0,0,18605,0,18671,19051,20356,18929,0,18651,18693,18713,18746,19440,19445,0,19475,19488,19508,19520,0,0,19533,19524,19524,0,19476,0,19758,0,0,23908,0,0,0,23907,0,0,23939,24014,24077,432269,24015,0,24056,0,24107,24112,0,23908,0,24166,24170,24160,24308,0,24332,0,0,0,24412,0,24545,0,0,24428,0,24468,24854,0,24864,24853,0,24977,25075,25003,25067,25116,25269,25269,0,25274,0,0,0,25290,0,0,25356,0,25405,25405,21139,0,25405,0,0
Flexible organic light-emitting diode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,609,0,0,0,766,0,858,0,806,876,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,42,0,0,0,9328,9336,0,9375,0,9375,0,0,9375,0,0,9459,0,0,0,0,0,9463,9618,0,0,9664,9668,0,0,9671,0,0,0,0,0,0,0,0,0,9553,0,0,0,0,0,0,0,0,0,9550,0,0,0,0,0,0,0,0,0,0,9570,0,0,0,9576,0,0,0,0,0,0,0,0,0,0,0,0,0,9499,0,9502,0,0,0,0,0,9489,0,0,0,0,0,9490,0,0,0,0,9549,0,9549,0,0,9620,0,9549,0,0,0,0,0,9738,0,0,0,9754,0,9686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floating Liquefied Natural Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14350,16419,0,16302,16319,0,0,16322,0,0,0,0,0,0,0,16332,0,16650,0,0,0,0,16650,0,16722,0,0,0,0,16650,0,0,0,0,16647,16825,16850,17503,17512,0,17296,0,17313,20321,0,0,0,20320,0,0,0,0,0,0,20652,0,0,21466,21527,21530,21533,0,0,0,21263,22086,0,0,0,22083,22187,0,0,0,23899,0,23766,24205,24200,24210,0,24335,0,0,0,24820,0,0,0,0,0,0,0,0,0,0,25927,0,0,25837,25851,0,0,26058,26080,0,0,0,0,0,25918,0,0,0,0,0,0,24301,0,0,0,0,20717,20882,0,20935,0
Flywheel energy storage,0,0,0,0,1508,0,0,0,1499,2280,0,0,0,0,0,2959,0,0,0,3001,3002,0,0,0,0,0,0,0,0,3014,0,0,0,3031,0,3033,0,3224,3243,3243,0,5057,0,0,0,5090,5131,0,5152,0,5156,0,5181,9343,9718,11260,11306,11318,11475,11798,11821,12048,11969,12062,12560,12740,13293,13555,13896,13089,13080,13364,12033,12177,12868,14194,14197,15030,15046,15421,15487,15846,16294,16781,16111,16260,16439,16826,18481,18427,18451,18140,18148,18263,18181,19733,19828,19826,20097,20355,20572,20722,20745,20831,21085,21351,21350,21461,21473,21368,21396,21443,21837,21649,22902,23631,23656,23764,23857,24428,23904,23888,23888,24382,24636,24622,24986,25314,25430,25272,27725,27985,27997,27985,28889,29291,29294,29324,33575,33591,33617,33622,34796,34774,34773,34820,34806,0,0,35103,35047,34930,34918,36216,36438,36206,36389,36093,36778,37079,37013,37300,37226,37243,37257,38258,0,38888,38905,38950,38950,39045,39189,39042,41617,41763,42020,42072,42092,42142,42211,42213,0,42263,42561,42747,42774,42861,43250,43554,0,43555,43556,44045,43987,44049,44579,44578,44637,0,44681,44647,45709,45780,45807,0,45723,45701,0,45704,45814,45814,46181,46124,46302,47809,0,0,47861,47861,47828,0,48851,0,48991,49011,0,49291,49266,50745,0,0,49267,49264,49230,50150,49483,49493,0,49918,0,0,49935,0,50292,0
Fogponics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2203,2262,553,0,0,0,0,0,0,0,0,0,0,2085,1203,0,0,0,1201,1142,0,0,1109,0,1035,1071,0,0,0,0,0,1069,3221,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,0,1077,0,0,0,0,0,0,1102,0,863,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,866,1379,0,1455,1564,0,0,1641,0,0,0,0,0,0,0,0,0,0,0
