tech,01/04/2001,01/07/2001,01/08/2001,01/09/2001,01/10/2001,01/11/2001,01/12/2001,01/01/2002,01/02/2002,01/03/2002,01/04/2002,01/05/2002,01/06/2002,01/07/2002,01/08/2002,01/09/2002,01/10/2002,01/11/2002,01/12/2002,01/01/2003,01/02/2003,01/03/2003,01/04/2003,01/05/2003,01/06/2003,01/07/2003,01/08/2003,01/09/2003,01/10/2003,01/11/2003,01/12/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,01/05/2004,01/06/2004,01/07/2004,01/08/2004,01/09/2004,01/10/2004,01/11/2004,01/12/2004,01/01/2005,01/02/2005,01/03/2005,01/04/2005,01/05/2005,01/06/2005,01/07/2005,01/08/2005,01/09/2005,01/10/2005,01/11/2005,01/12/2005,01/01/2006,01/02/2006,01/03/2006,01/04/2006,01/05/2006,01/06/2006,01/07/2006,01/08/2006,01/09/2006,01/10/2006,01/11/2006,01/12/2006,01/01/2007,01/02/2007,01/03/2007,01/04/2007,01/05/2007,01/06/2007,01/07/2007,01/08/2007,01/09/2007,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021
Aerogel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,2,1,2,2,4,0,1,1,1,1,2,4,11,5,6,16,8,7,10,21,16,31,14,14,8,5,11,22,14,9,4,8,31,16,30,17,5,69,23,10,31,8,17,9,10,9,10,19,18,9,10,9,6,7,17,10,11,6,10,20,8,16,7,6,10,9,9,8,6,20,4,9,2,4,4,4,9,8,4,2,3,5,9,5,3,3,7,8,16,6,5,21,8,4,7,6,11,5,1,6,1,5,6,15,11,4,5,25,16,1,7,7,4,11,11,2,6,2,11,10,26,6,0,5,4,9,8,8,35,4,13,2,11,3,2,2,0,10,2,0,7,2,4,5,7,13,9,3,0,3,10,4,17,9,5,4,4,0,4,2,9,0,5,4,7,6,6,3,0,3,2,0,0,3,7,0,2,3,6,3,2,4,11,9,8,5,5,6,3,1,4,8,2,1,20,3,4,0,1,1,7,0,5,20,2,4,5,4,2,11,5,3
Aeroponics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,0,0,0,0,1,2,0,0,2,11,0,0,2,0,2,1,0,2,189,25,28,14,22,8,3,6,17,2,5,7,4,10,6,6,2,3,5,17,11,3,5,5,4,4,1,3,7,2,4,4,3,7,4,2,6,3,1,8,10,7,0,8,1,3,8,6,4,12,1,14,1,3,3,5,17,1,12,2,5,2,1,7,0,4,8,5,5,5,2,8,2,5,0,1,3,3,12,6,1,3,7,1,4,3,4,5,3,6,0,1,1,0,20,2,1,0,0,7,0,3,2,3,2,0,4,3,4,0,4,6,2,10,0,0,0,1,5,5,3,3,4,6,8,0,2,4,7,2,2,3,4,1,7,1,1,0,0,2,3,1,1,0,2,1,1,6,0,0,1,6,0,0,3,3,2,0,2,4,2,3,3,3,0,1,2,4,0,1,1,1,2,5,0,3,1,3,6
Agricultural robot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,3,3,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0,1,0,10,0,0,0,0,2,2,4,2,0,1,3,2,6,2,2,1,0,1,1,1,1,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,5,1,0,3,0,3,0,0,0,0,0,1,1,1,2,4,1,2,1,0,0,1,2,0,1,3,2,0,1,2,1,0,1,0,4,4,6,3,13,1,1,0,0,2,8,0,1,0,0,2,2,5,4,3,2,1,5,3,6,2,0,2,1,6,1,4,3,4,0,0,2,2,2,7,1,2,0,4,1,2,6,1,0,0,0,8,1,2,0,0,1,1,1,1,0,0,1,2,0
Air-launch-to-orbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,2,2,1,2,0,1,1,0,2,1,6,2,1,1,0,0,1,5,0,0,0,7,0,3,3,4,0,8,2,4,2,0,0,0,0,5,1,1,13,1,0,2,1,0,0,11,2,4,5,0,0,0,0,0,0,3,1,5,4,1,0,5,1,1,0,0,0,0,0,1,0,1,0,1,2,3,1,3,0,3,2,3,1,4,1,1,0,0,0,0,0,2,0,1,0,1,0,1,2,2,1,0,0,2,3,0,0,1,0,0,0,0,2,1,0,1,0,0,1,5,1,0,3,1,0,0,1,0,0,0
Airborne wind turbine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,4,0,0,2,1,0,2,0,0,1,0,1,0,5,0,3,0,1,3,0,3,1,9,2,4,1,4,1,3,8,1,4,3,12,15,4,0,6,10,1,6,1,6,3,10,1,5,0,1,0,0,1,2,2,0,0,2,4,2,1,2,0,1,1,1,2,2,2,1,0,4,1,2,0,0,3,7,1,4,2,2,0,0,6,1,0,1,20,4,0,3,1,5,4,6,2,5,4,0,0,0,0,1,3,0,3,0,7,2,5,0,0,2,0,0,0,1,2,4,1,5,1,2,0,1,2,0,1,4,1,2,1,1,2,0,0,1,4,1,1,0,0,1,0,10,1,1,0,0,0,0,1,0,0,2,3,0,0,1,0,1,1,3,0,1,0,0,1,1,0,0,1,0,0,4,1,0,2,0,4,0,3,1,2,0,0,0,0,2
Third-generation biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,29,98,21,16,25,56,144,66,22,28,27,20,14,27,18,15,29,23,29,15,20,21,10,16,13,18,21,7,24,19,25,11,7,19,18,12,15,16,14,18,7,8,12,8,11,4,6,9,7,19,9,19,6,9,28,4,6,17,18,3,6,60,13,17,16,4,4,11,4,6,7,22,22,5,5,7,69,1,3,0,5,9,7,4,9,9,13,13,6,6,5,4,8,6,12,0,7,8,3,2,2,5,8,13,2,4,7,14,18,24,9,5,10,1,4,6,4,5,3,2,5,6,2,7,6,11,5,4,0,3,1,3,3,0,5,3,1,3,2,3,2,6,3,14,2,4,3,5,1,5,5,3,1,7,2,9,1,8,0,5,1,4,3,0,1,2,0,0
Protein Structure Prediction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,374,5,32,5,2,5,7,33,10,8,7,3
Ambient intelligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,2,0,0,1,18,1,4,1,5,2,3,5,8,1,1,5,5,1,6,7,3,2,4,10,5,4,4,6,3,7,1,5,36,2,10,4,5,8,4,1,1,0,2,0,0,0,1,5,1,1,10,2,2,1,0,4,1,6,1,1,3,2,1,2,3,0,4,0,1,1,4,9,4,3,0,2,1,0,3,2,2,0,0,1,2,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,4,0,0,4,0,7,1,0,0,1,1,4,0,1,1,2,1,9,1,0,0,2,1,7,4,1,3,0,1,1,0,3,2,7,1,1,3,1,0,0,0,1,1,2,3,1,1,0,0,2,2,1,1,2,3,3,3,1,1,3,1,1,1,1,0,2,2,0,1,1,0,0,0,4,0,1,0,1,0,1,0
Amorphous metal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,0,2,2,0,5,3,0,0,1,1,1,1,3,1,1,2,7,0,0,4,2,2,9,2,3,7,5,4,4,3,3,1,0,2,1,3,2,2,4,3,3,4,1,3,2,2,0,0,1,0,9,7,3,3,0,4,5,7,0,4,12,3,2,1,1,0,0,2,3,0,3,2,1,3,4,0,24,5,1,3,0,6,3,0,2,1,5,5,0,10,1,0,1,2,1,0,1,2,4,2,0,2,0,10,1,1,0,2,0,0,5,2,0,0,0,2,6,0,0,6,4,0,1,1,1,0,1,2,0,3,2,1,7,0,1,4,4,0,1,2,1,1,2,1,4,2,2,0,1,2,1,1,1,0,0,2,3,2,1,2,1,2,0,0,0,3,6,1,1,0,0,0,11,0,8,5,4,0,8,2,0,1,1,1,7,1,3,3,1,3,3,5,7,1,1,0,0,0,1,1,0,0,4,8,0
Apheresis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,20,0,2,1,0,2,0,5,0,0,0,0,1,5,2,0,2,0,1,0,2,1,3,1,3,1,5,2,1,6,0,2,2,1,1,1,3,0,3,1,2,0,1,0,2,2,2,0,15,3,10,2,1,1,0,3,1,0,5,1,2,1,1,1,0,2,0,2,0,13,3,0,1,0,1,0,1,1,0,1,0,0,8,0,0,0,1,1,5,1,2,1,0,0,5,0,4,1,1,0,1,4,0,0,1,1,0,1,2,1,4,0,1,1,0,0,1,0,0,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,6,1,0,0,1,0,2,0,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,14,0,2,4,1,0,2,1,1,4,1,2,0,0,1,2,0,1,0,14
Aquaponics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,12,0,0,3,0,0,4,0,3,4,2,2,8,4,2,5,27,30,1,6,2,7,34,11,6,11,7,5,1,5,3,9,4,7,7,0,9,0,4,8,3,4,10,4,1,3,1,16,2,2,3,13,9,14,6,4,1,14,0,13,2,10,36,21,27,27,22,6,4,2,7,10,17,12,3,12,66,16,9,73,1,11,9,4,18,19,4,4,6,18,37,7,3,5,10,10,10,8,3,22,9,22,11,4,3,3,2,22,0,11,4,1,16,9,15,2,9,3,4,8,2,10,4,10,22,16,3,1,5,21,3,2,4,6,21,3,3,4,5,18,1,2,3,3,10,1,35,8,6,4,12,2,4,6,10,3,2,6,1,1,4,3,6,7,5,3,0,6,2,3,7,1,1,1,5,0,9,1,8,2,6,3,1,3,2,5,1,0,3,0,4,5,1,1,1
