id,titles,abstract,bertopic_cluster_id,cluster_Name,Levi_Relevance 1/0 (Technology Oriented/Other) ,New_Tech_code,"Levi_Related_Class (1,2,3,0)  by defined categories in Sheet 1","Levi_Detect (1,0) 1 - New Potentially emerging technology detected, 0 -no pearls in the shall",Tech_Name,source,abstract_bertopic_id,title_bertopic_id,title_bertopic_id_from_ES2,source_from_ES2,link_from_ES2,abstract_from_ES2,abstract_bertopic_id_from_ES2,Levi_Stage_assessment,Note
"['eit233', 'eit596']",EIT Climate-KIC supports exponential technologies through acceleration of start-ups and projects,,,,1,2,1,1,Purcity GapS carbon capture and air purification system,,,,3,eit,https://eit.europa.eu//news-events/news/eit-proud-present-12-finalists-2022-eit-awards,"EIT Climate-KIC supports a small selection ofexponential technologiesthrough acceleration of start-ups and projects focused on electric flight, cleaner jet fuel, and carbon capture and re-use. Stricter regulations are also being introduced for aviation in response to the climate crisis. The sector already accounts for two per cent of global emissions. With the number of flights expected todouble in the next 20 years to 8.2 billion air travellersthe emissions of the travel industry alonewill exceed the annual global carbon budget to limit warming to 1.5 degrees. While public awareness is increasing, most people dont realise how egregious flying actually is. Emissions from a single flight can dwarf the carbon savings from other lifestyle changes, such as going vegan. A return flight from Amsterdam to Santiago in Chile, for example, emits 3 800 kg CO2equivalent to the amount of CO2 saved by eating a vegetarian diet for eight years. The industry is moving to limit the damage. The International Civil Aviation Organization (ICAO), for example, finalised an agreement in 2016 to address carbon emissions by implementing the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA). Under the scheme, international passenger and cargo flight emissions would have to be offset, using forestry and other carbon-reducing measures. It will take effect in 2021 and will become obligatory in 2027. This scheme was hailed by some parties as ambitious, but the targeta 50 per cent reduction in emissions by 2050 based on 2005 levelsis still not in line with the 1.5 degree limit. It fails to propose a tax on kerosene or carbon and allows governments to continue heavily subsidising flights. That all keeps flights artificially cheap, encouraging people to fly. Political change is needed to encourage people to fly less and to shift to alternative modes of transport. It's only once per month: subscribe to the EIT newsletter Along with these reforms, EIT Community also needs bold, technological innovation to get off fossil jet fuel. EIT Climate-KIC has invested in a number of exponential technologies, such as electric helicopter taxiVolocopterand five-seater electric jetLilium, which are paving the way towards the aviation industrys dream: Electric flight. It will be a while before full-sized commercial aircraft go electric. Battery technology is not yet advanced enough to power planes for the distances they cover and weight they carry. Fuel is still 40 to 50 times more power-dense. With the average plane 100 times heavier than a mid-sized car, batteries need to become much more compact and more powerful per kilogram. However, there are already some promising experiments, with thefirst commercial electric flight flown by Harbour Air in December 2019. As EIT Community innovates its way to electric flight, alternative fuels can help to cut emissions.EIT Climate-KIC has supported SkyNRGa pioneer in sustainable aviation fuelin developing a supply chain for a fuel made from waste oils, including used chip fat. SkyNRG are developing a factory in Groningen to supply KLM and German multinational SHV Energy that will be Europes first facility to produce and supply sustainable fuel and bio propane. The fuel will lead to an 85 per cent reduction in lifecycle emissions and will also reduce nitrous oxide and fine particulate matter. Although there is a similar amount of CO2 emitted during the flight, as the fuel is a chemically identical hydrocarbon, using waste oil and residues that would otherwise be destined for landfill eliminates the emissions from drilling, transporting, processing and refining fossil fuels. The ideal would be using CO2, water, and renewable electricity to create hydrogen, because its zero-emission and the waste product is water. But that technology is not yet ready to be scaled up Maarten van Dijk, SkyNRGs managing director Creating and supplying sustainable biofuels, such as the one SkyNRG has developed from waste oils, takes 8-10 years from the lab stage to production and hundreds of millions of euros. But van Dijk is not deterred by detractors who say alternative fuel development is too slow, or that it distracts attention and investment from electric flight. We need it all. First we have to reduce the amount of fossil fuel needed with everything we can do. Reduction of demand, smarter flying, better taxing. Then, electric! The more electric, the better. Then, we need to substitute whatever share jet fuel has left with sustainable fuel. Thats it. Maarten van Dijk, SkyNRGs managing director",0_climate_change_kic_carbon,diffusion among innovators,
"['eit233', 'eit596']",EIT Climate-KIC supports exponential technologies through acceleration of start-ups and projects,,,,1,2,1,1,Rotation heat pump,,,,3,eit,https://eit.europa.eu//news-events/news/eit-proud-present-12-finalists-2022-eit-awards,"EIT Climate-KIC supports a small selection ofexponential technologiesthrough acceleration of start-ups and projects focused on electric flight, cleaner jet fuel, and carbon capture and re-use. Stricter regulations are also being introduced for aviation in response to the climate crisis. The sector already accounts for two per cent of global emissions. With the number of flights expected todouble in the next 20 years to 8.2 billion air travellersthe emissions of the travel industry alonewill exceed the annual global carbon budget to limit warming to 1.5 degrees. While public awareness is increasing, most people dont realise how egregious flying actually is. Emissions from a single flight can dwarf the carbon savings from other lifestyle changes, such as going vegan. A return flight from Amsterdam to Santiago in Chile, for example, emits 3 800 kg CO2equivalent to the amount of CO2 saved by eating a vegetarian diet for eight years. The industry is moving to limit the damage. The International Civil Aviation Organization (ICAO), for example, finalised an agreement in 2016 to address carbon emissions by implementing the Carbon Offsetting and Reduction Scheme for International Aviation (CORSIA). Under the scheme, international passenger and cargo flight emissions would have to be offset, using forestry and other carbon-reducing measures. It will take effect in 2021 and will become obligatory in 2027. This scheme was hailed by some parties as ambitious, but the targeta 50 per cent reduction in emissions by 2050 based on 2005 levelsis still not in line with the 1.5 degree limit. It fails to propose a tax on kerosene or carbon and allows governments to continue heavily subsidising flights. That all keeps flights artificially cheap, encouraging people to fly. Political change is needed to encourage people to fly less and to shift to alternative modes of transport. It's only once per month: subscribe to the EIT newsletter Along with these reforms, EIT Community also needs bold, technological innovation to get off fossil jet fuel. EIT Climate-KIC has invested in a number of exponential technologies, such as electric helicopter taxiVolocopterand five-seater electric jetLilium, which are paving the way towards the aviation industrys dream: Electric flight. It will be a while before full-sized commercial aircraft go electric. Battery technology is not yet advanced enough to power planes for the distances they cover and weight they carry. Fuel is still 40 to 50 times more power-dense. With the average plane 100 times heavier than a mid-sized car, batteries need to become much more compact and more powerful per kilogram. However, there are already some promising experiments, with thefirst commercial electric flight flown by Harbour Air in December 2019. As EIT Community innovates its way to electric flight, alternative fuels can help to cut emissions.EIT Climate-KIC has supported SkyNRGa pioneer in sustainable aviation fuelin developing a supply chain for a fuel made from waste oils, including used chip fat. SkyNRG are developing a factory in Groningen to supply KLM and German multinational SHV Energy that will be Europes first facility to produce and supply sustainable fuel and bio propane. The fuel will lead to an 85 per cent reduction in lifecycle emissions and will also reduce nitrous oxide and fine particulate matter. Although there is a similar amount of CO2 emitted during the flight, as the fuel is a chemically identical hydrocarbon, using waste oil and residues that would otherwise be destined for landfill eliminates the emissions from drilling, transporting, processing and refining fossil fuels. The ideal would be using CO2, water, and renewable electricity to create hydrogen, because its zero-emission and the waste product is water. But that technology is not yet ready to be scaled up Maarten van Dijk, SkyNRGs managing director Creating and supplying sustainable biofuels, such as the one SkyNRG has developed from waste oils, takes 8-10 years from the lab stage to production and hundreds of millions of euros. But van Dijk is not deterred by detractors who say alternative fuel development is too slow, or that it distracts attention and investment from electric flight. We need it all. First we have to reduce the amount of fossil fuel needed with everything we can do. Reduction of demand, smarter flying, better taxing. Then, electric! The more electric, the better. Then, we need to substitute whatever share jet fuel has left with sustainable fuel. Thats it. Maarten van Dijk, SkyNRGs managing director",0_climate_change_kic_carbon,diffusion among innovators,
"['eit234', 'eit598']",EIT Health-supported initiative helps head off health risks,,,,1,2,1,1,Silicon anode Lithium ion battery,,,,1,eit,https://eit.europa.eu//news-events/news/eit-innoenergy-gdi-raises-usd-133-million-produce-breakthrough-100-silicon-li-ion,"#ProtectUrLife, an EIT Health-backed initiative to give free bone and heart screenings to citizens around Europe, has undergone a series of citizen awareness days to educate the public about preventable risks to their health. Amgen, whose status was upgraded from an EIT Health Associate Partner to a Core Partner at the beginning of 2020, ran the EIT Health #ProtectUrLife project in 2018 and 2019. Other EIT Health partners involved were Technical University of Munich and the University of Barcelona. It's only once per month: subscribe to the EIT newsletter #ProtectUrLife raises awareness and alerts individuals with a high risk of cardiovascular disease and osteoporosis.Cardiovascular disease is a significant health challenge and isthe main cause of death in Europe, while osteoporosis, which is characterised by low bone density, leads to fractures and other life-altering health problems. Both of these conditions are often preventable if people know how to protect their health through lifestyle measures such as healthy eating and physical activity #ProtectUrLife aims to improve the prevention, assessment and treatment of cardiovascular disease and osteoporosis, two currently underdiagnosed and undertreated health conditions in Europe. Amgen advocates for a predict-and-prevent approach to healthcare, one that will intervene early in appropriate patients to improve outcomes and quality of life. Educational activities such as public screenings play a key role in advancing this vision. Isma Benattia, M.D., Medical Vice President for Amgen in Europe To help citizens understand and manage the risks, #ProtectUrLife visits busy locations in cities around Europe to provide free screenings for bone density and heart health by using innovative digital systems. People were also able to speak to healthcare professionals and receive additional information on bone and heart health during the awareness days. Last year, the initiative visited Lucerne, Malaga, Munich, Paris and Rimini. In 2018, ProtectUrLife visited Barcelona, Brussels, Munich, Nice, Rimini and Zurich. According to data on #ProtectUrLife 2018, compiled by Amgen and the University of Barcelona:",-1_ai_health_healthcare_heart,Commercial R&D,Fast charging batteryfor electric vehicle
"['eit236', 'eit600']",EIT Climate-KIC: Malaysia and Estonia win Climathon Global Awards,,,,1,1,3,1,Vertical parking tower,,,,2,eit,https://eit.europa.eu//news-events/news/meet-innoveit-berlin-speaker-david-schon,"A total of ten citizens and five city finalists took part in the inaugural Climathon Global Awards, which recognise creativity and solutions-thinking in response to local climate challenges. The event was held by EIT Climate-KIC in partnership with the Crowther Lab, ETH Zurich. It's only once per month: subscribe to the EIT newsletter The first-place cities project from Penang focused on improving social resilience, as well as nature-based solutions to reduce the heat island effect. The winning citizen project from Estonia, Woola, tackled waste by replacing e-commerce packaging with sheep wool. Both winners will receive a cash prize to invest in their project and ongoing technical support from the EIT Climate-KIC network. Its incredibly exciting and an honour for Penang to be the first city winner of the Global Climathon Awards. There are places in the world where the climate in 2050 will be vastly different from what it is today. Penang is one of these citiesthis is the challenge. We believe that our nature-based approach can make a real difference to the lives of Penangites, who are already regularly suffering the impacts of extreme weather, including flooding, heat stroke and heat stress. Our research will begin with climate-resilient species of trees that can help cool our communities and prevent flooding, and we also hope to raise awareness and increase understanding that climate change impacts have to be tackled in the hearts of our cities. Sofia Castelo, Think City The real value of winning this award is in the recognition. It gives us a lot of credibility and a capital boost to test out our solution. We know that the planets resources are finite, and we have to rethink how we approach materials and waste. Businesses are using the wrong kind of materials, 96 per cent of it isnt recycled and it takes a huge amount of energy to produce. We think sheeps wool is an ideal solutionour project is shock proof, heat proof and totally compostable. When were talking about climate change, raising awareness is always good, but a practical solution is always better. Anna-Liisa Palatu, Woola Global Climathon Day took place in October 2019. A record-breaking 6 500 participants took part, with 24-hour hackathons taking place in 56 countries spanning four continents. This years Climathon will take place in November during COP26, offering citizens from all over the world a pathway to positive action, and through that mobilisation the possibility to spark systemic change. Climathon Global Awards",0_climate_change_kic_carbon,diffusion among innovators,
"['eit248', 'eit611']",EIT Health start-ups: AI system effective in diagnosing prostate cancer,,,,1,3,2,1,polygenic risk score technology,,,,1,eit,https://eit.europa.eu//news-events/news/estonian-healthtech-start-antegenes-raises-eur-23m,"On 08 December 2019, the Lancet Oncologypublished the results of a studydemonstrating the accuracy of an artificial intelligence (AI) system in diagnosing prostate cancer in tissue samples. The system was developed by the team behindStockholm3andOncoWatch, two projects supported by EIT Health. Find out more about Stockholm3 The study, involving the same team and led by Karolinska Institutet in Sweden, showed that the AI system had considerable accuracy in determining whether a sample contained cancer, and in estimating the length of the cancer tumour in the biopsy. Furthermore, the AI system was comparable with 23 international, leading uropathologists in determining the Gleason score, the most important prognostic marker for prostate cancer. Our AI tool has the potential to reduce the workload of uropathologists, allowing them to focus on the most difficult cases and at the same time act as a safety net to improve quality. It also has the potential to speed up diagnostics and reduce costs for healthcare services. Martin Eklund, Associate Professor at Karolinska Institutet The Karolinksa team launched the blood-based prostate cancer diagnostic test called Stockholm3 in 2017.Stockholm3 doubles the number of aggressive cancers that are identified, whilst also reducing the number of unnecessary biopsies by 50% compared to current clinical practice with PSA.Stockholm3 is currently used in clinical practice in Sweden, Norway, Finland and Denmark. EIT Health has played a key role in accelerating the development and implementation of Stockholm3 and the new AI system, OncoWatch through network and financial support. As part of the development of OncoWatch, the AI system will be validated in 2020 in a nine-country multicentre study to assess its performance across different labs and in a wider range of digital pathology scanners. A first CE-marked product is expected to launch by the end of the year. There is a high demand for improved tools in prostate cancer diagnostics and we have proven that we can take new innovative tests to the market. The Stockholm3 test was used in more than 20,000 men in the Nordics alone in 2019, and I believe that our new AI system, OncoWatch, will also have strong uptake Martin Steinberg, Project leader for EIT Health-backed OncoWatch Prostate cancer is the most frequently diagnosed cancer among men in Europe, withapproximately 450000 new cases each year.Early diagnosis and treatment of aggressive prostate cancer is crucial to survival. Prostate cancer blights the lives of a large number of men in Europe each year, and despite the advent of new and innovative diagnostics and treatments, we still see too many men die from the condition. Prostate cancer is often treatable with early diagnosis and effective treatment, and AI represents a large opportunity to complement existing medical expertise within the diagnostic process. Jan-Philipp Beck, CEO of EIT Health 'The results of the study demonstrate the exciting developments that are happening in the field of AI, and how the technology can be applied to medical practice to improve the lives of patients and citizens in Europe. EIT Health is proud to support both the Stockholm3 and OncoWatch projects in the development of improved diagnostic tools to tackle prostate cancer,' added Jan-Philipp Beck, CEO of EIT Health.",12_cancer_cell_cells_influenza,Commercial R&D,Cancer risk assessment based on genetic test
"['eit251', 'eit614']",EIT Health establishes new office in Denmark,,,,1,1,3,1,Kinetic Flooring,,,,3,eit,https://eit.europa.eu//news-events/news/energy-floors-helps-coldplay-boost-sustainability-spheres-world-tour,"EIT Health continued its growth with the establishment in December 2019of a Denmark representation office that will expand the networks reach and deepen connections with EIT Healths Danish partners. Located in the Copenhagen Bio Science Park (COBIS),the representation means that EIT Health Scandinavia has offices in all three countries that it serves: Estonia, Sweden, and now Denmark. Joining EIT Health as Key Account Manager for Denmark is Per Horn, PhD, who brings extensive experience in senior management roles within Danish and international life science R&D. The new representation office will facilitate greater activity in Denmark by EIT Health. It creates the opportunity for closer cooperation between everyone in the EIT Health network and our Danish partners, who include leaders in higher education, industry and the public sector, such as: the Capital Region of Denmark, Copenhagen Business School, Copenhagen University, Denmarks Technical University and Novo Nordisk. Subscribe to the EIT newsletter Having a dedicated office in Denmark is key to implementing a strong strategy and promoting the proactive innovation collaboration within the Danish Partnership with the rest of Europe. It is also important for developing synergies with the strong Danish life science ecosystem, which will lead to more opportunities and better innovations both for EIT Health Partners and for start-ups. Trine Winter, Vice Dean of the Medical Faculty at Copenhagen University The COBIS Science Park is located close to the Copenhagen University Hospital, and the Copenhagen Universitys Faculties for Health Sciences and Pharmaceutical Sciences. COBIS is a part of the high-level innovation district Copenhagen Science City, which includes other start-up communities, research institutions and with City and Regional administration. With a stronger presence in Denmark, we will be able to maximise the use of EIT Health as a European arm for Danish life science, and increase the opportunities, not the least for the vibrant start-up community. Jrgen Schller, Head of Division at DTU Health Technology I am very glad to be able to establish this office in Denmark. A distributed organisation is essential for working close topartners,and ensuring we have the best possible funding and network organisation Erik Forsberg, Managing Director of EIT Health Scandinavia",4_health_eit_healthcare_patients,diffusion among innovators,tiles in high traffic areas that generate electricity from movement
"['eit253', 'eit616']",Food For Good Challenge: apply now,,,,1,1,3,1,Flying car,,,,-1,eit,https://eit.europa.eu//news-events/news/urban-air-mobility-plazza-accelerator-programme-kicks-toulouse,"EIT Food recently joined forces with FAMAE, an independent family foundation based in France, that supports innovation in the field of environment. Every year,FAMAE organises an International Challenge to seek pragmatic, efficient, durable, universal and money-saving solutions to make life easier for urban citizens while reducing their environmental footprint. Their 2020 challenge is dedicated to Food: 'Food for Good'. This competition is for entrepreneurs, SMEs, students, researchers, farmers, NGOs and public bodies and covers the production, transformation, logistics and consumption of food. The total prize money of EUR2 million is to help to foster innovations with a positive environmental impact, in support of a healthier and more sustainable Food Chain. EIT Food will be part of the jury. For more information on the competition, please have a look at the general conditions on theFAMAE website. Application deadline: 14February 2020. If you have further questions, please contactLeila Badisfrom FAMAE. Apply now",2_food_eit_consumers_sustainable,Commercial R&D,
"['eit255', 'eit618']",EIT Urban Mobility Master School: apply now,,,,1,1,3,1,AI powered insulin delivery,,,,11,eit,https://eit.europa.eu//news-events/news/eit-award-winner-diabeloop-raises-eur-70m,"Aalto University, KTH Royal Institute of Technology, Eindhoven University of Technology (TU/e), Universitat Politcnica de Catalunya (UPC) and Budapest University of Technology and Economics (BME) will welcome the firstEIT Urban Mobility Master Schoolstudents in September 2020. The programmes integrate leading technological knowledge with training in innovation and entrepreneurship. These are double degree programmes to beEIT labelled. A unique Summer School is included addressing critical real-life challenges while visiting two European cities, as well as internships at companies and cities across Europe. MSc Sustainable Urban Mobility Transitions The worlds cities are changing, but not enough. New technology, business models, and global priorities are transforming the way people get around. Regional planners and urban engineers are under pressure to prepare for and exploit these transformations to help bring about an urban environment that consumes fewer scarce resources, contributes less to climate change, and provides more liveable neighbourhoods and workplaces. To accomplish this, competences beyond the traditional urban planning and civil engineering disciplines is required, along with entrepreneurial skills to drive change that puts innovations into practice. MSc Future Mobility Markets and Services The Future Mobility Markets and Services programme prepares graduates to create and improve new mobility models, logistics strategies and business and digital transformation, with close interaction with relevant stakeholders. Mobility as a Service, Vehicle Sharing, Internet of Things, Micro-mobility and other new emerging developments are disrupting the mobility ecosystem and new markets and services are envisioned. The programme takes a holistic approach to the study, design, development and evaluation of Urban Mobility Markets and Services and integrates innovation techniques with entrepreneurial skills, to provide young graduates with the tools they need to implement new ideas. The programme is aimed to educate worldwide leaders in the urban mobility sector. A complete and suitable Bachelor's degree in a relevant field of studies and proof of English language proficiency. Period 1: 12 December 2019 - 03 February 2020 Period 2: 17 February - 17 April 2020 Apply now For more info about the programmes For more info about admission criteria",7_mobility_urban_cities_transport,diffusion among innovators,
"['eit258', 'eit621']",EIT Health: integrated healthcare can improve care and reduce costs,,,,1,3,3,1,Upcycling food waste,,,,1,eit,https://eit.europa.eu//news-events/news/eit-food-announces-newest-agrifood-tech-scale-ups-join-risingfoodstars-association,"Ursula Redekeris Spokeswoman for the Management of Roche Diagnostics GmbH. She is also a member of the EIT Health Supervisory Board, a member of the Board of Trustees of the German Cancer Research Center (DKFZ) in Heidelberg, Chair of the Scientific Advisory Board of the Rhine-Neckar Metropolitan Region and shareholder representative on the Supervisory Board of ABB AG. EIT Community hasa fairly segmented approach to the provision of healthcare today. As patients, EIT Community sees doctors, nurses, social workers, physiotherapists and many other healthcare professionals helping us to maintain or regain good health. They must plan together, treat patients together, and talk to one another, a dynamic that often needs to be continued in the long term, particularly for chronic diseases. This becomes a challenge when processes, regulation and mindsetare not all focused on integration of care. The growth in medical knowledge necessitates increased specialisation, which is valuable but results in fragmentation that requires a challenging level of governing infrastructure and reimbursement principles. Integrating healthcare to provide seamless end-to-end care will reduce costs by optimising interfaces, reducing redundancies and avoiding communication breaks and information gaps. It will improve outcomes by making information easily available and providing constant feedback loops for all involved in care. It will enable truly personalised care. And it will help to shift the focus from treating disease to maintaining health, thereby promising both better healthcare and reduced costs. Ursula Redeker, EIT Health Supervisory Board Member Some of the main challenges that I believe EIT Community must address in order to develop, nurture and scale integrated care models across Europe include: Tackling all of these challenges is, of course, no small task. WhileEIT Community may still be some years away from total reform, EIT Community isseeing pilots testing integrated healthcare on a regional level or focused on a disease. One example is the 'Gesundes Kinzigtal' model (GK) in Germany, where healthcare within a local community has been organised as an innovative integrated care system.The GK model focuses on three key principles:better population health, improved experience of care, and reduced per-capita costs. The results of the GK model clearly demonstrated that patient satisfaction and population health can be improved while decreasing the overuse of health services and medicines. In the EIT Health portfolio, the innovation projectiPDM-GOis improving diabetes care by providing a personalised diabetes management platform. Ursula Redeker, EIT Health Supervisory Board Member In the EIT Health portfolio, the innovation projectiPDM-GOis improving diabetes care by providing a personalised diabetes management platform that integrates diagnostic results with relevant medication and personal information  to help patients and their doctors achieve better short- and long-term outcomes. Controlling blood glucose levels is a highly complex process and a major task for patients. Although monitoring and treatment are readily available, staying within the required blood-sugar range remains a challenge. Providing individual feedback loops and continuous information for patients and doctors can help avoid long-term complications and associated pain and cost.  Another EIT Health project, calledSeizeIT, is addressing epilepsy by innovating seizure detection. Currently, seizures are being reported with a patient diary, or are measured during hospital stays. This provides a lot of room for seizures to be underreported, but accuracy is relevant to establishing optimal care. By providing a discreet device that patients can wear at home, SeizeIT is working towards a reality where all seizures can be detected. This will improve patient lives and help medical professionals understand more about the condition, and improve treatments available. The variety of healthcare systems across Europe share some common challenges. Integrated healthcare is one of those. EIT Health offers an opportunity to explore pilots and innovative approaches to achieve this vision. Lets use these opportunities to create improvements that provide the best value for citizens and patients. Visit the EIT Health website",4_health_eit_healthcare_patients,diffusion among innovators,
"['eit262', 'eit564']",EIT Health launches guidance on Value-Based Health Care ,,,,1,2,1,1,Conversational AI for customer support,,,,3,eit,https://eit.europa.eu//news-events/news/webio-eit-digital-backed-start-raises-eur-38m-scale-its-conversational-ai-platform,"EIT Health has launched a new framework for achieving Value-Based Health Care (VBHC) to improve patient outcomes and reduce waste of healthcare resources. Designed with insights from established pioneers in the field and laid out in a practical handbook, the framework describes key steps healthcare providers can take to fully realise the opportunity presented by VBHC. Unlike traditional volume-based healthcare provision, modelled on fees for-products or services, VBHC provides a methodology for measurable healthcare outcomes that make the biggest difference to patients, while driving cost efficiencies within health services. The World Health Organization (WHO) and The Organisation for Economic Co-operation and Development (OECD) estimate that around 30% of resources currently spent on healthcare are wasted on avoidable complications, unnecessary treatments or administrative inefficiencies. Tackling this waste head on, the publication from EIT Health aims to kick-start change towards measurable value, in order to support more sustainable models for healthcare. The new EIT Health publication Implementing Value-Based Health Care: Handbook for Pioneers, includes an Implementation Matrix with a clear and structured framework for healthcare providers to follow. The Matrix details five key steps to help healthcare providers activate and accelerate VBHC: 1)recording; 2)comparing; 3)rewarding; 4)improving; and 5)partnering. It outlines how to measure and maximise the outcomes that matter to patients, and addresses the main challenges, such as lack of standardised outcome data and resistance to change. Read the handbook Jan-Philipp Beck, CEO of EIT Health, explains the need for this work: In recent years, there has been a growing interest in VBHC in the health community in Europe; however the focus has been on why it is the way forward, rather than how we effectively implement such a change. This is why we created this framework, to provide an in-depth guide on how health care managers and practitioners can orient efforts and resources towards necessary transformation. Currently, many of Europes health care systems measure the wrong things, which can lead to inefficiencies in cost, time and resources, not to mention the impact on the patient. Metrics focus on volume rather than patient outcomes, and this is simply unsustainable for health care systems. At EIT Health, we are uniquely placed to connect successful pioneers in the field with those just starting out, and to share tools and best practices to help measure outcomes to drive this cultural shift within Europes health care systems. Development of this EIT Health handbook has been directed by Professor Gregory Katz of the University Paris School of Medicine and achieved in collaboration with esteemed experts from across leading European organisations. The new framework is based on several VBHC case studies from some of Europes leading healthcare providers, including: Uppsala Academic Hospital, which reduced the number of unnecessary ambulance dispatches by 17%; Basel University Hospital, which improved the median time from stoke symptom to treatment onset by 14%; and NHS Wales, which identified that in 19% of cases, high-cost cataract surgery had no real impact on a patients activity limitations in daily life. According to Professor Gregory Katz: Today in Europe, VBHC pioneers are choosing to take bold action to measure, compare and improve patient outcomes. This momentum is mainly building from the bottom up, through entrepreneurial initiatives. As care results vary tremendously between therapeutic approaches and medical teams, transparent outcome benchmarks enable the detection of medical innovations and the reduction of inappropriate care. There are good reasons to be impatient for improving health care through VBHC, but there are also reasons to be humble. VBHC is still in its infancy, and successful implementation takes time. Becoming a VBHC early adopter opens the opportunity to learn proactively and spearhead high-value care. The handbook was commissioned by EIT Health under its Think Tank thought leadership forum, which explores the most pressing topics for the health of Europe and its citizens. The EIT Health Think Tank brings healthcare leaders together, across disciplines and borders, to prepare the ground for life-changing innovation and identify the next opportunity for a transformation in how healthcare is delivered. The launch of the handbook marks the first in a series of activities being launched by EIT Health that are designed to support a step-change in the provision of healthcare and to integrate VBHC as the new norm across Europe. View the handbook and Implementation Matrix",4_health_eit_healthcare_patients,Diffusion among early adopters,
"['eit266', 'eit568']",Unus Terra wins top prize at EIT Digital Data against COVID-19 Deephack,,,,1,1,3,1,Autonomous delivery robot,,,,0,eit,https://eit.europa.eu//news-events/news/logismile-delivery-driver-future-autonomous-robot-ona-tested-barcelona,"Second prize went to ""Service coverage and capacity management"", a tool to visualize and access ICU beds, and the third prize went to ""AI-APP for COVID-19"", an app to assess the risk of viruses spreading at events. Committed teams, strong proposals, and hard work during the weekend made the well-organised online event an all-round success. The EIT Digital DeepHack, powered by Ultrahack, ran nonstop from 1 to 3 May. In the final pitching sessions, 20 teams, composed of 73 entrepreneurs, innovators and students coming from 13 countries, competed for a total prize of EUR 15 000, and for the opportunity to be selected for a follow-up EIT Digital activity to fully develop and deploy their solution. The winning team, Unus Terra, based in Finland, took home EUR 7 000, while for the second and third places, EUR 5 000 and EUR 3 000 were awarded, respectively. Second prize was awarded to a team from Germany, Brazil, France, Italy and the Czech Republic, composed of members of the Targomo startup, for their ""Service coverage and capacity management"" solution. The tool visualizes ICU beds service coverage and accessibility maps in a specific area, and makes it possible to identify risk areas, or target certain demographics during the pandemic. Third place went to the UK-based team behind ""AI-App for COVID-19"", an app which uses artificial intelligence to help managers and insurers assess the risk of viruses spreading at planned events. Thehigh-profile jury for the DeepHack included Jean-David Malo, Director of the European Innovation Council (EIC), Linnar Viik, Chairman of the Supervisory Board of EIT Digital, Lucia Chierchia, Managing Partner at Gellify, Maria Luisa Garca Garca, President of The Andalusian Investors Network, Wim De Waele, General Manager at The Beacon and Willem Jonker, CEO of EIT Digital. The jury selected the best solutions after a pitching session, based on their impact, scalability and business model. This is by far not the first DeepHack that we have organised, but it was the first fully online DeepHack, and it was a tremendous success. We received 312 registrations totalling 145 projects. We selected 20 projects for the final event, and we have threestrong winners. Congratulations to all participating teams for their commitment and the high quality of their proposals. We look forward to supporting several of them during the rest of 2020 to fully develop and deploy their solutions Chahab Nastar, EIT Digital's Chief Innovation Officer",14_digital_eit_eur_accelerator,Diffusion among early adopters,
"['eit270', 'eit572']",AI relief for bed-tied patients - A venture programme success story,,,,1,2,3,1,Hydrogel with maggot enzyme for wound care,,,,0,eit,https://eit.europa.eu//news-events/news/eit-health-catapult-2022-names-winners-0,"This success story was part of the EIT Digital Venture Programme, supporting entrepreneurial teams with deep tech business ideas to finalise their MVP and start their venture. Click here for more information and to apply for the 2020 edition. All of us who have grandparents or elderly relatives have had some experience with pressure ulcers - a medical condition caused by long-term bed rest. In truth, it is a health problem that could be avoided, according to Mohammad Amini. And he does not just talk about it but leads a team that has invented a product to predict the risks. Both my grandparents died while suffering from pressure ulcers, saysMohammad Amini, the Team Leader ofSensoMatt. That was the point when he first started thinking about a solution. Since pressure ulcers affect not just the elderly, but also disabled people and other patients lying in hospitals, it is a common medical problem that needs treatment. ""My grandparents were old, but the pressure ulcer phenomena and the pain caused by the wounds made me think about why there is no reliable solution to alert and forecast,"" he says. Last year, Amini and his uncle started to develop their solution. It contains hardware and an AI-based structure for prediction. ""After I talked with a friend of mine about AI development, we started to produce our MVP[minimum viable product], and then enrolled in the EIT Digital Venture Program due to a friends recommendation. The scope of EIT Digital's Venture Program is nothing other than helping ideas like SensoMatts reach markets and customers. The team had the first ideas and a basic prototype in 2019. Then, with the help of EIT Digital and its partners' experience, they found a way to grow. With their help, they are taking the invention to the areas of use: hospitals, clinics, and nursing homes. SensoMatt is a multiplatform solution. It contains a thin smart sheet, that can be placed under any kind of mattress, and an AI-driven cloud system processing all earned data. The sensors in the sheet track the real-time pressure distribution. The AI-based algorithm analyses this data and pressure ulcers can be detected or predicted. During the EIT Digital Venture Program, Amini and his team developed a unique, affordable and reliable device that is suitable to use not just in hospitals but also in homecare. The company is in negotiations with Portuguese and Belgian medical centres.CHwapi, the Belgian medical centre, is one of the investors in SensoMatt, having provided 100,000. Even if the motivation behind the development process is a heart-breaking life event for Amini, many people could benefit from this device. SensoMatt helps protect against and predict a painful and dangerous medical condition in a way we have never seen before.",13_digital_pacemaker_patients_corehab,Commercial R&D,
