,emergence
Energy harvesting,190
Floating Liquefied Natural Gas,0
Flywheel energy storage,1
Fourth-generation biofuel,1
Fusion power,5
Gas generator,0
Gas-cooled fast reactor,0
Gasification,0
Generation IV reactor,0
Grid energy storage,2
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,2
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,2
Lithium ion battery,27
Lithium iron phosphate battery,0
Lithium-air battery,3
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,1
Microreactor,2
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,0
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,1
Optical rectenna,7
Organic solar cell,4
Perovskite solar cell,6
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,1
second-generation biofuels,0
Smart grid,118
Sodium-cooled fast reactor,0
Space-based solar power,1
Supercapacitor,14
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,1
Virtual power Plant,1
Vortex engine,0
Wireless power transfer,50
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,34
Wearable journalism,83
Cryptocurrency,101
Stablecoin,1
Companion robot,9
Cryonics,0
Extreme Life extension,13
Suspended animation,1
5D DVD,0
5g,612
6G,60
Ambient intelligence,19
Artificial brain,5
Artificial general intelligence,850
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,397
Compressive Sensing,245
Deep learning,5011
deep trench capacitor,0
Digital image processing,431
Digital image segmentation,0
Distributed ledger,520
DNA Computing,10
DNA digital data storage,0
Edge Computing,220
Edge enhancement,3
Embedded systems in substrate,0
Exascale computing,19
Extreme ultraviolet lithography,4
Facial recognition,305
General-purpose computing on graphics processing units,33
GPT-4,1
Haptic technology,9
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,6
In-storage processing,1
Indoor positioning system,5
Internet of things,531
Li-Fi,8
Machine translation,508
Machine vision,45
Nanoradio,0
Natural Language Processing,601
Neural Networks,6511
Neural-sensing headset,0
next gen web search,0
Open source model,2
Optical computing,28
Quantum algorithm,119
Quantum computing hardware,598
Quantum cryptography,136
Semantic Web,112
Silicon laser for communication,0
Smartphone,183
Spatial computing,4
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,76
Virtual reality applications,8
Visible Light Communication,37
wi-fi 6,0
wi-fi 7,2
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,54
Amorphous metal,14
Bioplastic,0
Carbon nanotube,667
Conductive polymer,9
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,0
Fast-ion Conductors,3
Fullerene,82
Gallium Nitride semiconductor,0
Graphene,3139
Graphene Oxide dough,28
High Entropy Alloys,33
Magnetic nanoparticles,36
Magnetorheological fluid,0
Metal foam,0
Metamaterial,237
Multi-function structure,0
Nanocrystal,145
Nanotextured surface,0
Photonic Metamaterial,5
piezoelectric material adhesion,0
Programmable matter,9
Quantum dot,1657
Self-cleaning surfaces,1
Shape Memory Polymer,1
Shape-memory alloy,8
Silicene,104
Single Photon Source,26
Superalloy,9
Superfluidity,262
Superlenses chips,0
Syntactic Materials,0
Time crystal,30
Zeolite,14
Zero-friction coating,2
16K video resolution,0
Augmented reality,125
Brain-computer interface,59
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,4
hydrogen vehicle,0
Immersion (virtual reality),1
Mixed Reality,24
Video tracking,2
Virtual reality,165
3D Bioprinting,0
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,20
Biomimetic Nanocoagulation,0
Biosensor,16
Breath analysis,1
Cancer biomarker,0
Capsule endoscopy,11
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,0
Electroanalgesia,0
Electronic nose,1
Head transplant,0
Intelligent toilet,0
Jet injector,1
Lab-on-a-chip,21
Microelectromechanical systems,96
Microfluidics,37
Molecular electronics,35
Nanorobotics,4
Neuron Control,0
Neuroprosthetics,3
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,0
Photoacoustic imaging,22
Plasma Medicine,21
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,3
Protein Structure Prediction,25
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,7
Sensory substitution,5
Single Cell Analysis,6
Stasis Chamber,0
Synthetic Blood,0
Theranostic Wound Care,27
Transdermal optical imaging,0
Active camouflage,12
Active noise control,3
Automatic identification of suspicious activity,0
Cloaking device,14
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,108
Homodyne detection,40
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,257
MAHEM,0
Metamaterial cloaking,1
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,1
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,60
Quantum illumination,376
Quantum radar,3
Railgun,5
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,15
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,2
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,2
Electronic cigarette,1
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,7
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,1
Phage therapy,0
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,0
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,8
Virotherapy,1
Air-launch-to-orbit,0
Artificial gravity,1
Beam-powered propulsion,0
Fusion rocket,1
Inflatable space habitat,0
Ion thruster,2
Launch loop,0
Mass driver,0
Mini-magnetosphere,1
Miniaturized satellite,4
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,2
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,6
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,58
Backpack helicopter,0
Electric vehicle,36
Fuel cell,24
Fuel cell vehicle,0
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,1
Intelligent transportation system,11
Jetpack,0
Maglev,0
PAV,9
Personal rapid transit,2
Physical Internet,4
Pulse detonation engine,0
Rapid transit,295
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,5
Hyper-personalized intelligence,41
neuromorphic engineering,0
solid-state battery,0
