,R_D
Energy harvesting,253
Floating Liquefied Natural Gas,0
Flywheel energy storage,2
Fourth-generation biofuel,2
Fusion power,7
Gas generator,1
Gas-cooled fast reactor,0
Gasification,4
Generation IV reactor,0
Grid energy storage,6
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,4
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,3
Lithium ion battery,54
Lithium iron phosphate battery,0
Lithium-air battery,4
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,2
Microreactor,2
Mini Bioreactors,0
Modular Reactors,0
Molten salt reactor,1
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,0
Oil detection,3
Optical rectenna,2
Organic solar cell,5
Perovskite solar cell,8
Power-to-X,1
Proton Battery,0
Quantum dot solar cell,2
second-generation biofuels,0
Smart grid,137
Sodium-cooled fast reactor,0
Space-based solar power,2
Supercapacitor,17
Supercritical water reactor,0
Third-generation biofuels,0
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,35
Zero-energy building,1
Automated journalism,0
Foundation garment,0
Haptic feedback systems,35
Wearable journalism,91
Cryptocurrency,90
Stablecoin,3
Companion robot,13
Cryonics,0
Extreme Life extension,17
Suspended animation,2
5D DVD,0
5g,547
6G,83
Ambient intelligence,34
Artificial brain,6
Artificial general intelligence,1038
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,417
Compressive Sensing,264
Deep learning,4732
deep trench capacitor,0
Digital image processing,472
Digital image segmentation,0
Distributed ledger,480
DNA Computing,10
DNA digital data storage,0
Edge Computing,194
Edge enhancement,1
Embedded systems in substrate,0
Exascale computing,12
Extreme ultraviolet lithography,2
Facial recognition,256
General-purpose computing on graphics processing units,37
GPT-4,0
Haptic technology,12
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,3
In-storage processing,1
Indoor positioning system,2
Internet of things,340
Li-Fi,11
Machine translation,693
Machine vision,39
Nanoradio,0
Natural Language Processing,723
Neural Networks,6599
Neural-sensing headset,0
next gen web search,0
Open source model,16
Optical computing,13
Quantum algorithm,221
Quantum computing hardware,956
Quantum cryptography,161
Semantic Web,129
Silicon laser for communication,0
Smartphone,225
Spatial computing,3
Streaming television,1
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,121
Virtual reality applications,5
Visible Light Communication,30
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,1
Document automation,0
Intelligent Knowledge Management,1
Aerogel,87
Amorphous metal,61
Bioplastic,0
Carbon nanotube,999
Conductive polymer,7
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,2
Fast-ion Conductors,1
Fullerene,207
Gallium Nitride semiconductor,0
Graphene,4930
Graphene Oxide dough,39
High Entropy Alloys,26
Magnetic nanoparticles,60
Magnetorheological fluid,1
Metal foam,3
Metamaterial,300
Multi-function structure,0
Nanocrystal,237
Nanotextured surface,0
Photonic Metamaterial,1
piezoelectric material adhesion,0
Programmable matter,16
Quantum dot,2571
Self-cleaning surfaces,2
Shape Memory Polymer,2
Shape-memory alloy,17
Silicene,165
Single Photon Source,52
Superalloy,9
Superfluidity,481
Superlenses chips,0
Syntactic Materials,0
Time crystal,36
Zeolite,36
Zero-friction coating,9
16K video resolution,0
Augmented reality,118
Brain-computer interface,60
Computer-generated imagery,1
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,3
hydrogen vehicle,0
Immersion (virtual reality),1
Mixed Reality,31
Video tracking,6
Virtual reality,166
3D Bioprinting,1
Anti-degenerative medicine,0
Apheresis,0
Artificial womb,0
Bio Ink,26
Biomimetic Nanocoagulation,0
Biosensor,27
Breath analysis,0
Cancer biomarker,2
Capsule endoscopy,6
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,2
Electroanalgesia,0
Electronic nose,1
Head transplant,0
Intelligent toilet,0
Jet injector,1
Lab-on-a-chip,108
Microelectromechanical systems,150
Microfluidics,85
Molecular electronics,40
Nanorobotics,5
Neuron Control,0
Neuroprosthetics,2
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,1
Photoacoustic imaging,33
Plasma Medicine,73
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,1
Protein Structure Prediction,24
Rapid diagnostic test,0
Real-time polymerase chain reaction,0
Regenerative Medicine,8
Sensory substitution,0
Single Cell Analysis,2
Stasis Chamber,1
Synthetic Blood,1
Theranostic Wound Care,49
Transdermal optical imaging,0
Active camouflage,15
Active noise control,2
Automatic identification of suspicious activity,0
Cloaking device,15
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,1
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,404
Homodyne detection,85
HPM weapons,0
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,272
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,5
Optical coating,0
Optoelectronic oscillator,1
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,149
Quantum illumination,506
Quantum radar,5
Railgun,9
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,21
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,3
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,10
Electronic cigarette,4
Enzybiotics,0
Exhalation delivery system,0
Gene Editing,4
Genome Prime Editing,0
ISCOM,0
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,0
Off-target genome editing,0
Oncolytic virus,9
Phage therapy,1
Receptor activated solely by a synthetic ligand,0
Senolytic,0
Stem-cell therapy,0
Structurally nanoengineered antimicrobial polypeptide polymers,1
Targeted drug delivery,18
Virotherapy,6
Air-launch-to-orbit,0
Artificial gravity,3
Beam-powered propulsion,2
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,1
Launch loop,0
Mass driver,1
Mini-magnetosphere,5
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,2
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,2
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,1
Autonomous Rail Rapid Transit,0
Autonomous vehicle,137
Backpack helicopter,0
Electric vehicle,58
Fuel cell,53
Fuel cell vehicle,1
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,0
Intelligent transportation system,13
Jetpack,0
Maglev,6
PAV,8
Personal rapid transit,3
Physical Internet,3
Pulse detonation engine,0
Rapid transit,1162
Rocket transportation,0
Supersonic transport,0
Urban rail transit,2
Vactrain,0
VTOL,4
Hyper-personalized intelligence,74
neuromorphic engineering,0
solid-state battery,0
