,R_D
Molecular electronics,4
Nanorobotics,5
Neuron Control,1
Neuroprosthetics,98
Nutritional genomics,19
Omni Processor,0
OOKP,0
Organ-on-a-Chip,26
Photoacoustic imaging,125
Plasma Medicine,6
Point of care automated analyser,0
Portable water purification,0
Powered exoskeleton,5
Protein Structure Prediction,101
Rapid diagnostic test,19
Real-time polymerase chain reaction,57
Regenerative Medicine,2861
Sensory substitution,14
Single Cell Analysis,454
Stasis Chamber,0
Synthetic Blood,51
Theranostic Wound Care,1886
Transdermal optical imaging,0
Active camouflage,10
Active noise control,5
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,271
Homodyne detection,0
HPM weapons,1
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,0
Lidar,7
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,0
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,0
Quantum radar,0
Railgun,0
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,1
Urban mining,0
Closed system drug transfer device,1
DNA repair,3257
Electronic cigarette,365
Enzybiotics,5
Exhalation delivery system,2
Gene Editing,1813
Genome Prime Editing,0
ISCOM,4
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,12
NASBA,2
Off-target genome editing,1
Oncolytic virus,241
Phage therapy,36
Receptor activated solely by a synthetic ligand,99
Senolytic,52
Stem-cell therapy,375
Structurally nanoengineered antimicrobial polypeptide polymers,3
Targeted drug delivery,357
Virotherapy,124
Air-launch-to-orbit,0
Artificial gravity,1
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,0
Backpack helicopter,0
Electric vehicle,5
Fuel cell,4
Fuel cell vehicle,0
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,0
Intelligent transportation system,0
Jetpack,0
Maglev,6
PAV,15
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,309
Rocket transportation,0
Supersonic transport,0
Urban rail transit,0
Vactrain,0
VTOL,0
Hyper-personalized intelligence,198
neuromorphic engineering,0
solid-state battery,0
