,gpt3_tech_extraction
eit247,"New emerging technologies:1. The EIT, as Europe’s largest innovation ecosystem2. Connect with Europe’s brightest innovators, entrepreneurs, industry players and policy makers3. The EIT Summit is part of the INNOVEIT WEEKS event series, the flagship event of the European Institute of Innovation and Technology"
eit248," programmes.EIT Health, Antegenes, polygenic risk score technology, BRIGHT, AnteBC, Green ICT"
eit249,"1. Real-time public transport vehicle occupancy information2. Digital regulation of active clean micro-mobility3. B2B marketplace for private and commercial space operators4. Safe and secure bicycle parking with e-bike charging5. Parking and docking stations for micro-mobility6. Data collection, viewing, evaluation and validation of the charging process7. State-of-charge insights for electric buses"
eit250,-Circularity-EIT Climate-KIC-Deep Demonstrations-Regenerative Economies-Slovenian government-local communities- businesses- industry- research institutions- policymakers-Cross-sectoral-Cross-disciplinary-Stakeholders-Policy Lab-Public sector-Higher education-Science-Funding strategy-Investment plan-NetZeroCities-European Commission-Mission on Climate-Neutral and Smart Cities
eit251," here.EIT InnoEnergy, Energy Floors, Coldplay, Music Of The Spheres World Tour, MOTSWT, Kinetic Dance Floor, LED lights, Energy Centres, stationary bikes, kinetic energy, Energy Floors, The Business Booster."
eit252,"Smart specialisation, integration into European values chains, innovations, digital transition, green transition"
eit253,: https://www.eiturbanmobility.eu/news/urban-air-mobility-accelerator-programme-selected-start-ups
eit254,-Citizen Engagement projects-EIT Community New European Bauhaus Initiative-local solutions-EUR 15 000 to EUR 45 000-climate change-refugees-art-nature-based solutions-shipyard and harbour districts
eit255,".Diabeloop, a key player in therapeutic artificial intelligence (AI) applied to insulin delivery"
eit256,"NetZeroCities, Horizon Europe, EIT Climate-KIC, Climate City Contracts"
eit257,"EIT InnoEnergy, Oneplanetcrowd, ROM InWest, DOEN Participaties"
eit258,".NEMIS Technologies AG, Delicious Data, Bee Smart Technologies AD, Circular Food Technology ApS, Aliga Aps, Ace Aquatec, Farm21, Kern Tec GmbH, Verdify, Complete Organics, Mushlabs GmbH, CUBIQ FOODS S.L., Targeted nutrition, Circular food systems, Sustainable agriculture, Protein diversification, Digital Traceability"
eit259,-Deep tech-EIT Community-EIT Girls-Go-Circular-EIC-SuperNova
eit260,comnew emerging technologies:-EIT RawMaterials-the European Raw Materials Alliance-magnesium-recycling-aluminium-rare earth elements-electricity transmission-batteries-resource- and energy-efficient building-mobility
eit261,-batteries for electric vehicles and energy storage -lithium-cobalt
eit262,"Conversational AI, Artificial Intelligence, machine learning"
eit263,"5G technologies, connectivity services, micro-mobility, shared mobility, energy- and mobility-related aspects, freight and goods transportation, urban air mobility."
eit264,"C-Neutral Farming project, Get Wasted project, Nordic Cereals project, Grow Workshops, New European Bauhaus, Agrifood stakeholders, public-private partnerships, UK Research and Innovation (UKRI), Innovate UK KTN, IntelliDigest, Agri-EPI Centre, Scotland’s Rural College (SRUC), EnvoPAP, Soil Capital, Agricolus, Multus Biotechnology, Niskus Biotec, Food Futures."
eit265,
eit266,"-Autonomous goods distribution robot Ona -Developed by CARNET and the Universitat Politecnica de Catalunya, BarcelonaTech (UPC), in the framework of the European project LogiSmile-The autonomous vehicle is included in the objective of digitalisation and decarbonisation pursued by the Ministry."
eit267," EIT Food is the world’s largest food innovation community. It is supported by the European Institute of Innovation and Technology (EIT), a body of the European Union. EIT Food’s mission is to make the food system more sustainable, healthy and trusted. Its activities are designed to foster innovation and entrepreneurship in the agrifood sector to make it more attractive for talented people, and to ensure that Europe remains a world leader in food production.Precision agriculture, predictive and decision support systems, sustainable farm management, supply chain management, food integrity and authenticity."
eit268, here.-EIT Change Award -EIT Innovators Award -EIT Venture Award -EIT Women Leadership Award -EIT Public Award
eit269,-TurtleApp-EIT Community New European Bauhaus Ideathon Award-Joint Research Centre-EIT Climate-KIC Climathon
eit270,"Ebenbuild, Leuko, SolasCure, PointCheck, Aurase, Lily"
eit271,"EIT Food, EIT Manufacturing, EIT Urban Mobility, SUPERNOVAS, Startup Stairway, Rocket up, Women2Invest, Mentoring for women leaders"
eit272," The app is not only for people with diabetes or cardiac conditions, but also for those who want to change their lifestyle."
eit273,-EIT Digital's Professional School -digital skills -lifelong learning -upskilling -L&D -problem-solving -critical thinking -computational thinking -self-regulation -digital upskilling -double-disruption -the digital and green transitions -PwC's Talent Trends 2020 -EIT Digital's Digital Technologies and the Green Economy Report
eit274,Some new emerging technologies that may be featured at this event include:-Green technology-New European Bauhaus-EU Recovery Fund
eit275,-EIT Climate-KIC-Built by Nature-Milano Innovation District (MIND)-Accelerator Fund grant-Deep Demonstrations of Healthy Clean Cities EU CINCO-NetZeroCities
eit276," and how to apply here.-EIT Health -Biogen -Alzheimer’s Disease (AD) -French start-up, Five Lives -Dutch start-up, Neurocast -EUR 100,000 and 50,000 respectively -MedtecLIVE conference -Stuttgart, Germany -Jean-Marc Bourez -interim CEO, EIT Health -10 weeks of intense mentoring -validation -EIT Health and Biogen experts -independent panel of experts -leading neurologists -patient representatives -startup experts -payors -mobile app -clinically validated risk assessment -lifestyle advice -Fives Lives -Neurocast -smartphone use -clinically approved outcomes -medical professionals -Dementia -public health crisis -ageing population -incidence of AD -over 55 million people -78 million -2030 -cure -early diagnosis -"
eit277,- European Patent Office (EPO)- European Institute of Innovation and Technology (EIT)
eit278,"clean mobility, energy efficiency, green urban planning"
eit279,
eit280,1. Cityzone 2. CARNET 3. University of Lisbon 4. Municipality of Cascais 5. Impact Hub Vienna GMBH 6. Istanbul Metropolitan Municipality 7. Farplas Otomotiv AŞ 8. BGI S.A.
eit281,
eit282,-EIT-COST-EIT Jumpstarter programme-COST Innovators Grant
eit283, here.-Climate change-Global warming-The Intergovernmental Panel on Climate Change-Emissions-Fossil fuels-Renewable energy-Carbon capture and storage
eit284,"sustainable urban farms, using soil microbes to generate light and energy, transforming building facades"
eit285," about the opening event of the Co-Location Center East.EIT Manufacturing, the Co-Location Center (CLC) East, the European Institute of Innovation and Technology (EIT), Horizon Europe"
eit286," The New European Bauhaus Ideation Awards are just one of the many opportunities that the EIT Community offers to engage with the New European Bauhaus. The EIT Community is also running a New European Bauhaus Innovation Challenge, which is open to all, and the New European Bauhaus Venture Programme, which is open to EIT Community members.1. New European Bauhaus Ideation Awards 2. New European Bauhaus 3. EIT Community 4. Jury Award 5. Audience Award 6. Honourable Mention 7. Grand Jury Award 8. In-person Award Ceremony Session 9. New European Bauhaus Innovation Challenge 10. New European Bauhaus Venture Programme"
eit287,1. Nektarios Tavernarakis 2. European Research Council 3. Gioia Ghezzi 4. EIT Governing Board 5. Board of Directors 6. Foundation for Research and Technology-Hellas 7. Institute of Molecular Biology and Biotechnology 8. Medical School of the University of Crete 9. Graduate Programme on BioInformatics 10. Neurogenetics and Ageing laboratory 11. Rutgers University 12. University of Crete 13. Academy of Athens 14. Scientific Council of the European Research Council 15. European Molecular Biology Organization 16. German National Academy of Sciences 17. Leopoldina 18. European Academy of Sciences and Arts 19. Academia Europaea 20. ERC Advanced Investigator Grants 21. ERC Proof of Concept Grant 22. Assolombarda 23. Ferrovie dello Stato Italiane Group 24. Willis Group 25. Zurich Insurance Group 26. IBM Research
eit288, can be found here.The EIT's Call for Proposals for EIT Culture & Creativity
eit289,
eit290,"Climedo, Nauta Capital, Westtech Ventures, EIT Health, Headstart COVID-19 Grant, Informa Connect"
eit291,Some of the new technologies mentioned in the text are:-The Care to Translate app-Digital medical translation-Smart device or browser-based translation-The translation of various digital care platforms
eit292,-Automation -Digitalisation -IPCEIs -The circular economy -Standards and regulations
eit293,: https://www.eit.europa.eu/news/eit-news/state-israel-formally-associates-horizon-europe-foster-ground-breaking-innovation#sm.001lz5z5vkv4e1t4cx4q3xlk4dv4o - Horizon Europe - EIT Hub Israel - EIT Global Outreach Programme - Ecosystem Summit
eit294,"Some of the new emerging technologies mentioned in the text include artificial intelligence, raw materials mining, and consumer trust in the food system."
eit295,.-AgenT-Brain+-Ceresti Health-Combinostics Oy-Five Lives-ichó systems-Neurocast-nQ Medical-OptiChroniX-PeakProfiling
eit296,-Tricuspid regurgitation (TR)-Minimally invasive treatment-CroíValve Transcatheter Tricuspid DUO Coaptation Valve System
eit297,New emerging technologies mentioned in the text include:-EIT Manufacturing West-ACCIÓ-Catalan Government’s agency for business competitiveness-Belonging to the Ministry of Business and Employment-40 offices worldwide-7 regional offices in Catalonia-Building tomorrow’s company-EIT Manufacturing-Greener and more competitive manufacturing industry-Advanced Factories congress in Barcelona
eit298,The European Institute of Innovation and Technology (EIT)The EIT Global Outreach ProgrammeThe EIT Model
eit299,"1. ProVerum's ProVee device for treating symptomatic benign prostatic hyperplasia (BPH) 2. EIT Health's support for ProVerum in the form of funding, market validation, and opportunities 3. The potential for ProVee to significantly improve care and outcomes for those with BPH"
eit300,".EIT Climate-KIC’s Deep Demonstration concept, the Stockholm Resilience Centre, Stockholm University, the Nordic Council of Ministers."
eit301,New emerging technologies:-The European Institute of Innovation and Technology (EIT)-The European Union Intellectual Property Office (EUIPO)
eit302,1. CONTAI SpotVessels GmbH2. Alterkraft Last Mile Team S.L.3. PEOPLE
eit303,"Some of the new technologies that are mentioned in the text include:-Green transition through architectural, cultural and historic sites-Towards circularity and urban resilience-Ensuring affordability and accessibility to all"
eit304," and their technology on their website.Breakthrough Device Designation, Intermittent Colonic Exoperistalsis, Centers for Medicare & Medicaid Services"
eit305," Aquaculture Academy was presented by Laura Krishfield, Senior Research Associate at Lux Research. This project is developing an online course to educate the next generation of aquaculture entrepreneurs and innovators. Aquapreneur was presented by Iris Papadaki, Project Manager at Blue Growth. This project is developing an online entrepreneurship course to train young people in the entrepreneurial skills required to start their own aquaculture business. blockchain technology, extended shelf life, food waste, low carbon and zero waste ingredients, animal welfare, online courses"
eit306,": EIT Climate-KIC (coordinator), Aalto University, City of Amsterdam, City of Antwerp, City of Barcelona, City of Belgrade, City of Birmingham, City of Bologna, City of Bordeaux, City of Bristol, City of Brussels, City of Bucharest, City of Budapest, City of Copenhagen, City of Dublin, City of Florence, City of Ghent, City of Helsinki, City of Istanbul, City of Lausanne, City of Lisbon, City of Ljubljana, City of London, City of Madrid, City of Manchester, City of Milan, City of Munich, City of Oslo, City of Paris, City of Porto, City of Rotterdam, City of Sevilla, City of Stockholm, City of Vienna, City of Warsaw, City of Zurich, Climate-KIC Netherlands, Climate-KIC UK, Climate-KIC Germany, Climate-KIC Italy, Climate-KIC Spain, Climate-KIC Sweden, EIT Climate-KIC, EIT Urban Mobility, ICLEI European Secretariat, ICLEI Local Governments for Sustainability, ITABHI, Polis, The Climate Group, The European Committee of the Regions,"
eit307,"The EIT Health Wild Card programme is part of our open innovation offering, which provides the opportunity for teams and individuals including innovators, medical professionals, and entrepreneurs from all walks of life to come together and solve pressing health challenges.-EIT Health Wild Card programme-artificial intelligence device-natural therapeutic contact lens"
eit308,"AMEN New Technologies, E-Vision, Waste Ukraine Analytics"
eit309,-Sustainable Urban Mobility Plans (SUMP)-Zero emission logistics-Micro-mobility devices
eit310, until 31 December 2021 at the latest.New technologies:1. Online application: Applicants must fill in the application until 31 December 20212. First screening phase: The course team will do the first assessment of your application until 31 January 20223. Pitching contest: The best 5-10 ideas (depending on how many were submitted) will pitch their idea to the panel composed of experts from EIT RawMaterials and from the industry. Date to be announced
eit311,-EIT-EIC Accelerator-Horizon Europe-H2020
eit312,: http://eo4geo.eu/publications/
eit313," and its activities by visiting the official website.Critical raw materials, advanced materials, industrial processing know-how, the circular economy"
eit314,"Artificial Intelligence (AI), the Regional Innovation Scheme (RIS), HelloAI, HelloAI Professional, healthcare, medical, students, university, education, programme, technology, content, speakers, implementation, field"
eit315,-EIT Manufacturing’s EVO-R project-Regional Innovation Scheme RIS countries-EUR 30.000-EIT Manufacturing Summit 2021-EVO-R RIS Activity
eit316,"regenerative agriculture, uniform nutrition and labelling guidelines, true cost of food policy, biobased materials"
eit317,"!IoT, AI, deep learning, VR, AR"
eit318,"Digital therapists, SwitHome, EIT Health, SwitHome, Bridgehead, Virta Health, Kry"
eit319, website.-transboundary cooperation-education-youth mobilisation-democratisation of climate action-modeling and forecasting the impacts of climate change-development of insurance scheme for the forest ecosystem-sustainable management of tourist flows-mitigation strategies-warning systems-skills and capacity building
eit320,".EIT Health, Bridgehead programme, European and global markets, mental health, emergency medicine, eye and vision care, soft tissue repair, surgical techniques, medical instruments, digital speech therapy, speech therapy, medical adhesives, skin-interfacing medical devices, electroencephalogram, brain sensing devices, human behaviour research, health, neurotechnology, ophthalmology, cataract surgery, radiology information system, picture archiving and communications system, virtual reality, medical hypnosis, telemedicine, remote patient engagement, mobile solutions, chronic respiratory patients, chronic diseases, neonatal intensive care units, haptic smart bands, smartwatch, automated turning mattress, cancer treatment."
eit321,!-rare earth magnets-electric mobility-communications technology-fuel cells-electrolysers-battery materials-alternative energy storage-solar energy
eit322,-EIT Climate-KIC-Laudes Foundation's Built by Nature-Materials Economics-Deep Demonstration methodology-circularity principles-bio-based materials
eit323, -EIT HEI Initiative-EIT Community-Higher Education Institutions
eit324,"New technologies: cutting-edge technology, new cutting-edge technology"
eit325,".-EIT Digital Venture Program 2021-pre-acceleration program-Minimum Viable Product (MVP)-Pitch Days-EUR 10,000 each-EUR 15,000 each-EUR 50,000-EIT Digital Venture Program- Revolab-Kilo Health-Restpay-Worig-Kiimo-Roster-Ruupi-Sensomatt"
eit326,1. climate adaptation 2. climate resilience 3. decarbonisation 4. electrification of public transport 5. renewable energy
eit327,: https://unfccc.int/news/un-climate-change-launches-digital-global-innovation-hub-to-drive-ambitious-climate-action
eit328, and eligibility criteria.-inclusive systems innovation-alternative proteins-circular food systems-digital traceability-sustainable agriculture-sustainable aquaculture-targeted nutrition
eit329,".Data integration and management, as well as safety performance and innovations of the micromobility sector."
eit330, to join the event.New emerging technologies mentioned in the text include the European Health Data Space (EHDS) and real-world healthcare innovations.
eit331,.-The EIT Regional Innovation Scheme -The EIT Community New European Bauhaus -The EIT Girls Go Circular programme -ENTREMO
eit332,"sugar-out, prote-in, foodunfolded, phenoliva, precision farming"
eit333, Guidelines-CCSI-EIT
eit334,".EIT, European Commission, EIT Funding Model, Financial Sustainability, Governance Principles, EIT Grant Lifecycle, Impact Framework, Regional Innovation Scheme"
eit335,.-home blood test kits-a platform to keep track of users’ overall physical wellbeing-complete blood count (CBC)-glucose level-thyroid panels-STD tests-enzyme markers-machine learning
eit336,.-Making Connections platform-EIT Health communications team-Association Excellence Awards
eit337,"1. The European Institute of Innovation and Technology (EIT) 2. The 'EIT Community Booster - Scaling New European Bauhaus Ventures.' 3. The New European Bauhaus (NEB) 4. The venture booster 5. The EIT Community programme 6. The New EIT Community Booster 7. The EIT's Knowledge and Innovation Communities network 8. The Commissioner for Innovation, Research, Culture, Education and Youth 9. The Commissioner for Cohesion and Reforms 10. The Chair of the EIT Governing Board 11. The EIT Community 12. The joint EIT Community New European Bauhaus initiative 13. The EIT Innovation Community New European Bauhaus initiative 14. The Climathon"
eit338," here.Some of the new emerging technologies that are mentioned in the text include:-The Venture Centre of Excellence (VCoE)-EUR 1.7 billion available to support investment in life sciences in Europe-The VCoE members will continue to grow over the coming months to reach its full size, namely 15-20 selected VC funds and 15-20 corporates, representing a broad portfolio of over 200 SMEs across life sciences including therapeutics, med-tech, digital health, and diagnostics.-Through the VCoE, members join an exclusive community of selected venture capital funds and private investors thereby boosting the flow of investment directed towards European life science start-ups, SMEs, and Small Mid-Caps by matching fund managers with pharma corporates and other interested strategic investors.-The VCoE addresses the specific interest of its members to access open innovation, by increasing their co-investment capabilities and opportunities for strategic collaborations in highly innovative European life science start-ups."
eit339,.New emerging technologies:1. Online community engagement2. Photo assignment3. Questionnaire4. Short poll5. Live focus group session
eit340,".EIT Health RIS, EIT Health InnoStars, the European Institute of Innovation and Technology (EIT), Emerging Europe Awards, Central and Eastern European NGOs, businesses, the United Nations Sustainable Development Goals (People, Planet, Prosperity, Partnership, Peace), artificial intelligence, new technologies, innovation"
eit341," EIT Climate-KIC (Coordinator), City of Amsterdam, City of Antwerp, City of Barcelona, City of Belgrade, City of Birmingham, City of Bologna, City of Bonn, City of Bordeaux, City of Bristol, City of Brussels, City of Bucharest, City of Copenhagen, City of Dublin, City of Frankfurt, City of Geneva, City of Ghent, City of Glasgow, City of Helsinki, City of Lappeenranta, City of Lisbon, City of Madrid, City of Malmö, City of Manchester, City of Milan, City of Munich, City of Oslo, City of Paris, City of Rotterdam, City of Stockholm, City of Stuttgart, City of Vienna, City of Warsaw, City of Zurich, Climate-KIC Netherlands, Climate-KIC UK, Climate-KIC Germany, Climate-KIC Austria, Climate-KIC Switzerland, Climate-KIC Italy, Climate-KIC Spain, Climate-KIC Romania, Climate-KIC Denmark, Climate-KIC Sweden-NetZeroCities project -EIT Climate-KIC -Horizon Europe Framework Programme -Paris Agreement -European"
eit342, on Rare Earth Magnets and Motors.1. electric motors 2. wind power 3. electric mobility 4. communications technology 5. rare earth permanent magnets 6. solar power 7. hydrogen fuel cells 8. alternative energy storage and conversion systems
eit343, - The EIT Food Webinar - The EIT Food Challenge - The EIT Food Hackathon - The EIT Food Startup Bootcamp
eit344,"EIT Manufacturing, EFFRA, European Factories of the Future Research Association, digital future, green future, climate-neutral, sustainable, circular economy, digital"
eit345, 09:30 Welcome and introduction by EIT RawMaterials 09:45 The EIT RIS strategy 2021 – 2027: How to increase the EIT Community’s regional impact 10:00 The EIT RawMaterials Hub – Regional Center Southern Spain: Objectives and activities 10:15 The EIT RawMaterials Innovation Community in Spain 10:30 The EIT RawMaterials Innovation Community in Andalusia: Present and future 10:45 Coffee break and networking 11:15 Building an ecosystem for innovation in Andalusia: The role of the EIT RawMaterials Hub – Regional Center Southern Spain 11:30 The Andalusian mining sector and the EIT RawMaterials Innovation Community 11:45 The EIT RawMaterials Innovation Community in Extremadura: Present and future 12:00 The EIT RawMaterials Innovation Community in Murcia: Present and future 12:15 Closing remarks 12:30 End of the event1. EIT RawMaterials Hub – Regional Center Southern Spain 2. Andalusian mining sector 3. Extremadura 4. Murcia
eit346," (Germany) - highly converting and compliant remote Identity Verification solution using Robo-Ident, an AI-powered, patent-pending technology.blockchain technology, artificial intelligence,"
eit347,"Digital technologies, environmental technologies, deep technologies, education, skills"
eit348,"EIT, European Institute of Innovation and Technology, EIT Community Hub, Infopark, Budapest, Hungary, Central and Eastern Europe, European Union, SMEs, entrepreneurs, healthcare, climate, urban mobility, raw materials, Martin Kern, EIT Director, EIT Health, EIT Climate-KIC, EIT Raw Materials, EIT Urban Mobility, InnoStars, Balázs Zoltán Fürjes, EIT Health InnoStars Director, Semmelweis University, University of Debrecen, MOL, GE Healthcare, Ericsson, Nokia"
eit349," for the position: EIT Food RIS Consumer Engagement Labs Application FormThe new deadline for applications: 20 September 2021, 3 PM. CEST."
eit350, here.
eit351, to read more.EIT Regional Innovation Scheme (EIT RIS)
eit352,Some of the technologies that are emerging from the EIT include:- renewable energy- energy storage- smart grids- electric vehicles- digital health- big data
eit353,.EIT Food RIS Policy CouncilEIT Food Government Executive AcademyEIT Food Awareness EventsDemo Dayscross-KIC Events
eit354,-global warming -carbon dioxide -greenhouse gas emissions -climate change -extreme weather -floods -wildfires -heatwaves -droughts -tropical cyclones -snow cover -permafrost -ocean acidification
eit355,-improved irrigation methods and infrastructures -resilient crops and crop management techniques -leakage reduction -usage prediction -pollutants detection and monitoring
eit356," DocuMental has also been successful in other calls and competitions, such as the European Social Innovation Competition in 2019."
eit357," here.Smartphones, mobile navigation apps, ride-sharing, e-scooters"
eit358," here.Some of the new emerging technologies mentioned in the text are: social media platforms such as TikTok and Instagram, food delivery services such as Uber Eats and Deliveroo, and new ways of tracking food intake such as counting calories and macros."
eit359,": https://www.eithealth.eu/case/preventing-type-2-diabetes-health-impact-bond/-The health bond scheme-The Health Impact Bond-The EIT Health Project-The spinout company, Health Integrator"
eit360,.-new climate technologies-carbon capture solutions-EIT Climate-KIC ClimAccelerator
eit361,.-Longenesis-EIT Health-Insilico Medicine-EUR 1million seed funding round-digitalisation of biomedical research-digital tools-Biotech industry-unlock the potential of biomedical data-accelerate the novel drug and treatment discovery-Riga-based start-up-EIT Health Headstart programme-EUR40 000-Inês Matias-EIT Health InnoStars-COVID-19 research-Longenesis Curator-Longenesis Engage-Longenesis Themis-Headstart programme
eit362,Digital Tech:1. AEye (United Kingdom) – Lidar technology2. AIBrain (France) – AI software3. BlueDot (United Kingdom) – AI software4. Celigo (Germany) – Data integration software5. Clevy (France) – AI-powered customer service6. Freenome (Belgium) – Early cancer detection7. Icertis (Germany) – Contract management software8. Mews (Czech Republic) – Hotel operations software9. Neurobaton (Spain) – Brain-computer interface10. Sherpa (France) – AI softwareDigital Wellbeing:1. Aiforia (Finland) – Skin cancer treatment2. B2A (Poland) – Autism diagnosis3. Biomatters (Germany) – Food allergen detection4. Dacadoo (Switzerland) – Wellbeing assessment5. Genialis (Germany) – Cancer diagnosis6. Inveox (Germany) – Breast cancer diagnosis7. Marian (Poland) – Menopause treatment
eit363,"EIT Urban Mobility, MUV, gamified experience, active and sustainable mobility, environmentally friendly commuting, physical and mental health, team-based dynamic gameplay, private car, garage, more sustainable way of commuting, points, register the trip, app, traffic, conscious choices, leader board, top performers, Active Mobility, MUV"
eit364, in the first callSome of the new emerging technologies mentioned in the text are:-The European Institute of Innovation and Technology (EIT)-The EIT's HEI Initiative: Innovation Capacity Building for Higher Education Pilot Call for Proposals-The EIT's innovation ecosystem-The Pilot Call for Proposals
eit365, here.-EIT Climate-KIC-ClimateLaunchpad-renewable energy-sustainable food transition-urban mobility
eit366, and how to join.AGORA
