,reference-count,publisher,short-container-title,DOI,type,is-referenced-by-count,title,container-title,other_links,score,URL,subject,pdf_link,other_links
arxiv13,19,Elsevier BV,Automatica,10.1016/j.automatica.2021.109678,journal-article,6,Cooperative extended state observer based control of vehicle platoons with arbitrarily small time headway,Automatica,"https://api.elsevier.com/content/article/PII:S0005109821001989?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0005109821001989?httpAccept=text/plain",UNKNOWN,http://dx.doi.org/10.1016/j.automatica.2021.109678,Electrical and Electronic EngineeringControl and Systems Engineering,UNKNOWN,"https://api.elsevier.com/content/article/PII:S0005109821001989?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0005109821001989?httpAccept=text/plain"
arxiv14,36,IEEE,UNKNOWN,10.1109/icraie47735.2019.9037761,proceedings-article,6,Benchmarking LiDAR Sensors for Development and Evaluation of Automotive Perception,2019 4th International Conference and Workshops on Recent Advances and Innovations in Engineering (ICRAIE),http://xplorestaging.ieee.org/ielx7/9034196/9037641/09037761.pdf?arnumber=9037761,UNKNOWN,http://dx.doi.org/10.1109/icraie47735.2019.9037761,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9034196/9037641/09037761.pdf?arnumber=9037761
arxiv15,152,Elsevier BV,Computer Networks,10.1016/j.comnet.2020.107451,journal-article,51,"A survey on cellular-connected UAVs: Design challenges, enabling 5G/B5G innovations, and experimental advancements",Computer Networks,"https://api.elsevier.com/content/article/PII:S1389128620311324?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S1389128620311324?httpAccept=text/plain",UNKNOWN,http://dx.doi.org/10.1016/j.comnet.2020.107451,Computer Networks and Communications,UNKNOWN,"https://api.elsevier.com/content/article/PII:S1389128620311324?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S1389128620311324?httpAccept=text/plain"
arxiv16,17,IEEE,UNKNOWN,10.1109/pimrc48278.2020.9217109,proceedings-article,7,Improving Spatio-Temporal Understanding of Particulate Matter using Low-Cost IoT Sensors,"2020 IEEE 31st Annual International Symposium on Personal, Indoor and Mobile Radio Communications",http://xplorestaging.ieee.org/ielx7/9210501/9217048/09217109.pdf?arnumber=9217109,UNKNOWN,http://dx.doi.org/10.1109/pimrc48278.2020.9217109,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9210501/9217048/09217109.pdf?arnumber=9217109
arxiv19,50,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Commun.,10.1109/tcomm.2021.3064968,journal-article,6,Ruin Theory for Energy-Efficient Resource Allocation in UAV-Assisted Cellular Networks,IEEE Transactions on Communications,http://xplorestaging.ieee.org/ielx7/26/9456768/09373545.pdf?arnumber=9373545,UNKNOWN,http://dx.doi.org/10.1109/tcomm.2021.3064968,Electrical and Electronic Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/26/9456768/09373545.pdf?arnumber=9373545
arxiv20,38,IEEE,UNKNOWN,10.1109/smartcomp50058.2020.00064,proceedings-article,2,CNN-based Speed Detection Algorithm for Walking and Running using Wrist-worn Wearable Sensors,2020 IEEE International Conference on Smart Computing (SMARTCOMP),http://xplorestaging.ieee.org/ielx7/9239414/9239608/09239671.pdf?arnumber=9239671,UNKNOWN,http://dx.doi.org/10.1109/smartcomp50058.2020.00064,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9239414/9239608/09239671.pdf?arnumber=9239671
arxiv21,36,IEEE,UNKNOWN,10.1109/itsc.2019.8917520,proceedings-article,2,Vulnerable Road User Detection Using Smartphone Sensors and Recurrence Quantification Analysis,2019 IEEE Intelligent Transportation Systems Conference (ITSC),http://xplorestaging.ieee.org/ielx7/8907344/8916833/08917520.pdf?arnumber=8917520,UNKNOWN,http://dx.doi.org/10.1109/itsc.2019.8917520,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/8907344/8916833/08917520.pdf?arnumber=8917520
arxiv22,67,Frontiers Media SA,Front. Neurosci.,10.3389/fnins.2021.699632,journal-article,2,Emulation of Astrocyte Induced Neural Phase Synchrony in Spin-Orbit Torque Oscillator Neurons,Frontiers in Neuroscience,https://www.frontiersin.org/articles/10.3389/fnins.2021.699632/full,UNKNOWN,http://dx.doi.org/10.3389/fnins.2021.699632,General Neuroscience,UNKNOWN,https://www.frontiersin.org/articles/10.3389/fnins.2021.699632/full
arxiv23,49,Wiley,Angew. Chem.,10.1002/ange.201914564,journal-article,15,Intracellular Electrochemical Nanomeasurements Reveal that Exocytosis of Molecules at Living Neurons is Subquantal and Complex,Angewandte Chemie,"https://onlinelibrary.wiley.com/doi/full-xml/10.1002/ange.201914564,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.201914564",UNKNOWN,http://dx.doi.org/10.1002/ange.201914564,General Medicine,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.201914564,"https://onlinelibrary.wiley.com/doi/full-xml/10.1002/ange.201914564,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.201914564"
arxiv24,45,IEEE,UNKNOWN,10.1109/icpr48806.2021.9413241,proceedings-article,18,"Real-Time Drone Detection and Tracking With Visible, Thermal and Acoustic Sensors",2020 25th International Conference on Pattern Recognition (ICPR),http://xplorestaging.ieee.org/ielx7/9411940/9411911/09413241.pdf?arnumber=9413241,UNKNOWN,http://dx.doi.org/10.1109/icpr48806.2021.9413241,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9411940/9411911/09413241.pdf?arnumber=9413241
arxiv25,16,Institute of Electrical and Electronics Engineers (IEEE),IEEE Wireless Commun. Lett.,10.1109/lwc.2020.3012552,journal-article,8,Hover or Perch: Comparing Capacity of Airborne and Landed Millimeter-Wave UAV Cells,IEEE Wireless Communications Letters,http://xplorestaging.ieee.org/ielx7/5962382/9286940/09151242.pdf?arnumber=9151242,UNKNOWN,http://dx.doi.org/10.1109/lwc.2020.3012552,Electrical and Electronic EngineeringControl and Systems Engineering,https://ieeexplore.ieee.org/ielam/5962382/9286940/9151242-aam.pdf,http://xplorestaging.ieee.org/ielx7/5962382/9286940/09151242.pdf?arnumber=9151242
arxiv30,49,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. on Mobile Comput.,10.1109/tmc.2020.3019106,journal-article,7,The Coverage Overlapping Problem of Serving Arbitrary Crowds in 3D Drone Cellular Networks,IEEE Transactions on Mobile Computing,http://xplorestaging.ieee.org/ielx7/7755/9702899/09177297.pdf?arnumber=9177297,UNKNOWN,http://dx.doi.org/10.1109/tmc.2020.3019106,Electrical and Electronic EngineeringComputer Networks and CommunicationsSoftware,https://ieeexplore.ieee.org/ielam/7755/9702899/9177297-aam.pdf,http://xplorestaging.ieee.org/ielx7/7755/9702899/09177297.pdf?arnumber=9177297
arxiv31,24,IEEE,UNKNOWN,10.1109/bigmm.2019.00026,proceedings-article,12,Multidomain Multimodal Fusion for Human Action Recognition Using Inertial Sensors,2019 IEEE Fifth International Conference on Multimedia Big Data (BigMM),http://xplorestaging.ieee.org/ielx7/8910138/8919254/08919410.pdf?arnumber=8919410,UNKNOWN,http://dx.doi.org/10.1109/bigmm.2019.00026,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/8910138/8919254/08919410.pdf?arnumber=8919410
arxiv32,16,IEEE,UNKNOWN,10.1109/globecom42002.2020.9322349,proceedings-article,7,Federated Learning for Cellular-Connected UAVs: Radio Mapping and Path Planning,GLOBECOM 2020 - 2020 IEEE Global Communications Conference,http://xplorestaging.ieee.org/ielx7/9322055/9321973/09322349.pdf?arnumber=9322349,UNKNOWN,http://dx.doi.org/10.1109/globecom42002.2020.9322349,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9322055/9321973/09322349.pdf?arnumber=9322349
arxiv35,51,Springer International Publishing,UNKNOWN,10.1007/978-3-030-40223-5_19,book-chapter,1,Indoor Localization Techniques Within a Home Monitoring Platform,Communications in Computer and Information ScienceEvaluation of Novel Approaches to Software Engineering,http://link.springer.com/content/pdf/10.1007/978-3-030-40223-5_19,UNKNOWN,http://dx.doi.org/10.1007/978-3-030-40223-5_19,UNKNOWN,UNKNOWN,http://link.springer.com/content/pdf/10.1007/978-3-030-40223-5_19
arxiv37,33,Frontiers Media SA,Front. Bioinform.,10.3389/fbinf.2021.653054,journal-article,0,Identification of Biomarkers Controlling Cell Fate In Blood Cell Development,Frontiers in Bioinformatics,https://www.frontiersin.org/articles/10.3389/fbinf.2021.653054/full,UNKNOWN,http://dx.doi.org/10.3389/fbinf.2021.653054,General Medicine,UNKNOWN,https://www.frontiersin.org/articles/10.3389/fbinf.2021.653054/full
arxiv38,33,Frontiers Media SA,Front. Bioinform.,10.3389/fbinf.2021.653054,journal-article,0,Identification of Biomarkers Controlling Cell Fate In Blood Cell Development,Frontiers in Bioinformatics,https://www.frontiersin.org/articles/10.3389/fbinf.2021.653054/full,UNKNOWN,http://dx.doi.org/10.3389/fbinf.2021.653054,General Medicine,UNKNOWN,https://www.frontiersin.org/articles/10.3389/fbinf.2021.653054/full
arxiv39,67,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Intell. Transport. Syst.,10.1109/tits.2021.3104786,journal-article,0,Reducing Operation Cost of LPWAN Roadside Sensors Using Cross Technology Communication,IEEE Transactions on Intelligent Transportation Systems,http://xplorestaging.ieee.org/ielx7/6979/9853713/09517037.pdf?arnumber=9517037,UNKNOWN,http://dx.doi.org/10.1109/tits.2021.3104786,Computer Science ApplicationsMechanical EngineeringAutomotive Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/6979/9853713/09517037.pdf?arnumber=9517037
arxiv41,0,Institute of Navigation,UNKNOWN,10.33012/2020.17589,proceedings-article,9,Integrity-Based Path Planning Strategy for Urban Autonomous Vehicular Navigation Using GPS and Cellular Signals,"Proceedings of the 33rd International Technical Meeting of the Satellite Division of The Institute of Navigation (ION GNSS+ 2020)ION GNSS+, The International Technical Meeting of the Satellite Division of The Institute of Navigation",UNKNOWN,UNKNOWN,http://dx.doi.org/10.33012/2020.17589,UNKNOWN,UNKNOWN,UNKNOWN
arxiv44,0,Journal of LatinX in AI Research,UNKNOWN,10.52591/lxai2020121211,proceedings-article,0,Self-Supervised Transformers for Activity Classification using Ambient Sensors,LatinX in AI at Neural Information Processing Systems Conference 2020,UNKNOWN,UNKNOWN,http://dx.doi.org/10.52591/lxai2020121211,UNKNOWN,UNKNOWN,UNKNOWN
arxiv46,13,Springer International Publishing,UNKNOWN,10.1007/978-3-030-68790-8_7,book-chapter,0,Pain Intensity Assessment in Sickle Cell Disease Patients Using Vital Signs During Hospital Visits,Pattern Recognition. ICPR International Workshops and ChallengesLecture Notes in Computer Science,http://link.springer.com/content/pdf/10.1007/978-3-030-68790-8_7,UNKNOWN,http://dx.doi.org/10.1007/978-3-030-68790-8_7,UNKNOWN,UNKNOWN,http://link.springer.com/content/pdf/10.1007/978-3-030-68790-8_7
arxiv48,15,Institute of Electrical and Electronics Engineers (IEEE),IEEE Wireless Commun. Lett.,10.1109/lwc.2021.3076415,journal-article,6,Real-Time Video Streaming and Control of Cellular-Connected UAV System: Prototype and Performance Evaluation,IEEE Wireless Communications Letters,http://xplorestaging.ieee.org/ielx7/5962382/9508469/09417100.pdf?arnumber=9417100,UNKNOWN,http://dx.doi.org/10.1109/lwc.2021.3076415,Electrical and Electronic EngineeringControl and Systems Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/5962382/9508469/09417100.pdf?arnumber=9417100
arxiv52,0,Academy and Industry Research Collaboration Center (AIRCC),IJCSIT,10.5121/ijcsit.2021.13104,journal-article,0,Real Time Vigilance Detection using Frontal EEG,International Journal of Computer Science and Information Technology,UNKNOWN,UNKNOWN,http://dx.doi.org/10.5121/ijcsit.2021.13104,General Medicine,UNKNOWN,UNKNOWN
arxiv53,46,IEEE,UNKNOWN,10.1109/cdc45484.2021.9683219,proceedings-article,4,"A Nonlinear Observability Analysis of Ambient Wind Estimation with Uncalibrated Sensors, Inspired by Insect Neural Encoding",2021 60th IEEE Conference on Decision and Control (CDC),http://xplorestaging.ieee.org/ielx7/9682670/9682776/09683219.pdf?arnumber=9683219,UNKNOWN,http://dx.doi.org/10.1109/cdc45484.2021.9683219,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9682670/9682776/09683219.pdf?arnumber=9683219
arxiv54,13,Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci. U.S.A.,10.1073/pnas.2111164118,journal-article,5,The promise of energy-efficient battery-powered urban aircraft,Proceedings of the National Academy of Sciences,"http://www.pnas.org/syndication/doi/10.1073/pnas.2111164118,https://pnas.org/doi/pdf/10.1073/pnas.2111164118",UNKNOWN,http://dx.doi.org/10.1073/pnas.2111164118,Multidisciplinary,UNKNOWN,"http://www.pnas.org/syndication/doi/10.1073/pnas.2111164118,https://pnas.org/doi/pdf/10.1073/pnas.2111164118"
arxiv55,13,Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci. U.S.A.,10.1073/pnas.2111164118,journal-article,5,The promise of energy-efficient battery-powered urban aircraft,Proceedings of the National Academy of Sciences,"http://www.pnas.org/syndication/doi/10.1073/pnas.2111164118,https://pnas.org/doi/pdf/10.1073/pnas.2111164118",UNKNOWN,http://dx.doi.org/10.1073/pnas.2111164118,Multidisciplinary,UNKNOWN,"http://www.pnas.org/syndication/doi/10.1073/pnas.2111164118,https://pnas.org/doi/pdf/10.1073/pnas.2111164118"
arxiv56,36,Elsevier BV,Journal of the Franklin Institute,10.1016/j.jfranklin.2022.05.035,journal-article,0,Adaptive smooth disturbance observer-based fast finite-time attitude tracking control of a small unmanned helicopter,Journal of the Franklin Institute,"https://api.elsevier.com/content/article/PII:S0016003222003520?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0016003222003520?httpAccept=text/plain",UNKNOWN,http://dx.doi.org/10.1016/j.jfranklin.2022.05.035,Applied MathematicsComputer Networks and CommunicationsSignal ProcessingControl and Systems Engineering,UNKNOWN,"https://api.elsevier.com/content/article/PII:S0016003222003520?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0016003222003520?httpAccept=text/plain"
arxiv57,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Aerosp. Electron. Syst.,10.1109/taes.2023.3237994,journal-article,0,Base Station Antenna Uptilt Optimization for Cellular-Connected Drone Corridors,IEEE Transactions on Aerospace and Electronic Systems,http://xplorestaging.ieee.org/ielx7/7/7778228/10021675.pdf?arnumber=10021675,UNKNOWN,http://dx.doi.org/10.1109/taes.2023.3237994,Electrical and Electronic EngineeringAerospace Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/7/7778228/10021675.pdf?arnumber=10021675
arxiv59,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Geosci. Remote Sensing,10.1109/tgrs.2022.3211184,journal-article,1,Learning a Joint Embedding of Multiple Satellite Sensors: A Case Study for Lake Ice Monitoring,IEEE Transactions on Geoscience and Remote Sensing,http://xplorestaging.ieee.org/ielx7/36/9633014/09906117.pdf?arnumber=9906117,UNKNOWN,http://dx.doi.org/10.1109/tgrs.2022.3211184,General Earth and Planetary SciencesElectrical and Electronic Engineering,UNKNOWN,http://xplorestaging.ieee.org/ielx7/36/9633014/09906117.pdf?arnumber=9906117
arxiv61,6,IEEE,UNKNOWN,10.1109/embc46164.2021.9630224,proceedings-article,5,Personalized Stress Monitoring using Wearable Sensors in Everyday Settings,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),http://xplorestaging.ieee.org/ielx7/9629355/9629471/09630224.pdf?arnumber=9630224,UNKNOWN,http://dx.doi.org/10.1109/embc46164.2021.9630224,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9629355/9629471/09630224.pdf?arnumber=9630224
arxiv62,38,American Association for the Advancement of Science (AAAS),Sci. Robot.,10.1126/scirobotics.abh1221,journal-article,38,Time-optimal planning for quadrotor waypoint flight,Science Robotics,"https://syndication.highwire.org/content/doi/10.1126/scirobotics.abh1221,https://syndication.highwire.org/content/doi/10.1126/scirobotics.abh1221",UNKNOWN,http://dx.doi.org/10.1126/scirobotics.abh1221,Artificial IntelligenceControl and OptimizationComputer Science ApplicationsMechanical Engineering,UNKNOWN,"https://syndication.highwire.org/content/doi/10.1126/scirobotics.abh1221,https://syndication.highwire.org/content/doi/10.1126/scirobotics.abh1221"
arxiv63,0,International Telecommunication Union,ITU-J FET,10.52953/left7402,journal-article,1,Ensuring reliable connectivity to cellular-connected UAVs with up-tilted antennas and interference coordination,ITU Journal on Future and Evolving Technologies,UNKNOWN,UNKNOWN,http://dx.doi.org/10.52953/left7402,UNKNOWN,UNKNOWN,UNKNOWN
arxiv64,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. on Mobile Comput.,10.1109/tmc.2022.3171312,journal-article,0,SALIENCE: An Unsupervised User Adaptation Model for Multiple Wearable Sensors Based Human Activity Recognition,IEEE Transactions on Mobile Computing,http://xplorestaging.ieee.org/ielx7/7755/4358975/09765741.pdf?arnumber=9765741,UNKNOWN,http://dx.doi.org/10.1109/tmc.2022.3171312,Electrical and Electronic EngineeringComputer Networks and CommunicationsSoftware,UNKNOWN,http://xplorestaging.ieee.org/ielx7/7755/4358975/09765741.pdf?arnumber=9765741
arxiv65,16,IEEE,UNKNOWN,10.1109/vtc2021-fall52928.2021.9625502,proceedings-article,0,Deep Reinforcement Learning for Dynamic Band Switch in Cellular-Connected UAV,2021 IEEE 94th Vehicular Technology Conference (VTC2021-Fall),http://xplorestaging.ieee.org/ielx7/9624467/9625043/09625502.pdf?arnumber=9625502,UNKNOWN,http://dx.doi.org/10.1109/vtc2021-fall52928.2021.9625502,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9624467/9625043/09625502.pdf?arnumber=9625502
arxiv66,42,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Wireless Commun.,10.1109/twc.2022.3162749,journal-article,1,Path Planning for Cellular-Connected UAV: A DRL Solution With Quantum-Inspired Experience Replay,IEEE Transactions on Wireless Communications,http://xplorestaging.ieee.org/ielx7/7693/9915540/09748970.pdf?arnumber=9748970,UNKNOWN,http://dx.doi.org/10.1109/twc.2022.3162749,Applied MathematicsElectrical and Electronic EngineeringComputer Science Applications,UNKNOWN,http://xplorestaging.ieee.org/ielx7/7693/9915540/09748970.pdf?arnumber=9748970
arxiv67,18,Institute of Electrical and Electronics Engineers (IEEE),IEEE Commun. Lett.,10.1109/lcomm.2021.3140072,journal-article,1,Horizontal and Vertical Collaboration for VR Delivery in MEC-Enabled Small-Cell Networks,IEEE Communications Letters,http://xplorestaging.ieee.org/ielx7/4234/9731525/09667509.pdf?arnumber=9667509,UNKNOWN,http://dx.doi.org/10.1109/lcomm.2021.3140072,Electrical and Electronic EngineeringComputer Science ApplicationsModeling and Simulation,UNKNOWN,http://xplorestaging.ieee.org/ielx7/4234/9731525/09667509.pdf?arnumber=9667509
arxiv68,12,IEEE,UNKNOWN,10.1109/embc46164.2021.9630491,proceedings-article,1,A Bottom-up method Towards the Automatic and Objective Monitoring of Smoking Behavior In-the-wild using Wrist-mounted Inertial Sensors,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),http://xplorestaging.ieee.org/ielx7/9629355/9629471/09630491.pdf?arnumber=9630491,UNKNOWN,http://dx.doi.org/10.1109/embc46164.2021.9630491,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9629355/9629471/09630491.pdf?arnumber=9630491
arxiv69,27,IEEE,UNKNOWN,10.1109/itsc48978.2021.9564822,proceedings-article,2,Optimal Placement of Roadside Infrastructure Sensors towards Safer Autonomous Vehicle Deployments,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),http://xplorestaging.ieee.org/ielx7/9564393/9564395/09564822.pdf?arnumber=9564822,UNKNOWN,http://dx.doi.org/10.1109/itsc48978.2021.9564822,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9564393/9564395/09564822.pdf?arnumber=9564822
arxiv71,16,IEEE,UNKNOWN,10.1109/icc45855.2022.9838809,proceedings-article,1,Multi-Agent Deep Reinforcement Learning For Optimising Energy Efficiency of Fixed-Wing UAV Cellular Access Points,ICC 2022 - IEEE International Conference on Communications,http://xplorestaging.ieee.org/ielx7/9837954/9838246/09838809.pdf?arnumber=9838809,UNKNOWN,http://dx.doi.org/10.1109/icc45855.2022.9838809,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9837954/9838246/09838809.pdf?arnumber=9838809
arxiv72,9,Springer Fachmedien Wiesbaden,UNKNOWN,10.1007/978-3-658-36932-3_48,book-chapter,0,First Steps on Gamification of Lung Fluid Cells Annotations in the Flower Domain,Informatik aktuellBildverarbeitung für die Medizin 2022,https://link.springer.com/content/pdf/10.1007/978-3-658-36932-3_48,UNKNOWN,http://dx.doi.org/10.1007/978-3-658-36932-3_48,UNKNOWN,UNKNOWN,https://link.springer.com/content/pdf/10.1007/978-3-658-36932-3_48
arxiv73,113,MDPI AG,Sensors,10.3390/s21186037,journal-article,33,"A Survey of Human Activity Recognition in Smart Homes Based on IoT Sensors Algorithms: Taxonomies, Challenges, and Opportunities with Deep Learning",Sensors,https://www.mdpi.com/1424-8220/21/18/6037/pdf,UNKNOWN,http://dx.doi.org/10.3390/s21186037,"Electrical and Electronic EngineeringBiochemistryInstrumentationAtomic and Molecular Physics, and OpticsAnalytical Chemistry",UNKNOWN,https://www.mdpi.com/1424-8220/21/18/6037/pdf
arxiv74,27,IEEE,UNKNOWN,10.1109/icc45855.2022.9839125,proceedings-article,0,Drone delivery: Reliable Cellular UAV Communication Using Multi-Operator Diversity,ICC 2022 - IEEE International Conference on Communications,http://xplorestaging.ieee.org/ielx7/9837954/9838246/09839125.pdf?arnumber=9839125,UNKNOWN,http://dx.doi.org/10.1109/icc45855.2022.9839125,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9837954/9838246/09839125.pdf?arnumber=9839125
