,commercialization
Lithium-air battery,97
Lithium-sulfur battery,172
Magnesium battery,62
Microbial electrolysis cell,1
Microreactor,126
Mini Bioreactors,8
Modular Reactors,777
Molten salt reactor,313
Nanocharging Solar,0
Nanowire battery,64
Ocean thermal energy conversion,364
Oil detection,98179
Optical rectenna,17
Organic solar cell,116
Perovskite solar cell,328
Power-to-X,59
Proton Battery,24
Quantum dot solar cell,9
second-generation biofuels,2762
Smart grid,19646
Sodium-cooled fast reactor,22
Space-based solar power,191
Supercapacitor,2576
Supercritical water reactor,0
Third-generation biofuels,403
Thorium fuel cycle,18
Triboelectric Nanogenerator,28
Virtual power Plant,1133
Vortex engine,12
Wireless power transfer,1497
Zero-energy building,307
Automated journalism,33
Foundation garment,2896
Haptic feedback systems,727
Wearable journalism,81753
Cryptocurrency,436432
Stablecoin,6679
Companion robot,1296
Cryonics,446
Extreme Life extension,31053
Suspended animation,524
5D DVD,31
5g,180346
6G,2345
Ambient intelligence,370
Artificial brain,101
Artificial general intelligence,245824
Atmospheric satellite,14
Automatic AI debugging,0
Cloud computing,290373
Compressive Sensing,38
Deep learning,23270
deep trench capacitor,1
Digital image processing,8368
Digital image segmentation,0
Distributed ledger,248214
DNA Computing,12
DNA digital data storage,33
Edge Computing,11231
Edge enhancement,3
Embedded systems in substrate,0
Exascale computing,461
Extreme ultraviolet lithography,1081
Facial recognition,39446
General-purpose computing on graphics processing units,224
GPT-4,17
Haptic technology,2532
Holographic data storage,66
Hyper CD-ROM,0
In-memory processing,1796
In-storage processing,15
Indoor positioning system,213
Internet of things,208267
Li-Fi,1681
Machine translation,1863
Machine vision,10609
Nanoradio,1
Natural Language Processing,9287
Neural Networks,6412
Neural-sensing headset,0
next gen web search,0
Open source model,429
Optical computing,207
Quantum algorithm,73
Quantum computing hardware,8962
Quantum cryptography,894
Semantic Web,751
Silicon laser for communication,0
Smartphone,536353
Spatial computing,385
Streaming television,15017
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,2767
Virtual reality applications,1416
Visible Light Communication,505
wi-fi 6,1728
wi-fi 7,30
AI Arbitration,1
Digital forensics tools,36
Document automation,783
Intelligent Knowledge Management,16
Aerogel,2958
Amorphous metal,243
Bioplastic,2009
Carbon nanotube,4667
Conductive polymer,435
Cryogenic treatment,14
Dynamic Armor,14
Eutectic system,3
Fast-ion Conductors,1
Fullerene,237
Gallium Nitride semiconductor,117
Graphene,14442
Graphene Oxide dough,854
High Entropy Alloys,33
Magnetic nanoparticles,171
Magnetorheological fluid,2
Metal foam,212
Metamaterial,637
Multi-function structure,0
Nanocrystal,1090
Nanotextured surface,4
Photonic Metamaterial,5
piezoelectric material adhesion,0
Programmable matter,20
Quantum dot,5572
Self-cleaning surfaces,66
Shape Memory Polymer,97
Shape-memory alloy,260
Silicene,79
Single Photon Source,34
Superalloy,1042
Superfluidity,17
Superlenses chips,0
Syntactic Materials,1
Time crystal,96
Zeolite,3076
Zero-friction coating,54
16K video resolution,0
Augmented reality,59827
Brain-computer interface,1526
Computer-generated imagery,444
Detecting fake news online automatically,0
e-Reader,4625
Extended Reality,771
hydrogen vehicle,347
Immersion (virtual reality),1740
Mixed Reality,8767
Video tracking,297
Virtual reality,99841
3D Bioprinting,1856
Anti-degenerative medicine,0
Apheresis,1771
Artificial womb,85
Bio Ink,11240
Biomimetic Nanocoagulation,0
Biosensor,3820
Breath analysis,345
Cancer biomarker,400
Capsule endoscopy,600
Cortical implant,2
De-extinction,103
DNA-templated organic synthesis,0
Drug-eluting stent,797
Electroanalgesia,7
Electronic nose,296
Head transplant,148
Intelligent toilet,221
Jet injector,72
Lab-on-a-chip,1094
Microelectromechanical systems,13041
Microfluidics,3179
Molecular electronics,81
Nanorobotics,252
Neuron Control,0
Neuroprosthetics,364
Nutritional genomics,30
Omni Processor,56
OOKP,1
Organ-on-a-Chip,227
Photoacoustic imaging,157
Plasma Medicine,401
Point of care automated analyser,5
Portable water purification,86
Powered exoskeleton,728
Protein Structure Prediction,31
Rapid diagnostic test,586
Real-time polymerase chain reaction,406
Regenerative Medicine,35585
Sensory substitution,21
Single Cell Analysis,1097
Stasis Chamber,6
Synthetic Blood,328
Theranostic Wound Care,23057
Transdermal optical imaging,4
Active camouflage,2433
Active noise control,80
Automatic identification of suspicious activity,0
Cloaking device,360
Coilgun,2
Compact Kinetic Energy Missile,0
DART ammunition,13
Delay-line oscillator,1
Electrolaser,1
Electroshock weapon,5763
Electrothermal-chemical technology for propellants,0
EMP weapon,19
Explosively pumped flux compression generator,0
Force Field,1541
Homodyne detection,1
HPM weapons,185
Hypersonic weapon,275
Kinetic bombardment,1
Kinetic energy penetrator,0
Laser weapon,486
Lidar,15676
MAHEM,2
Metamaterial cloaking,0
MGM-166 LOSAT,2
Nonlinear metamaterial,1
Optical coating,383
Optoelectronic oscillator,2
Particle-beam weapon,11
Plasma stealth,1
Pure fusion weapon,0
Quadcopter,2898
Quantum illumination,187
Quantum radar,30
Railgun,510
Sonic weapon,53
Swarm robotic platforms,0
Swarm robotics,45
Teslaphoresis,3
Vortex ring gun,1
Asteroid mining,1445
Biomining,270
Urban mining,251
Closed system drug transfer device,60
DNA repair,3573
Electronic cigarette,69655
Enzybiotics,0
Exhalation delivery system,997
Gene Editing,18555
Genome Prime Editing,0
ISCOM,8
Medicinal fungi,37
Microneedle drug delivery,51
Molecular Inversion Probe,0
NASBA,355
Off-target genome editing,0
Oncolytic virus,2751
Phage therapy,278
Receptor activated solely by a synthetic ligand,65
Senolytic,69
Stem-cell therapy,4267
Structurally nanoengineered antimicrobial polypeptide polymers,785
Targeted drug delivery,1442
Virotherapy,164
Air-launch-to-orbit,20
Artificial gravity,102
Beam-powered propulsion,4
Fusion rocket,7
Inflatable space habitat,83
Ion thruster,54
Launch loop,12
Mass driver,38
Mini-magnetosphere,1
Miniaturized satellite,597
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,30
Propellant depot,12
Ram accelarator,0
Reusable launch system,88
Reusable rocket technology for orbital rockets,0
Skyhook,1704
Space elevator,345
Space gun,38
Spaceplane,973
StarTram,8
Suborbital launch,880
Autonomous Rail Rapid Transit,60
Autonomous vehicle,71348
Backpack helicopter,0
Electric vehicle,111312
Fuel cell,41004
Fuel cell vehicle,8904
Hoverbike,359
Hovertrain,3
Hydrogen vehicle,347
Hyperloop,12964
Intelligent transportation system,1232
Jetpack,2971
Maglev,2113
PAV,748
Personal rapid transit,197
Physical Internet,29
Pulse detonation engine,3
Rapid transit,811982
Rocket transportation,3
Supersonic transport,467
Urban rail transit,461
Vactrain,9
VTOL,2885
Hyper-personalized intelligence,107751
neuromorphic engineering,0
solid-state battery,0
