,emergence
Zero-energy building,345
Automated journalism,61
Foundation garment,1830
Haptic feedback systems,1736
Wearable journalism,99013
Cryptocurrency,171372
Stablecoin,3834
Companion robot,883
Cryonics,480
Extreme Life extension,50192
Suspended animation,1063
5D DVD,42
5g,194698
6G,6044
Ambient intelligence,1020
Artificial brain,244
Artificial general intelligence,258323
Atmospheric satellite,19
Automatic AI debugging,0
Cloud computing,212221
Compressive Sensing,99
Deep learning,37303
deep trench capacitor,11
Digital image processing,10284
Digital image segmentation,1
Distributed ledger,200386
DNA Computing,74
DNA digital data storage,6
Edge Computing,12960
Edge enhancement,53
Embedded systems in substrate,0
Exascale computing,564
Extreme ultraviolet lithography,1139
Facial recognition,45524
General-purpose computing on graphics processing units,365
GPT-4,18
Haptic technology,2768
Holographic data storage,48
Hyper CD-ROM,0
In-memory processing,297
In-storage processing,18
Indoor positioning system,132
Internet of things,231572
Li-Fi,1634
Machine translation,2165
Machine vision,6024
Nanoradio,1
Natural Language Processing,9344
Neural Networks,14121
Neural-sensing headset,0
next gen web search,0
Open source model,269
Optical computing,267
Quantum algorithm,206
Quantum computing hardware,14008
Quantum cryptography,1034
Semantic Web,703
Silicon laser for communication,0
Smartphone,595132
Spatial computing,546
Streaming television,16249
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,3149
Virtual reality applications,1939
Visible Light Communication,570
wi-fi 6,6110
wi-fi 7,36
AI Arbitration,1
Digital forensics tools,30
Document automation,487
Intelligent Knowledge Management,36
Aerogel,1740
Amorphous metal,465
Bioplastic,1823
Carbon nanotube,8237
Conductive polymer,713
Cryogenic treatment,16
Dynamic Armor,8
Eutectic system,28
Fast-ion Conductors,6
Fullerene,755
Gallium Nitride semiconductor,71
Graphene,26262
Graphene Oxide dough,2083
High Entropy Alloys,230
Magnetic nanoparticles,860
Magnetorheological fluid,31
Metal foam,248
Metamaterial,1654
Multi-function structure,0
Nanocrystal,2636
Nanotextured surface,18
Photonic Metamaterial,5
piezoelectric material adhesion,0
Programmable matter,104
Quantum dot,9484
Self-cleaning surfaces,113
Shape Memory Polymer,180
Shape-memory alloy,502
Silicene,241
Single Photon Source,101
Superalloy,527
Superfluidity,144
Superlenses chips,0
Syntactic Materials,0
Time crystal,249
Zeolite,2090
Zero-friction coating,54
16K video resolution,0
Augmented reality,77150
Brain-computer interface,2102
Computer-generated imagery,920
Detecting fake news online automatically,0
e-Reader,6324
Extended Reality,1033
hydrogen vehicle,210
Immersion (virtual reality),2255
Mixed Reality,12532
Video tracking,1380
Virtual reality,140556
3D Bioprinting,1609
Anti-degenerative medicine,0
Apheresis,885
Artificial womb,223
Bio Ink,9394
Biomimetic Nanocoagulation,0
Biosensor,3403
Breath analysis,285
Cancer biomarker,534
Capsule endoscopy,493
Cortical implant,5
De-extinction,297
DNA-templated organic synthesis,0
Drug-eluting stent,804
Electroanalgesia,10
Electronic nose,388
Head transplant,570
Intelligent toilet,256
Jet injector,93
Lab-on-a-chip,1722
Microelectromechanical systems,9334
Microfluidics,3341
Molecular electronics,303
Nanorobotics,454
Neuron Control,2
Neuroprosthetics,423
Nutritional genomics,29
Omni Processor,40
OOKP,22
Organ-on-a-Chip,419
Photoacoustic imaging,332
Plasma Medicine,497
Point of care automated analyser,2
Portable water purification,60
Powered exoskeleton,1779
Protein Structure Prediction,123
Rapid diagnostic test,452
Real-time polymerase chain reaction,325
Regenerative Medicine,22524
Sensory substitution,50
Single Cell Analysis,1321
Stasis Chamber,59
Synthetic Blood,505
Theranostic Wound Care,19852
Transdermal optical imaging,24
Active camouflage,7201
Active noise control,249
Automatic identification of suspicious activity,0
Cloaking device,1265
Coilgun,44
Compact Kinetic Energy Missile,0
DART ammunition,41
Delay-line oscillator,0
Electrolaser,2
Electroshock weapon,5413
Electrothermal-chemical technology for propellants,0
EMP weapon,57
Explosively pumped flux compression generator,0
Force Field,2213
Homodyne detection,14
HPM weapons,257
Hypersonic weapon,1679
Kinetic bombardment,2
Kinetic energy penetrator,5
Laser weapon,1035
Lidar,15150
MAHEM,7
Metamaterial cloaking,3
MGM-166 LOSAT,5
Nonlinear metamaterial,2
Optical coating,237
Optoelectronic oscillator,2
Particle-beam weapon,7
Plasma stealth,2
Pure fusion weapon,6
Quadcopter,3940
Quantum illumination,995
Quantum radar,76
Railgun,1399
Sonic weapon,192
Swarm robotic platforms,0
Swarm robotics,109
Teslaphoresis,9
Vortex ring gun,2
Asteroid mining,811
Biomining,152
Urban mining,169
Closed system drug transfer device,93
DNA repair,3590
Electronic cigarette,62503
Enzybiotics,4
Exhalation delivery system,372
Gene Editing,24439
Genome Prime Editing,1
ISCOM,7
Medicinal fungi,11
Microneedle drug delivery,33
Molecular Inversion Probe,6
NASBA,206
Off-target genome editing,2
Oncolytic virus,2271
Phage therapy,511
Receptor activated solely by a synthetic ligand,164
Senolytic,174
Stem-cell therapy,4989
Structurally nanoengineered antimicrobial polypeptide polymers,779
Targeted drug delivery,1870
Virotherapy,299
Air-launch-to-orbit,4
Artificial gravity,224
Beam-powered propulsion,36
Fusion rocket,10
Inflatable space habitat,104
Ion thruster,116
Launch loop,12
Mass driver,254
Mini-magnetosphere,3
Miniaturized satellite,431
Nuclear photonic rocket,0
Photon rocket,3
Photonic laser thruster,0
Plasma propulsion engine,72
Propellant depot,5
Ram accelarator,0
Reusable launch system,75
Reusable rocket technology for orbital rockets,0
Skyhook,459
Space elevator,412
Space gun,86
Spaceplane,778
StarTram,2
Suborbital launch,769
Autonomous Rail Rapid Transit,61
Autonomous vehicle,40766
Backpack helicopter,1
Electric vehicle,71741
Fuel cell,27511
Fuel cell vehicle,7022
Hoverbike,388
Hovertrain,6
Hydrogen vehicle,210
Hyperloop,8969
Intelligent transportation system,687
Jetpack,5597
Maglev,2333
PAV,980
Personal rapid transit,97
Physical Internet,52
Pulse detonation engine,12
Rapid transit,728660
Rocket transportation,124
Supersonic transport,370
Urban rail transit,311
Vactrain,15
VTOL,2320
Hyper-personalized intelligence,74393
neuromorphic engineering,0
solid-state battery,0
