,United States
CZTS solar cell,0
Dye-sensitized solar cell,18
Electric vehicle battery fast charge,8
Energy harvesting,56
Floating Liquefied Natural Gas,0
Flywheel energy storage,0
Fourth-generation biofuel,0
Fusion power,9
Gas generator,5
Gas-cooled fast reactor,0
Gasification,61
Generation IV reactor,0
Grid energy storage,0
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,18
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,0
Lithium ion battery,29
Lithium iron phosphate battery,0
Lithium-air battery,7
Lithium-sulfur battery,0
Magnesium battery,0
Microbial electrolysis cell,0
Microreactor,11
Mini Bioreactors,0
Modular Reactors,1
Molten salt reactor,1
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,11
Oil detection,11
Optical rectenna,0
Organic solar cell,2
Perovskite solar cell,3
Power-to-X,0
Proton Battery,0
Quantum dot solar cell,0
second-generation biofuels,16
Smart grid,28
Sodium-cooled fast reactor,0
Space-based solar power,0
Supercapacitor,29
Supercritical water reactor,0
Third-generation biofuels,4
Thorium fuel cycle,0
Triboelectric Nanogenerator,0
Virtual power Plant,0
Vortex engine,0
Wireless power transfer,8
Zero-energy building,0
Automated journalism,0
Foundation garment,0
Haptic feedback systems,47
Wearable journalism,5
Cryptocurrency,18
Stablecoin,1
Companion robot,0
Cryonics,0
Extreme Life extension,10
Suspended animation,0
5D DVD,0
5g,6
6G,9
Ambient intelligence,7
Artificial brain,0
Artificial general intelligence,60
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,24
Compressive Sensing,6
Deep learning,5
deep trench capacitor,0
Digital image processing,359
Digital image segmentation,0
Distributed ledger,29
DNA Computing,8
DNA digital data storage,0
Edge Computing,0
Edge enhancement,1
Embedded systems in substrate,0
Exascale computing,0
Extreme ultraviolet lithography,18
Facial recognition,10
General-purpose computing on graphics processing units,1
GPT-4,0
Haptic technology,0
Holographic data storage,0
Hyper CD-ROM,0
In-memory processing,0
In-storage processing,0
Indoor positioning system,1
Internet of things,14
Li-Fi,1
Machine translation,14
Machine vision,42
Nanoradio,0
Natural Language Processing,8
Neural Networks,312
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,5
Quantum algorithm,0
Quantum computing hardware,10
Quantum cryptography,0
Semantic Web,4
Silicon laser for communication,0
Smartphone,103
Spatial computing,0
Streaming television,0
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,42
Virtual reality applications,0
Visible Light Communication,0
wi-fi 6,0
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,0
Document automation,0
Intelligent Knowledge Management,0
Aerogel,47
Amorphous metal,23
Bioplastic,2
Carbon nanotube,251
Conductive polymer,73
Cryogenic treatment,0
Dynamic Armor,0
Eutectic system,1
Fast-ion Conductors,0
Fullerene,25
Gallium Nitride semiconductor,0
Graphene,149
Graphene Oxide dough,11
High Entropy Alloys,0
Magnetic nanoparticles,32
Magnetorheological fluid,0
Metal foam,8
Metamaterial,7
Multi-function structure,0
Nanocrystal,98
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,0
Quantum dot,128
Self-cleaning surfaces,0
Shape Memory Polymer,25
Shape-memory alloy,18
Silicene,0
Single Photon Source,0
Superalloy,14
Superfluidity,0
Superlenses chips,0
Syntactic Materials,0
Time crystal,0
Zeolite,138
Zero-friction coating,10
16K video resolution,0
Augmented reality,71
Brain-computer interface,9
Computer-generated imagery,0
Detecting fake news online automatically,0
e-Reader,0
Extended Reality,0
hydrogen vehicle,0
Immersion (virtual reality),0
Mixed Reality,3
Video tracking,0
Virtual reality,69
3D Bioprinting,0
Anti-degenerative medicine,0
Apheresis,10
Artificial womb,0
Bio Ink,267
Biomimetic Nanocoagulation,0
Biosensor,282
Breath analysis,0
Cancer biomarker,3
Capsule endoscopy,0
Cortical implant,0
De-extinction,0
DNA-templated organic synthesis,0
Drug-eluting stent,2
Electroanalgesia,0
Electronic nose,27
Head transplant,0
Intelligent toilet,0
Jet injector,4
Lab-on-a-chip,43
Microelectromechanical systems,269
Microfluidics,74
Molecular electronics,1
Nanorobotics,0
Neuron Control,0
Neuroprosthetics,0
Nutritional genomics,0
Omni Processor,0
OOKP,0
Organ-on-a-Chip,4
Photoacoustic imaging,1
Plasma Medicine,10
Point of care automated analyser,0
Portable water purification,1
Powered exoskeleton,0
Protein Structure Prediction,0
Rapid diagnostic test,0
Real-time polymerase chain reaction,10
Regenerative Medicine,102
Sensory substitution,3
Single Cell Analysis,14
Stasis Chamber,0
Synthetic Blood,43
Theranostic Wound Care,3
Transdermal optical imaging,0
Active camouflage,0
Active noise control,0
Automatic identification of suspicious activity,0
Cloaking device,0
Coilgun,0
Compact Kinetic Energy Missile,0
DART ammunition,3
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,0
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,1
Homodyne detection,0
HPM weapons,2
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,2
Laser weapon,0
Lidar,39
MAHEM,0
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,23
Optoelectronic oscillator,0
Particle-beam weapon,0
Plasma stealth,0
Pure fusion weapon,0
Quadcopter,0
Quantum illumination,0
Quantum radar,0
Railgun,1
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,0
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,0
Biomining,0
Urban mining,0
Closed system drug transfer device,0
DNA repair,86
Electronic cigarette,38
Enzybiotics,0
Exhalation delivery system,1
Gene Editing,223
Genome Prime Editing,0
ISCOM,5
Medicinal fungi,0
Microneedle drug delivery,0
Molecular Inversion Probe,0
NASBA,269
Off-target genome editing,0
Oncolytic virus,12
Phage therapy,37
Receptor activated solely by a synthetic ligand,2
Senolytic,35
Stem-cell therapy,34
Structurally nanoengineered antimicrobial polypeptide polymers,0
Targeted drug delivery,19
Virotherapy,0
Air-launch-to-orbit,0
Artificial gravity,0
Beam-powered propulsion,0
Fusion rocket,0
Inflatable space habitat,0
Ion thruster,0
Launch loop,0
Mass driver,0
Mini-magnetosphere,0
Miniaturized satellite,0
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,0
Propellant depot,0
Ram accelarator,0
Reusable launch system,0
Reusable rocket technology for orbital rockets,0
Skyhook,0
Space elevator,0
Space gun,0
Spaceplane,0
StarTram,0
Suborbital launch,0
Autonomous Rail Rapid Transit,0
Autonomous vehicle,7
Backpack helicopter,0
Electric vehicle,28
Fuel cell,279
Fuel cell vehicle,2
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,0
Hyperloop,0
Intelligent transportation system,5
Jetpack,0
Maglev,10
PAV,2
Personal rapid transit,0
Physical Internet,0
Pulse detonation engine,0
Rapid transit,153
Rocket transportation,0
Supersonic transport,2
Urban rail transit,0
Vactrain,0
VTOL,3
Hyper-personalized intelligence,19
neuromorphic engineering,0
solid-state battery,0
