,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question,mentioned techs
163,"Real Time Data Mining . Predictive Analytics  , Huge Processing Power Increase  which will ultimately surpass a Human Brain in terms of sheer processing power . Large scale AI implementation . Lots of sensors talking to each other in real time to analyse the situation .  Implementation of Virtual Reality ie Google Glass Project types which will go main stream just like Smartphones .  Hybrid Engines for Cars .  Cure for Cancers and other life threatening diseases  ....the list will go on and on ... :P",UNKNOWN,Ravi,9,77,197.1K,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,IoT
164,Very Informative video on emerging and trending technologies in 2018. Must Watch!,UNKNOWN,Anonymous,9,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,AR
165,An important upcoming technology is 5G. It can change the way how we interact with each other across the entire globe.The speed in which we have developed communication technology in the past 10 years is absolutely astonishing.,68 followers,Swati Upadhyay,9,176,304.7K,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,VR
173,there are too many to count.there are too many to count.,2 followers,Ross Peili,9,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,smartphones
179,The trends in next 10 years revolve around -ieye - a lens that has its own display sufficient to view for the person wearing it. This could be most possible device that can make a person eblind.,2 followers,Shiva Pusuluri,9,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,cloud
180,"BlockchainBlockchain a leading decentralized technology used to manage the database that records transactions details and it uses secured cryptography to provide the better financial database system.The craze over Blockchain is getting higher every day but still slightly lagging its place due to some technical issues.Enterprises are the top of this list and stumbling to adopt it.Microsoft on its turn to extend its favor to Enterprises. Yes, Gladly Microsoft decided to make more convenient phase for Enterprise to use Blockchain.As the result, Blockchain is providing a secured, centralized databBlockchainBlockchain a leading decentralized technology used to manage the database that records transactions details and it uses secured cryptography to provide the better financial database system.The craze over Blockchain is getting higher every day but still slightly lagging its place due to some technical issues.Enterprises are the top of this list and stumbling to adopt it.Microsoft on its turn to extend its favor to Enterprises. Yes, Gladly Microsoft decided to make more convenient phase for Enterprise to use Blockchain.As the result, Blockchain is providing a secured, centralized database system for transactions and now you can put your trust over on the combination of Coco Framework and Blockchain.To solve all these issues, Microsoft takes one step closer by introducing Coco Framework to Blockchain.Definitely, There is no doubt that “Blockchain will take over the future technologies in upcoming years”.",0 followers,Aaditya Singh,9,53,39.3K,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,crypto
181,"3D printing will revolutionise many manufacturing processes. The biomedical applications are really exciting, specifically the use of 3D printers in constructing hydrogel scaffolds for the growth of body parts, including ears, livers, kidneys, hearts…the list goes on.I’d also add perovskite/organic composite solar cells. Their efficiency has increased dramatically over recent years, and they offer the potential as cheap and easily manufactured alternatives to silicon-based cells.Another emerging technology are metal-organic frameworks (MOFs). You may have recently read about a simply MOF devic3D printing will revolutionise many manufacturing processes. The biomedical applications are really exciting, specifically the use of 3D printers in constructing hydrogel scaffolds for the growth of body parts, including ears, livers, kidneys, hearts…the list goes on.I’d also add perovskite/organic composite solar cells. Their efficiency has increased dramatically over recent years, and they offer the potential as cheap and easily manufactured alternatives to silicon-based cells.Another emerging technology are metal-organic frameworks (MOFs). You may have recently read about a simply MOF device, that was able to efficiently absorb water from low humidity air (as low as 5%) moisture content. Their great advantage is that they release the water without the need to be heated to high temps. They also have potential as catalysts.",113 followers,Sainath Palla,9,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,wearables
190,I understand that they're working on a male birth control pill that ought to be out by then.,UNKNOWN,T.J. Cook,9,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,VR
207,Top 10 Emerging Technologies are:Top 10 Emerging Technologies are:,11 followers,Madhu Sudan,0,735,653.9K,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,cloud
210,"It's been difficult to keep up with all of the technology advancements in the last decade because everything happens so quickly. It's all been thrilling, and each new invention has made our lives easier in some manner. According to experts, we haven't seen anything yet, and the next decade will be filled with even more technology innovations.10 Technology Trends to Watch in the Next Decade:It's been difficult to keep up with all of the technology advancements in the last decade because everything happens so quickly. It's all been thrilling, and each new invention has made our lives easier in some manner. According to experts, we haven't seen anything yet, and the next decade will be filled with even more technology innovations.10 Technology Trends to Watch in the Next Decade:These ten technologies will undoubtedly change the world in the upcoming ten years decade. This is even further fast-forwarded by the current dire situation we are facing, the global pandemic.",656 followers,Nikhil Taneja,0,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,cloud
212,QR Codes will certainly be the norm with augmented reality being a must on all devices for product and place recognition!,167 followers,Sudhir Kumar,0,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,IoT
213,"In the years to come artificial intelligence will take off and main peack out in another 10 years. But then after people will realise that all these technology is not going to lead them anywhere. I personally feel that we might have to go back to old ways of agriculture, fishing, animal husbandry etc",403 followers,Vrushti Shah,0,249,41.9K,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,customization
214,"After the present scientific progress: The realization that fecal matter>dust in hospitals, left AFTER an incomplete wiping, is a threat, never mind if it is hidden, under patients clothing, or open and seen.The technology advance product: An add on bidet with vertical jet, installed in all hospitals toilets.",1 follower,Pretti Roy,0,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,NLP
215,"This technology will create more billionaires — than any other technological revolution in history.I’m talking about Blockchain.Why?Picture this:The internet was limited to the storage and exchange of information — Blockchain, on the other hand, has the power toThis will reshape how we understand wealth as we know it.Listen, if moving data transformed our world — imagine how blockchain will take over our world when we digitizeThis is just the beginning!#BeBusinessSmart",3 followers,Thom Shardlow,9,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,AR
226,"I also stopped at a cycle repair shop and asked if I could get a co**om, he beat me bro🥲….I also stopped at a cycle repair shop and asked if I could get a co**om, he beat me bro🥲….",4 followers,Aryeh Oser,0,0,0,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,cloud
230,"Cable Boxes from cable companies. Landlines completely. Point and Shoot Cameras (Professional, DSLR, APS-C, Full Frame will still be top sellers). I think flash drives will go away when you can air drop from one pc to another, or to your phone with the much faster wireless service. Laptop hard drives. h.264 codec will be obsolete and no longer used. USB and Lightning cables from Version 3 and below will go away completely. Two day or less batteries for any laptop or mobile device. The standard will be 3–4 days on one charge. Gasoline Generators for the average home user as battery technology iCable Boxes from cable companies. Landlines completely. Point and Shoot Cameras (Professional, DSLR, APS-C, Full Frame will still be top sellers). I think flash drives will go away when you can air drop from one pc to another, or to your phone with the much faster wireless service. Laptop hard drives. h.264 codec will be obsolete and no longer used. USB and Lightning cables from Version 3 and below will go away completely. Two day or less batteries for any laptop or mobile device. The standard will be 3–4 days on one charge. Gasoline Generators for the average home user as battery technology improves and will allow you to power your fridge, fan, and TV for a good solid 2–3 days and longer with bigger batteries.",0 followers,Pravin Gavale,999,386,836.7K,https://www.quora.com/What-are-the-top-10-emerging-technologies-in-the-next-5-10-years-2020%E2%80%932025,crypto
244,"According to my interest, the idea behindRecently, I became aware of a project calledAccording to my interest, the idea behindRecently, I became aware of a project calledParticipants are rewarded for participating in the",605 followers,Harsh Sharma,9,0,0,https://www.quora.com/What-are-the-upcoming-emerging-technologies-in-software-industry,AGI
246,"DockerDocker, a new container technology, is hotter than hot because it makes it possible to get far more apps running on the same old servers and it also makes it very easy to package and ship programs.It is an open-source project that automates the deployment of Linux applications inside software containers. Quote of features from Docker web pages:Docker containers wrap up a piece of software in a complete file-system that contains everything it needs to run: code, run-time, system tools, system libraries – anything you can install on a server. This guarantees that it will always rDockerDocker, a new container technology, is hotter than hot because it makes it possible to get far more apps running on the same old servers and it also makes it very easy to package and ship programs.It is an open-source project that automates the deployment of Linux applications inside software containers. Quote of features from Docker web pages:Docker containers wrap up a piece of software in a complete file-system that contains everything it needs to run: code, run-time, system tools, system libraries – anything you can install on a server. This guarantees that it will always run the same, regardless of the environment it is running in.It is a tool designed to make it easier to create, deploy, and run applications by using containers. Containers allow a developer to package up an application with all of the parts it needs, such as libraries and other dependencies, and ship it all out as one package. By doing so, thanks to the container, the developer can rest assured that the application will run on any other Linux machine regardless of any customized settings that machine might have that could differ from the machine used for writing and testing the code.Check out :Netatmo PresenceThe Netatmo Presence is a smart outdoor security camera that can tell you who, and what, has entered your yard.The Netatmo Presence, introduced on Monday at CES, is an outdoor security cam that takes things one step farther—it can distinguish between animals, cars, and people to let you know which has been detected outside your home.It connects with a smartphone, computer, tablet or Apple Watch via Wi-Fi, allowing owners to modify its settings through an app. On the app, users will be able to adjust the perimeter for the security camera's field of view and set specific zones to monitor, and they can turn the floodlight option on or off there too. The device uses infrared to see in the dark at night when the floodlight is off.From a design perspective, the Presence looks more like a standard issue outdoor flood light than a security camera, which is a good way to trick any would-be wrongdoers. I'm not in love with the design, which is a little blocky for my taste, though ultimately the minimal aluminum build is pretty inoffensive. It's rated IP66 to withstand harsh outdoor conditions, like ice, rain, sun, and wind.The camera records full HD 1080p video. It has a 100-degree field of view, and a very impressive 65-foot detection range (many outdoor cameras provide a range closer to 25 feet). There's also infrared night vision, and Netatmo uses end-to-end encryption to make sure no one else can access your camera feed.Check out :Storage -Hybrid cloud storageIt is a combination of public cloud storage and private cloud storage where some critical data resides in the enterprise's private cloud while other data is stored and accessible from a public cloud storage provider started byWith hybrid cloud storage, enterprises are able to mix and match cloud storage resources between local data center infrastructure and scalable, on-demand infrastructure, with the cloud storage provider typically fully managing the cloud storage.Hybrid cloud storage combines the advantages of scalability, reliability, rapid deployment and potential cost savings of public cloud storage with the security and full control of private cloud storage.Hybrid cloud storage more accurately means using on-premise storage and storage in the public cloud to create a greater overall value – as a kind of mash-up. You could have some data on one and some on the other, depending on its risk classification or its latency and bandwidth needs. Alternatively, you could federate a private storage cloud with a public cloud, using public cloud storage for archive, backup, disaster recovery, workflow sharing and distribution.Check out :Also check out :","1,297 followers",John Rodrigues,9,4.7K,2M,https://www.quora.com/What-are-the-upcoming-emerging-technologies-in-software-industry,IoT
247,"The best option for finding a long-term stream of great remote development jobs isThe best option for finding a long-term stream of great remote development jobs isHere’s what some of Toptal’s top freelancers have said about the way Toptal has improved their work-life balance and given them access to fulfilling projects:“Toptal takes the hassle out of freelancing - I never worry about client discovery, engagement, and workplace integration issues. Instead, I get to",11 followers,Sai Aman,99,0,0,https://www.quora.com/What-are-the-upcoming-emerging-technologies-in-software-industry,cloud
