,commercialization
Rapid diagnostic test,129
Real-time polymerase chain reaction,1603
Regenerative Medicine,2214
Sensory substitution,10
Single Cell Analysis,255
Stasis Chamber,0
Synthetic Blood,65
Theranostic Wound Care,1059
Transdermal optical imaging,0
Active camouflage,75
Active noise control,40
Automatic identification of suspicious activity,0
Cloaking device,3
Coilgun,4
Compact Kinetic Energy Missile,0
DART ammunition,0
Delay-line oscillator,0
Electrolaser,0
Electroshock weapon,3
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,172
Homodyne detection,11
HPM weapons,3
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,0
Laser weapon,5
Lidar,1237
MAHEM,1
Metamaterial cloaking,0
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,6
Optoelectronic oscillator,5
Particle-beam weapon,0
Plasma stealth,1
Pure fusion weapon,0
Quadcopter,303
Quantum illumination,41
Quantum radar,1
Railgun,11
Sonic weapon,1
Swarm robotic platforms,0
Swarm robotics,23
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,25
Biomining,229
Urban mining,43
Closed system drug transfer device,2
DNA repair,8700
Electronic cigarette,2534
Enzybiotics,5
Exhalation delivery system,15
Gene Editing,2268
Genome Prime Editing,0
ISCOM,19
Medicinal fungi,12
Microneedle drug delivery,2
Molecular Inversion Probe,4
NASBA,39
Off-target genome editing,0
Oncolytic virus,122
Phage therapy,160
Receptor activated solely by a synthetic ligand,55
Senolytic,11
Stem-cell therapy,335
Structurally nanoengineered antimicrobial polypeptide polymers,13
Targeted drug delivery,225
Virotherapy,46
Air-launch-to-orbit,0
Artificial gravity,20
Beam-powered propulsion,0
Fusion rocket,1
Inflatable space habitat,0
Ion thruster,18
Launch loop,0
Mass driver,0
Mini-magnetosphere,4
Miniaturized satellite,35
Nuclear photonic rocket,0
Photon rocket,0
Photonic laser thruster,0
Plasma propulsion engine,17
Propellant depot,4
Ram accelarator,0
Reusable launch system,1
Reusable rocket technology for orbital rockets,0
Skyhook,16
Space elevator,13
Space gun,0
Spaceplane,17
StarTram,0
Suborbital launch,84
Autonomous Rail Rapid Transit,1
Autonomous vehicle,419
Backpack helicopter,0
Electric vehicle,2345
Fuel cell,4424
Fuel cell vehicle,458
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,18
Hyperloop,24
Intelligent transportation system,290
Jetpack,4
Maglev,284
PAV,80
Personal rapid transit,61
Physical Internet,24
Pulse detonation engine,6
Rapid transit,13193
Rocket transportation,0
Supersonic transport,45
Urban rail transit,397
Vactrain,0
VTOL,75
Hyper-personalized intelligence,1756
neuromorphic engineering,0
solid-state battery,0
