,R_D
Mini Bioreactors,273
Modular Reactors,161
Molten salt reactor,331
Nanocharging Solar,0
Nanowire battery,4
Ocean thermal energy conversion,396
Oil detection,1087
Optical rectenna,227
Organic solar cell,487
Perovskite solar cell,528
Power-to-X,45
Proton Battery,11
Quantum dot solar cell,48
second-generation biofuels,888
Smart grid,8882
Sodium-cooled fast reactor,359
Space-based solar power,78
Supercapacitor,5384
Supercritical water reactor,67
Third-generation biofuels,120
Thorium fuel cycle,66
Triboelectric Nanogenerator,265
Virtual power Plant,375
Vortex engine,16
Wireless power transfer,2517
Zero-energy building,342
Automated journalism,22
Foundation garment,5
Haptic feedback systems,4858
Wearable journalism,5199
Cryptocurrency,1846
Stablecoin,22
Companion robot,738
Cryonics,22
Extreme Life extension,3350
Suspended animation,100
5D DVD,0
5g,8971
6G,1847
Ambient intelligence,4393
Artificial brain,154
Artificial general intelligence,37593
Atmospheric satellite,12
Automatic AI debugging,0
Cloud computing,29118
Compressive Sensing,4228
Deep learning,43603
deep trench capacitor,1
Digital image processing,31290
Digital image segmentation,29
Distributed ledger,9691
DNA Computing,888
DNA digital data storage,0
Edge Computing,3467
Edge enhancement,316
Embedded systems in substrate,0
Exascale computing,246
Extreme ultraviolet lithography,869
Facial recognition,10249
General-purpose computing on graphics processing units,1218
GPT-4,20
Haptic technology,1518
Holographic data storage,183
Hyper CD-ROM,0
In-memory processing,91
In-storage processing,10
Indoor positioning system,407
Internet of things,17633
Li-Fi,291
Machine translation,6247
Machine vision,3574
Nanoradio,5
Natural Language Processing,10972
Neural Networks,115177
Neural-sensing headset,0
next gen web search,0
Open source model,572
Optical computing,306
Quantum algorithm,648
Quantum computing hardware,4467
Quantum cryptography,1026
Semantic Web,10615
Silicon laser for communication,0
Smartphone,19861
Spatial computing,99
Streaming television,109
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,3739
Virtual reality applications,1056
Visible Light Communication,958
wi-fi 6,6
wi-fi 7,2
AI Arbitration,1
Digital forensics tools,33
Document automation,10
Intelligent Knowledge Management,23
Aerogel,2540
Amorphous metal,1717
Bioplastic,473
Carbon nanotube,40741
Conductive polymer,2150
Cryogenic treatment,253
Dynamic Armor,2
Eutectic system,319
Fast-ion Conductors,26
Fullerene,6369
Gallium Nitride semiconductor,7
Graphene,55010
Graphene Oxide dough,7332
High Entropy Alloys,582
Magnetic nanoparticles,4718
Magnetorheological fluid,571
Metal foam,694
Metamaterial,5521
Multi-function structure,0
Nanocrystal,13016
Nanotextured surface,20
Photonic Metamaterial,8
piezoelectric material adhesion,0
Programmable matter,95
Quantum dot,21380
Self-cleaning surfaces,171
Shape Memory Polymer,445
Shape-memory alloy,3255
Silicene,1169
Single Photon Source,259
Superalloy,2692
Superfluidity,1142
Superlenses chips,0
Syntactic Materials,2
Time crystal,113
Zeolite,15953
Zero-friction coating,306
16K video resolution,0
Augmented reality,10773
Brain-computer interface,4672
Computer-generated imagery,58
Detecting fake news online automatically,0
e-Reader,122
Extended Reality,137
hydrogen vehicle,58
Immersion (virtual reality),434
Mixed Reality,2027
Video tracking,525
Virtual reality,27022
3D Bioprinting,847
Anti-degenerative medicine,0
Apheresis,1685
Artificial womb,36
Bio Ink,17178
Biomimetic Nanocoagulation,0
Biosensor,12756
Breath analysis,678
Cancer biomarker,1529
Capsule endoscopy,1313
Cortical implant,10
De-extinction,71
DNA-templated organic synthesis,1
Drug-eluting stent,1466
Electroanalgesia,12
Electronic nose,1388
Head transplant,19
Intelligent toilet,7
Jet injector,103
Lab-on-a-chip,11453
Microelectromechanical systems,17372
Microfluidics,8307
Molecular electronics,1135
Nanorobotics,428
Neuron Control,40
Neuroprosthetics,302
Nutritional genomics,142
Omni Processor,0
OOKP,42
Organ-on-a-Chip,477
Photoacoustic imaging,1517
Plasma Medicine,1612
Point of care automated analyser,30
Portable water purification,6
Powered exoskeleton,234
Protein Structure Prediction,1404
Rapid diagnostic test,429
Real-time polymerase chain reaction,5355
Regenerative Medicine,24765
Sensory substitution,276
Single Cell Analysis,1271
Stasis Chamber,2
Synthetic Blood,689
Theranostic Wound Care,7788
Transdermal optical imaging,2
Active camouflage,947
Active noise control,802
Automatic identification of suspicious activity,0
Cloaking device,128
Coilgun,110
Compact Kinetic Energy Missile,4
DART ammunition,14
Delay-line oscillator,13
Electrolaser,1
Electroshock weapon,15
Electrothermal-chemical technology for propellants,0
EMP weapon,4
Explosively pumped flux compression generator,1
Force Field,12415
Homodyne detection,225
HPM weapons,35
Hypersonic weapon,43
Kinetic bombardment,0
Kinetic energy penetrator,7
Laser weapon,82
Lidar,18058
MAHEM,1
Metamaterial cloaking,1
MGM-166 LOSAT,0
Nonlinear metamaterial,22
Optical coating,102
Optoelectronic oscillator,99
Particle-beam weapon,1
Plasma stealth,30
Pure fusion weapon,0
Quadcopter,4453
Quantum illumination,2121
Quantum radar,63
Railgun,504
Sonic weapon,2
Swarm robotic platforms,2
Swarm robotics,560
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,30
Biomining,1674
Urban mining,140
Closed system drug transfer device,4
DNA repair,10641
Electronic cigarette,4055
Enzybiotics,38
Exhalation delivery system,82
Gene Editing,11065
Genome Prime Editing,0
ISCOM,69
Medicinal fungi,94
Microneedle drug delivery,9
Molecular Inversion Probe,28
NASBA,173
Off-target genome editing,2
Oncolytic virus,2246
Phage therapy,1362
Receptor activated solely by a synthetic ligand,149
Senolytic,260
Stem-cell therapy,4941
Structurally nanoengineered antimicrobial polypeptide polymers,101
Targeted drug delivery,5260
Virotherapy,1155
Air-launch-to-orbit,4
Artificial gravity,264
Beam-powered propulsion,1
Fusion rocket,14
Inflatable space habitat,1
Ion thruster,407
Launch loop,1
Mass driver,51
Mini-magnetosphere,42
Miniaturized satellite,94
Nuclear photonic rocket,0
Photon rocket,7
Photonic laser thruster,0
Plasma propulsion engine,479
Propellant depot,6
Ram accelarator,0
Reusable launch system,8
Reusable rocket technology for orbital rockets,0
Skyhook,404
Space elevator,62
Space gun,1
Spaceplane,56
StarTram,1
Suborbital launch,80
Autonomous Rail Rapid Transit,4
Autonomous vehicle,2666
Backpack helicopter,0
Electric vehicle,11629
Fuel cell,23285
Fuel cell vehicle,1143
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,58
Hyperloop,78
Intelligent transportation system,1455
Jetpack,15
Maglev,1985
PAV,639
Personal rapid transit,104
Physical Internet,126
Pulse detonation engine,307
Rapid transit,47013
Rocket transportation,1
Supersonic transport,142
Urban rail transit,1373
Vactrain,4
VTOL,802
Hyper-personalized intelligence,8225
neuromorphic engineering,0
solid-state battery,0
