,emergence
HPM weapons,29
Hypersonic weapon,20
Kinetic bombardment,0
Kinetic energy penetrator,4
Laser weapon,52
Lidar,9465
MAHEM,0
Metamaterial cloaking,2
MGM-166 LOSAT,0
Nonlinear metamaterial,14
Optical coating,103
Optoelectronic oscillator,199
Particle-beam weapon,3
Plasma stealth,12
Pure fusion weapon,0
Quadcopter,1328
Quantum illumination,1493
Quantum radar,37
Railgun,397
Sonic weapon,2
Swarm robotic platforms,0
Swarm robotics,355
Teslaphoresis,0
Vortex ring gun,0
Asteroid mining,31
Biomining,657
Urban mining,93
Closed system drug transfer device,8
DNA repair,11268
Electronic cigarette,4057
Enzybiotics,52
Exhalation delivery system,111
Gene Editing,10354
Genome Prime Editing,0
ISCOM,50
Medicinal fungi,69
Microneedle drug delivery,8
Molecular Inversion Probe,27
NASBA,134
Off-target genome editing,3
Oncolytic virus,2215
Phage therapy,1084
Receptor activated solely by a synthetic ligand,148
Senolytic,163
Stem-cell therapy,3740
Structurally nanoengineered antimicrobial polypeptide polymers,59
Targeted drug delivery,4944
Virotherapy,1076
Air-launch-to-orbit,2
Artificial gravity,86
Beam-powered propulsion,1
Fusion rocket,9
Inflatable space habitat,0
Ion thruster,173
Launch loop,0
Mass driver,20
Mini-magnetosphere,16
Miniaturized satellite,91
Nuclear photonic rocket,1
Photon rocket,5
Photonic laser thruster,0
Plasma propulsion engine,230
Propellant depot,2
Ram accelarator,0
Reusable launch system,2
Reusable rocket technology for orbital rockets,0
Skyhook,98
Space elevator,60
Space gun,3
Spaceplane,31
StarTram,3
Suborbital launch,49
Autonomous Rail Rapid Transit,2
Autonomous vehicle,1214
Backpack helicopter,0
Electric vehicle,6906
Fuel cell,17708
Fuel cell vehicle,793
Hoverbike,0
Hovertrain,0
Hydrogen vehicle,24
Hyperloop,68
Intelligent transportation system,886
Jetpack,21
Maglev,1093
PAV,342
Personal rapid transit,106
Physical Internet,102
Pulse detonation engine,99
Rapid transit,21934
Rocket transportation,1
Supersonic transport,44
Urban rail transit,509
Vactrain,2
VTOL,404
Hyper-personalized intelligence,4781
neuromorphic engineering,0
solid-state battery,0
